Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"11,188","1,780",449,85.22%,85.22%,99.74%,99.74%,85.43%,85.43%,0.35%,0.35%,0.35%,0.35%
2,1-<2 mo,"8,959","1,057",345,88.70%,75.70%,99.76%,99.50%,88.91%,76.06%,0.35%,0.43%,0.35%,0.43%
3,2-<3 mo,"7,557",742,372,90.63%,68.75%,99.76%,99.26%,90.84%,69.23%,0.34%,0.47%,0.34%,0.47%
4,3-<4 mo,"6,443",556,303,91.57%,63.09%,99.77%,99.03%,91.79%,63.66%,0.36%,0.50%,0.36%,0.51%
5,4-<5 mo,"5,584",327,311,94.25%,59.56%,99.77%,98.81%,94.46%,60.21%,0.32%,0.52%,0.32%,0.52%
6,5-<6 mo,"4,946",299,264,93.95%,56.01%,99.77%,98.58%,94.16%,56.74%,0.36%,0.54%,0.36%,0.54%
7,6-<7 mo,"4,383",183,240,95.80%,53.69%,99.78%,98.36%,96.01%,54.50%,0.32%,0.55%,0.32%,0.55%
8,7-<8 mo,"3,960",173,223,95.66%,51.42%,99.78%,98.15%,95.87%,52.29%,0.34%,0.56%,0.34%,0.56%
9,8-<9 mo,"3,564",155,249,95.42%,49.08%,99.78%,97.94%,95.63%,50.00%,0.38%,0.57%,0.38%,0.58%
10,9-<10 mo,"3,160",146,218,95.32%,46.83%,99.79%,97.73%,95.53%,47.80%,0.40%,0.58%,0.40%,0.59%
11,10-<11 mo,"2,796",103,220,96.26%,45.11%,99.78%,97.52%,96.47%,46.14%,0.38%,0.59%,0.38%,0.60%
12,11-<12 mo,"2,473",96,218,96.19%,43.52%,99.79%,97.32%,96.40%,44.58%,0.39%,0.60%,0.39%,0.61%
13,12-<13 mo,"2,159",64,176,96.98%,42.25%,99.77%,97.10%,97.20%,43.35%,0.39%,0.60%,0.39%,0.62%
14,13-<14 mo,"1,919",56,180,97.07%,41.08%,99.77%,96.88%,97.29%,42.24%,0.40%,0.61%,0.40%,0.63%
15,14-<15 mo,"1,683",47,183,96.97%,39.84%,99.77%,96.66%,97.19%,41.04%,0.45%,0.63%,0.45%,0.64%
16,15-<16 mo,"1,453",39,141,97.36%,38.87%,99.78%,96.45%,97.58%,40.11%,0.42%,0.63%,0.43%,0.65%
17,16-<17 mo,"1,273",29,177,97.58%,37.92%,99.78%,96.24%,97.80%,39.20%,0.46%,0.65%,0.46%,0.67%
18,17-<18 mo,"1,067",21,155,97.86%,37.14%,99.79%,96.04%,98.07%,38.46%,0.48%,0.66%,0.48%,0.68%
19,18-<19 mo,891,27,162,96.65%,35.91%,99.78%,95.84%,96.86%,37.26%,0.66%,0.69%,0.66%,0.71%
20,19-<20 mo,702,11,155,98.23%,35.28%,99.78%,95.63%,98.44%,36.67%,0.55%,0.71%,0.55%,0.73%
21,20-<21 mo,536,9,128,98.31%,34.79%,99.78%,95.43%,98.51%,36.20%,0.56%,0.72%,0.56%,0.75%
22,21-<22 mo,399,11,128,97.06%,33.93%,99.79%,95.23%,97.25%,35.35%,0.87%,0.75%,0.87%,0.78%
23,22-<23 mo,260,2,136,99.20%,33.64%,99.77%,95.02%,99.23%,35.06%,0.56%,0.78%,0.56%,0.81%
24,23-<24 mo,122,2,120,+,+,99.78%,94.82%,+,+,+,+,+,+
