Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"32,213",190,"1,495",99.35%,99.35%,99.77%,99.77%,99.58%,99.58%,0.05%,0.05%,0.05%,0.05%
2,1-<2 mo,"30,528",103,"1,424",99.63%,98.98%,99.77%,99.55%,99.86%,99.43%,0.04%,0.06%,0.04%,0.06%
3,2-<3 mo,"29,001",118,"1,564",99.57%,98.56%,99.78%,99.32%,99.79%,99.22%,0.04%,0.07%,0.04%,0.07%
4,3-<4 mo,"27,319",88,"1,413",99.65%,98.21%,99.78%,99.10%,99.87%,99.10%,0.04%,0.08%,0.04%,0.08%
5,4-<5 mo,"25,818",73,"1,478",99.70%,97.92%,99.78%,98.88%,99.92%,99.02%,0.04%,0.09%,0.04%,0.09%
6,5-<6 mo,"24,267",62,"1,428",99.71%,97.64%,99.78%,98.66%,99.91%,98.93%,0.04%,0.09%,0.04%,0.10%
7,6-<7 mo,"22,777",68,"1,298",99.67%,97.33%,99.78%,98.45%,99.89%,98.84%,0.04%,0.10%,0.04%,0.10%
8,7-<8 mo,"21,411",63,"1,391",99.68%,97.02%,99.78%,98.23%,99.90%,98.75%,0.04%,0.11%,0.04%,0.11%
9,8-<9 mo,"19,957",55,"1,390",99.70%,96.74%,99.78%,98.02%,99.91%,98.67%,0.04%,0.11%,0.04%,0.12%
10,9-<10 mo,"18,512",47,"1,277",99.73%,96.48%,99.78%,97.81%,99.94%,98.61%,0.04%,0.12%,0.04%,0.12%
11,10-<11 mo,"17,188",48,"1,338",99.67%,96.17%,99.78%,97.60%,99.87%,98.50%,0.05%,0.13%,0.05%,0.13%
12,11-<12 mo,"15,802",43,"1,225",99.69%,95.87%,99.78%,97.39%,99.89%,98.39%,0.05%,0.14%,0.05%,0.14%
13,12-<13 mo,"14,534",31,"1,082",99.76%,95.65%,99.77%,97.17%,99.99%,98.38%,0.04%,0.14%,0.04%,0.14%
14,13-<14 mo,"13,421",30,"1,315",99.76%,95.42%,99.77%,96.94%,99.99%,98.38%,0.05%,0.15%,0.05%,0.14%
15,14-<15 mo,"12,076",33,"1,307",99.69%,95.13%,99.77%,96.72%,99.92%,98.30%,0.06%,0.16%,0.06%,0.16%
16,15-<16 mo,"10,736",30,"1,080",99.68%,94.83%,99.77%,96.49%,99.92%,98.22%,0.06%,0.16%,0.06%,0.17%
17,16-<17 mo,"9,626",29,"1,265",99.67%,94.53%,99.77%,96.27%,99.90%,98.15%,0.06%,0.17%,0.06%,0.18%
18,17-<18 mo,"8,332",18,"1,188",99.75%,94.30%,99.77%,96.05%,99.99%,98.14%,0.06%,0.18%,0.06%,0.19%
19,18-<19 mo,"7,126",16,"1,152",99.75%,94.07%,99.77%,95.83%,99.98%,98.12%,0.07%,0.19%,0.07%,0.20%
20,19-<20 mo,"5,958",16,"1,198",99.67%,93.77%,99.77%,95.61%,99.90%,98.02%,0.08%,0.20%,0.08%,0.22%
21,20-<21 mo,"4,744",10,"1,191",99.78%,93.56%,99.77%,95.40%,99.96%,97.98%,0.07%,0.21%,0.07%,0.22%
22,21-<22 mo,"3,543",3,"1,152",99.88%,93.46%,99.77%,95.18%,100.00%,97.98%,0.07%,0.22%,0.07%,0.22%
23,22-<23 mo,"2,388",6,"1,268",99.65%,93.15%,99.77%,94.97%,99.87%,97.97%,0.14%,0.26%,0.15%,0.27%
24,23-<24 mo,"1,114",0,"1,114",+,+,99.76%,94.75%,+,+,+,+,+,+
