Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,155,17,5,91.20%,91.20%,99.71%,99.71%,91.42%,91.42%,2.30%,2.30%,2.30%,2.30%
2,1-<2 mo,133,14,6,90.20%,82.46%,99.74%,99.45%,90.43%,82.90%,2.85%,3.30%,2.86%,3.31%
3,2-<3 mo,113,9,4,94.04%,77.73%,99.75%,99.20%,94.26%,78.30%,1.98%,3.57%,1.99%,3.60%
4,3-<4 mo,100,8,7,91.43%,71.38%,99.76%,98.96%,91.61%,72.04%,3.29%,4.10%,3.30%,4.13%
5,4-<5 mo,85,8,2,90.32%,64.44%,99.78%,98.74%,90.53%,65.20%,3.71%,4.59%,3.72%,4.63%
6,5-<6 mo,75,1,4,99.05%,63.92%,99.78%,98.53%,99.22%,64.76%,0.94%,4.60%,0.94%,4.64%
7,6-<7 mo,70,3,1,96.41%,61.54%,99.79%,98.32%,96.60%,62.48%,2.06%,4.72%,2.06%,4.77%
8,7-<8 mo,66,2,3,97.73%,60.38%,99.80%,98.12%,97.88%,61.36%,1.57%,4.73%,1.57%,4.79%
9,8-<9 mo,61,4,5,92.33%,55.71%,99.79%,97.92%,92.53%,56.78%,3.99%,4.98%,4.00%,5.05%
10,9-<10 mo,52,0,5,100.00%,55.71%,99.78%,97.71%,100.00%,56.78%,0.00%,4.98%,0.00%,5.05%
11,10-<11 mo,47,2,6,95.78%,53.07%,99.80%,97.52%,95.96%,54.28%,2.95%,5.20%,2.95%,5.28%
12,11-<12 mo,39,3,4,94.64%,50.70%,99.80%,97.33%,94.78%,51.87%,2.90%,5.23%,2.91%,5.32%
13,12-<13 mo,32,1,4,95.75%,47.90%,99.83%,97.16%,95.78%,49.07%,3.90%,5.61%,3.91%,5.71%
14,13-<14 mo,27,0,6,100.00%,47.90%,99.83%,97.00%,100.00%,49.07%,0.00%,5.61%,0.00%,5.71%
15,14-<15 mo,21,0,1,100.00%,47.90%,99.84%,96.85%,100.00%,49.07%,0.00%,5.61%,0.00%,5.71%
16,15-<16 mo,20,1,2,93.10%,44.05%,99.84%,96.70%,93.13%,45.20%,5.97%,6.08%,5.98%,6.20%
17,16-<17 mo,17,0,1,100.00%,44.05%,99.83%,96.53%,100.00%,45.20%,0.00%,6.08%,0.00%,6.20%
18,17-<18 mo,16,1,2,96.02%,42.51%,99.84%,96.38%,96.12%,43.84%,3.79%,6.17%,3.80%,6.32%
19,18-<19 mo,13,0,3,100.00%,42.51%,99.84%,96.22%,100.00%,43.84%,0.00%,6.17%,0.00%,6.32%
20,19-<20 mo,10,0,0,100.00%,42.51%,99.82%,96.05%,100.00%,43.84%,0.00%,6.17%,0.00%,6.32%
21,20-<21 mo,10,1,1,88.54%,36.29%,99.82%,95.88%,88.55%,37.65%,8.87%,7.30%,8.88%,7.44%
22,21-<22 mo,8,1,1,92.04%,33.49%,99.83%,95.73%,92.15%,34.81%,7.20%,7.57%,7.22%,7.77%
23,22-<23 mo,6,0,4,+,+,99.85%,95.59%,+,+,+,+,+,+
