Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"6,241","1,158",278,82.50%,82.50%,99.70%,99.70%,82.73%,82.73%,0.48%,0.48%,0.48%,0.48%
2,1-<2 mo,"4,805",476,197,90.54%,74.91%,99.71%,99.41%,90.80%,75.31%,0.42%,0.55%,0.42%,0.55%
3,2-<3 mo,"4,132",295,179,93.10%,69.94%,99.72%,99.13%,93.36%,70.49%,0.39%,0.59%,0.39%,0.59%
4,3-<4 mo,"3,658",160,157,95.76%,67.17%,99.72%,98.86%,96.03%,67.85%,0.33%,0.61%,0.33%,0.61%
5,4-<5 mo,"3,341",104,175,96.95%,65.26%,99.73%,98.59%,97.21%,66.07%,0.30%,0.62%,0.30%,0.63%
6,5-<6 mo,"3,062",90,157,97.11%,63.51%,99.73%,98.33%,97.36%,64.44%,0.30%,0.63%,0.30%,0.64%
7,6-<7 mo,"2,815",56,169,98.01%,62.31%,99.74%,98.07%,98.27%,63.36%,0.26%,0.64%,0.27%,0.65%
8,7-<8 mo,"2,590",48,143,98.15%,61.27%,99.74%,97.82%,98.41%,62.43%,0.26%,0.65%,0.27%,0.66%
9,8-<9 mo,"2,399",56,157,97.64%,59.92%,99.74%,97.57%,97.89%,61.18%,0.31%,0.66%,0.31%,0.67%
10,9-<10 mo,"2,186",44,129,97.98%,58.80%,99.74%,97.32%,98.23%,60.16%,0.30%,0.67%,0.30%,0.68%
11,10-<11 mo,"2,013",26,140,98.69%,58.10%,99.75%,97.08%,98.94%,59.57%,0.26%,0.67%,0.26%,0.69%
12,11-<12 mo,"1,847",21,159,98.85%,57.54%,99.75%,96.84%,99.09%,59.10%,0.25%,0.68%,0.25%,0.70%
13,12-<13 mo,"1,667",34,111,97.93%,56.46%,99.72%,96.58%,98.20%,58.12%,0.35%,0.69%,0.35%,0.71%
14,13-<14 mo,"1,522",14,143,99.06%,56.02%,99.73%,96.32%,99.33%,57.78%,0.25%,0.70%,0.25%,0.72%
15,14-<15 mo,"1,365",14,136,98.94%,55.48%,99.74%,96.07%,99.20%,57.35%,0.28%,0.71%,0.28%,0.73%
16,15-<16 mo,"1,215",12,125,98.99%,55.00%,99.73%,95.82%,99.25%,56.97%,0.29%,0.71%,0.29%,0.74%
17,16-<17 mo,"1,078",21,144,97.95%,53.97%,99.73%,95.57%,98.21%,56.01%,0.44%,0.74%,0.44%,0.77%
18,17-<18 mo,913,13,160,98.47%,53.30%,99.74%,95.33%,98.72%,55.41%,0.42%,0.75%,0.42%,0.78%
19,18-<19 mo,740,8,130,98.83%,52.77%,99.74%,95.09%,99.09%,54.97%,0.41%,0.77%,0.41%,0.80%
20,19-<20 mo,602,10,118,98.19%,51.99%,99.74%,94.85%,98.44%,54.24%,0.57%,0.80%,0.57%,0.84%
21,20-<21 mo,474,8,133,98.04%,51.09%,99.75%,94.62%,98.28%,53.39%,0.69%,0.85%,0.69%,0.89%
22,21-<22 mo,333,6,98,97.91%,50.09%,99.75%,94.40%,98.12%,52.42%,0.84%,0.94%,0.84%,0.99%
23,22-<23 mo,229,2,111,98.86%,49.69%,99.73%,94.16%,99.07%,52.06%,0.80%,0.97%,0.80%,1.02%
24,23-<24 mo,116,2,114,+,+,99.74%,93.92%,+,+,+,+,+,+
