Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,341",236,54,81.82%,81.82%,99.72%,99.72%,82.03%,82.03%,1.07%,1.07%,1.07%,1.07%
2,1-<2 mo,"1,051",83,48,91.38%,75.26%,99.73%,99.45%,91.61%,75.62%,0.89%,1.18%,0.90%,1.19%
3,2-<3 mo,920,44,29,94.47%,71.48%,99.74%,99.19%,94.71%,71.97%,0.81%,1.24%,0.82%,1.25%
4,3-<4 mo,847,28,41,95.96%,68.95%,99.75%,98.94%,96.19%,69.56%,0.75%,1.27%,0.75%,1.29%
5,4-<5 mo,778,22,42,96.72%,67.05%,99.76%,98.71%,96.94%,67.76%,0.69%,1.29%,0.70%,1.31%
6,5-<6 mo,714,18,42,96.77%,65.28%,99.76%,98.48%,97.00%,66.08%,0.75%,1.31%,0.75%,1.33%
7,6-<7 mo,654,21,47,95.83%,63.06%,99.76%,98.25%,96.06%,63.92%,0.89%,1.33%,0.90%,1.36%
8,7-<8 mo,586,10,33,97.76%,61.92%,99.76%,98.01%,97.99%,62.88%,0.71%,1.35%,0.71%,1.38%
9,8-<9 mo,543,9,36,97.71%,60.79%,99.76%,97.78%,97.93%,61.81%,0.75%,1.37%,0.76%,1.40%
10,9-<10 mo,498,4,35,98.91%,60.22%,99.76%,97.56%,99.14%,61.34%,0.54%,1.38%,0.54%,1.42%
11,10-<11 mo,459,6,43,98.43%,59.46%,99.76%,97.33%,98.63%,60.65%,0.66%,1.39%,0.67%,1.43%
12,11-<12 mo,410,7,29,97.79%,58.46%,99.77%,97.11%,98.02%,59.73%,0.84%,1.41%,0.84%,1.46%
13,12-<13 mo,374,5,20,98.13%,57.77%,99.75%,96.87%,98.33%,59.08%,0.82%,1.41%,0.82%,1.47%
14,13-<14 mo,349,4,31,98.57%,57.16%,99.74%,96.62%,98.79%,58.54%,0.73%,1.43%,0.73%,1.48%
15,14-<15 mo,314,5,25,98.03%,56.27%,99.74%,96.38%,98.29%,57.76%,0.89%,1.45%,0.90%,1.51%
16,15-<16 mo,284,2,23,99.25%,55.89%,99.74%,96.13%,99.47%,57.46%,0.56%,1.47%,0.56%,1.53%
17,16-<17 mo,259,3,34,98.42%,55.24%,99.74%,95.89%,98.67%,56.89%,0.91%,1.49%,0.91%,1.56%
18,17-<18 mo,222,2,36,98.79%,54.70%,99.74%,95.64%,99.04%,56.42%,0.86%,1.52%,0.86%,1.59%
19,18-<19 mo,184,0,31,100.00%,54.70%,99.72%,95.38%,100.00%,56.42%,0.00%,1.52%,0.00%,1.59%
20,19-<20 mo,153,0,31,100.00%,54.70%,99.73%,95.13%,100.00%,56.42%,0.00%,1.52%,0.00%,1.59%
21,20-<21 mo,122,0,26,100.00%,54.70%,99.73%,94.89%,100.00%,56.42%,0.00%,1.52%,0.00%,1.59%
22,21-<22 mo,96,1,31,98.10%,54.10%,99.72%,94.63%,98.32%,56.07%,1.86%,1.60%,1.87%,1.71%
23,22-<23 mo,64,4,37,88.95%,49.38%,99.76%,94.42%,89.15%,51.26%,5.45%,2.63%,5.47%,2.80%
24,23-<24 mo,23,1,22,+,+,99.79%,94.22%,+,+,+,+,+,+
