Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,127",91,105,95.54%,95.54%,99.76%,99.76%,95.77%,95.77%,0.46%,0.46%,0.46%,0.46%
2,1-<2 mo,"1,931",58,88,96.74%,92.46%,99.76%,99.52%,96.97%,92.89%,0.42%,0.59%,0.42%,0.60%
3,2-<3 mo,"1,785",37,90,97.72%,90.41%,99.77%,99.29%,97.94%,91.03%,0.37%,0.66%,0.37%,0.67%
4,3-<4 mo,"1,658",14,83,99.05%,89.59%,99.77%,99.07%,99.28%,90.39%,0.25%,0.69%,0.25%,0.70%
5,4-<5 mo,"1,561",18,89,98.74%,88.51%,99.77%,98.85%,98.96%,89.48%,0.30%,0.72%,0.30%,0.74%
6,5-<6 mo,"1,454",12,90,99.09%,87.73%,99.77%,98.63%,99.31%,88.88%,0.26%,0.75%,0.27%,0.77%
7,6-<7 mo,"1,352",9,74,99.31%,87.14%,99.78%,98.41%,99.53%,88.47%,0.23%,0.77%,0.23%,0.79%
8,7-<8 mo,"1,269",4,72,99.70%,86.88%,99.78%,98.20%,99.89%,88.37%,0.15%,0.78%,0.15%,0.80%
9,8-<9 mo,"1,193",7,88,99.35%,86.36%,99.78%,97.98%,99.54%,87.98%,0.25%,0.80%,0.25%,0.82%
10,9-<10 mo,"1,098",4,70,99.58%,86.03%,99.78%,97.78%,99.76%,87.78%,0.21%,0.81%,0.21%,0.83%
11,10-<11 mo,"1,024",4,80,99.54%,85.68%,99.78%,97.56%,99.72%,87.56%,0.23%,0.82%,0.23%,0.85%
12,11-<12 mo,940,12,86,98.58%,84.56%,99.78%,97.36%,98.76%,86.56%,0.41%,0.87%,0.41%,0.90%
13,12-<13 mo,842,3,67,99.58%,84.22%,99.76%,97.13%,99.80%,86.50%,0.24%,0.88%,0.24%,0.91%
14,13-<14 mo,772,2,69,99.69%,84.00%,99.76%,96.90%,99.89%,86.41%,0.22%,0.89%,0.22%,0.93%
15,14-<15 mo,701,5,68,99.15%,83.31%,99.77%,96.68%,99.37%,85.93%,0.38%,0.94%,0.38%,0.98%
16,15-<16 mo,628,2,76,99.61%,82.99%,99.77%,96.46%,99.83%,85.77%,0.27%,0.96%,0.27%,1.01%
17,16-<17 mo,550,1,78,99.78%,82.83%,99.77%,96.25%,99.96%,85.75%,0.22%,0.97%,0.22%,1.02%
18,17-<18 mo,471,1,72,99.74%,82.64%,99.78%,96.04%,99.92%,85.68%,0.26%,0.98%,0.26%,1.04%
19,18-<19 mo,398,1,72,99.69%,82.42%,99.78%,95.83%,99.86%,85.58%,0.31%,1.00%,0.31%,1.07%
20,19-<20 mo,325,2,57,99.24%,81.88%,99.79%,95.64%,99.40%,85.12%,0.54%,1.06%,0.54%,1.13%
21,20-<21 mo,266,1,79,99.51%,81.54%,99.79%,95.44%,99.67%,84.87%,0.49%,1.11%,0.49%,1.19%
22,21-<22 mo,186,1,76,99.31%,81.06%,99.79%,95.25%,99.47%,84.47%,0.69%,1.19%,0.69%,1.28%
23,22-<23 mo,109,0,68,100.00%,81.06%,99.79%,95.06%,100.00%,84.47%,0.00%,1.19%,0.00%,1.28%
24,23-<24 mo,41,0,41,+,+,99.82%,94.90%,+,+,+,+,+,+
