Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"3,419",242,167,92.71%,92.71%,99.76%,99.76%,92.92%,92.92%,0.45%,0.45%,0.45%,0.45%
2,1-<2 mo,"3,010",104,124,96.35%,89.41%,99.76%,99.53%,96.58%,89.82%,0.35%,0.53%,0.35%,0.53%
3,2-<3 mo,"2,782",71,150,97.26%,87.05%,99.77%,99.30%,97.48%,87.62%,0.32%,0.58%,0.32%,0.59%
4,3-<4 mo,"2,561",51,129,97.83%,85.26%,99.78%,99.08%,98.04%,86.00%,0.30%,0.62%,0.30%,0.62%
5,4-<5 mo,"2,381",34,113,98.42%,84.01%,99.78%,98.87%,98.63%,84.90%,0.27%,0.64%,0.27%,0.65%
6,5-<6 mo,"2,234",38,152,98.13%,82.52%,99.78%,98.65%,98.34%,83.55%,0.30%,0.67%,0.30%,0.68%
7,6-<7 mo,"2,044",29,113,98.39%,81.30%,99.79%,98.45%,98.59%,82.47%,0.30%,0.69%,0.30%,0.71%
8,7-<8 mo,"1,902",27,125,98.39%,80.10%,99.79%,98.25%,98.59%,81.39%,0.31%,0.71%,0.31%,0.73%
9,8-<9 mo,"1,750",18,146,98.81%,79.24%,99.79%,98.04%,99.02%,80.66%,0.28%,0.73%,0.28%,0.75%
10,9-<10 mo,"1,586",18,109,98.78%,78.31%,99.79%,97.84%,98.99%,79.86%,0.29%,0.75%,0.29%,0.78%
11,10-<11 mo,"1,459",10,104,99.30%,77.75%,99.79%,97.64%,99.50%,79.43%,0.22%,0.77%,0.22%,0.79%
12,11-<12 mo,"1,345",14,107,98.83%,76.90%,99.79%,97.45%,99.03%,78.70%,0.32%,0.79%,0.32%,0.82%
13,12-<13 mo,"1,224",8,88,99.31%,76.37%,99.77%,97.22%,99.54%,78.32%,0.25%,0.81%,0.25%,0.84%
14,13-<14 mo,"1,128",5,100,99.50%,76.02%,99.77%,97.00%,99.73%,78.12%,0.23%,0.82%,0.23%,0.85%
15,14-<15 mo,"1,023",5,106,99.45%,75.62%,99.77%,96.79%,99.67%,77.87%,0.25%,0.83%,0.25%,0.87%
16,15-<16 mo,912,3,121,99.62%,75.36%,99.78%,96.57%,99.82%,77.73%,0.22%,0.84%,0.22%,0.88%
17,16-<17 mo,788,3,100,99.56%,75.06%,99.78%,96.36%,99.75%,77.54%,0.25%,0.85%,0.25%,0.90%
18,17-<18 mo,685,3,126,99.48%,74.71%,99.78%,96.15%,99.67%,77.30%,0.31%,0.87%,0.31%,0.92%
19,18-<19 mo,556,1,88,99.76%,74.56%,99.78%,95.95%,99.93%,77.25%,0.24%,0.88%,0.24%,0.93%
20,19-<20 mo,467,2,95,99.58%,74.20%,99.79%,95.75%,99.62%,77.04%,0.30%,0.92%,0.30%,0.96%
21,20-<21 mo,370,2,85,99.26%,73.75%,99.79%,95.56%,99.42%,76.77%,0.52%,0.96%,0.52%,1.02%
22,21-<22 mo,283,1,95,99.67%,73.46%,99.79%,95.37%,99.68%,76.49%,0.33%,1.00%,0.33%,1.06%
23,22-<23 mo,187,0,103,100.00%,73.46%,99.79%,95.17%,100.00%,76.49%,0.00%,1.00%,0.00%,1.06%
24,23-<24 mo,84,0,84,+,+,99.80%,94.98%,+,+,+,+,+,+
