Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"3,090",50,135,98.35%,98.35%,99.78%,99.78%,98.56%,98.56%,0.23%,0.23%,0.23%,0.23%
2,1-<2 mo,"2,905",45,126,98.42%,96.79%,99.79%,99.57%,98.62%,97.20%,0.23%,0.32%,0.23%,0.33%
3,2-<3 mo,"2,734",60,133,97.75%,94.61%,99.79%,99.37%,97.95%,95.21%,0.29%,0.42%,0.29%,0.42%
4,3-<4 mo,"2,541",40,114,98.39%,93.09%,99.80%,99.17%,98.59%,93.87%,0.25%,0.48%,0.25%,0.48%
5,4-<5 mo,"2,387",37,131,98.41%,91.60%,99.80%,98.97%,98.60%,92.56%,0.26%,0.53%,0.26%,0.54%
6,5-<6 mo,"2,219",38,118,98.24%,89.99%,99.80%,98.78%,98.43%,91.11%,0.28%,0.58%,0.28%,0.59%
7,6-<7 mo,"2,063",30,111,98.51%,88.65%,99.81%,98.58%,98.70%,89.92%,0.27%,0.62%,0.27%,0.63%
8,7-<8 mo,"1,922",30,110,98.39%,87.22%,99.81%,98.39%,98.58%,88.65%,0.29%,0.66%,0.29%,0.68%
9,8-<9 mo,"1,782",28,103,98.38%,85.81%,99.81%,98.21%,98.57%,87.38%,0.30%,0.71%,0.30%,0.72%
10,9-<10 mo,"1,651",16,119,98.99%,84.95%,99.81%,98.02%,99.18%,86.66%,0.25%,0.73%,0.25%,0.75%
11,10-<11 mo,"1,516",25,117,98.28%,83.49%,99.81%,97.84%,98.47%,85.34%,0.34%,0.77%,0.34%,0.79%
12,11-<12 mo,"1,374",19,132,98.55%,82.28%,99.82%,97.66%,98.73%,84.25%,0.33%,0.81%,0.33%,0.83%
13,12-<13 mo,"1,223",13,92,98.90%,81.37%,99.80%,97.46%,99.10%,83.49%,0.30%,0.84%,0.31%,0.86%
14,13-<14 mo,"1,118",10,109,99.06%,80.61%,99.80%,97.27%,99.26%,82.87%,0.30%,0.87%,0.30%,0.89%
15,14-<15 mo,999,10,102,98.95%,79.76%,99.80%,97.07%,99.14%,82.16%,0.33%,0.90%,0.33%,0.93%
16,15-<16 mo,887,9,96,98.93%,78.90%,99.80%,96.88%,99.12%,81.44%,0.36%,0.93%,0.36%,0.96%
17,16-<17 mo,782,5,109,99.31%,78.36%,99.81%,96.69%,99.50%,81.04%,0.31%,0.96%,0.31%,0.99%
18,17-<18 mo,668,5,108,99.19%,77.72%,99.81%,96.51%,99.37%,80.53%,0.36%,0.99%,0.36%,1.03%
19,18-<19 mo,555,5,97,99.01%,76.95%,99.81%,96.33%,99.20%,79.89%,0.44%,1.04%,0.44%,1.08%
20,19-<20 mo,453,2,93,99.51%,76.57%,99.81%,96.14%,99.70%,79.65%,0.35%,1.07%,0.35%,1.11%
21,20-<21 mo,358,1,100,99.68%,76.33%,99.81%,95.96%,99.86%,79.54%,0.32%,1.09%,0.32%,1.14%
22,21-<22 mo,257,1,82,99.54%,75.97%,99.82%,95.79%,99.71%,79.31%,0.46%,1.14%,0.46%,1.19%
23,22-<23 mo,174,0,104,100.00%,75.97%,99.83%,95.63%,100.0000%*,79.3071%#,0.00%,1.14%,0.00%,1.1937%#
24,23-<24 mo,70,0,70,+,+,99.84%,95.48%,+,+,+,+,+,+
