Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,259,67,15,74.27%,74.27%,99.70%,99.70%,74.49%,74.49%,2.90%,2.90%,2.91%,2.91%
2,1-<2 mo,177,41,8,78.64%,58.69%,99.73%,99.43%,78.83%,58.98%,3.09%,3.29%,3.10%,3.30%
3,2-<3 mo,128,21,12,83.84%,49.43%,99.72%,99.15%,84.07%,49.79%,3.37%,3.46%,3.38%,3.48%
4,3-<4 mo,95,16,5,85.59%,43.19%,99.73%,98.89%,85.79%,43.55%,3.21%,3.44%,3.22%,3.46%
5,4-<5 mo,74,4,5,95.14%,41.52%,99.70%,98.59%,95.41%,41.95%,2.35%,3.43%,2.36%,3.46%
6,5-<6 mo,65,6,1,91.71%,38.78%,99.72%,98.32%,91.95%,39.23%,3.18%,3.41%,3.20%,3.44%
7,6-<7 mo,58,2,3,96.76%,37.76%,99.71%,98.04%,97.03%,38.26%,2.23%,3.40%,2.24%,3.44%
8,7-<8 mo,53,3,2,94.79%,36.29%,99.73%,97.78%,95.03%,36.82%,2.91%,3.39%,2.92%,3.43%
9,8-<9 mo,48,2,2,95.81%,35.10%,99.76%,97.55%,96.03%,35.66%,2.88%,3.38%,2.89%,3.43%
10,9-<10 mo,44,3,3,93.04%,33.35%,99.76%,97.33%,93.25%,33.91%,3.91%,3.38%,3.92%,3.43%
11,10-<11 mo,38,4,6,89.04%,27.64%,99.77%,97.11%,89.23%,28.23%,4.75%,3.86%,4.75%,3.92%
12,11-<12 mo,28,2,2,94.16%,26.58%,99.74%,96.86%,94.36%,27.15%,3.84%,3.85%,3.86%,3.91%
13,12-<13 mo,24,1,3,96.19%,25.99%,99.68%,96.56%,96.45%,26.56%,3.64%,3.84%,3.66%,3.90%
14,13-<14 mo,20,0,2,100.00%,25.99%,99.68%,96.26%,100.00%,26.56%,0.00%,3.84%,0.00%,3.90%
15,14-<15 mo,18,0,0,100.00%,25.99%,99.68%,95.96%,100.00%,26.56%,0.00%,3.84%,0.00%,3.90%
16,15-<16 mo,18,2,0,88.73%,23.50%,99.68%,95.66%,89.00%,24.16%,7.28%,3.98%,7.30%,4.06%
17,16-<17 mo,16,0,2,100.00%,23.50%,99.80%,95.48%,100.00%,24.16%,0.00%,3.98%,0.00%,4.06%
18,17-<18 mo,14,0,2,100.00%,23.50%,99.79%,95.28%,100.00%,24.16%,0.00%,3.98%,0.00%,4.06%
19,18-<19 mo,12,1,1,92.84%,20.43%,99.78%,95.08%,92.85%,21.10%,6.20%,4.35%,6.20%,4.43%
20,19-<20 mo,10,0,1,100.00%,20.43%,99.77%,94.86%,100.00%,21.10%,0.00%,4.35%,0.00%,4.43%
21,20-<21 mo,9,2,3,+,+,99.74%,94.62%,+,+,+,+,+,+
