Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,215,20,8,90.30%,90.30%,99.79%,99.79%,90.48%,90.48%,2.01%,2.01%,2.02%,2.02%
2,1-<2 mo,187,11,9,93.62%,84.73%,99.80%,99.59%,93.80%,85.05%,1.85%,2.45%,1.86%,2.46%
3,2-<3 mo,167,7,6,95.60%,81.07%,99.80%,99.39%,95.79%,81.52%,1.64%,2.69%,1.64%,2.72%
4,3-<4 mo,154,4,13,97.03%,78.77%,99.80%,99.19%,97.22%,79.34%,1.47%,2.83%,1.47%,2.86%
5,4-<5 mo,137,0,14,100.00%,78.77%,99.82%,99.01%,100.00%,79.34%,0.00%,2.83%,0.00%,2.86%
6,5-<6 mo,123,4,4,96.57%,76.03%,99.83%,98.84%,96.73%,76.84%,1.70%,3.05%,1.70%,3.09%
7,6-<7 mo,115,4,8,96.23%,73.26%,99.83%,98.67%,96.40%,74.15%,1.87%,3.23%,1.87%,3.28%
8,7-<8 mo,103,4,8,95.50%,70.28%,99.83%,98.50%,95.66%,71.21%,2.17%,3.38%,2.18%,3.44%
9,8-<9 mo,91,1,4,98.62%,69.31%,99.83%,98.33%,98.64%,70.25%,1.34%,3.46%,1.35%,3.52%
10,9-<10 mo,86,1,9,98.67%,68.53%,99.83%,98.16%,98.82%,69.62%,1.31%,3.49%,1.31%,3.57%
11,10-<11 mo,76,1,5,99.01%,67.66%,99.85%,98.02%,99.02%,68.78%,0.97%,3.58%,0.97%,3.65%
12,11-<12 mo,70,2,7,96.34%,65.37%,99.85%,97.87%,96.47%,66.62%,2.53%,3.78%,2.53%,3.87%
13,12-<13 mo,61,1,6,98.18%,64.37%,99.83%,97.71%,98.31%,65.66%,1.79%,3.83%,1.79%,3.93%
14,13-<14 mo,54,0,7,100.00%,64.37%,99.82%,97.54%,100.00%,65.66%,0.00%,3.83%,0.00%,3.93%
15,14-<15 mo,47,2,5,94.63%,61.26%,99.84%,97.39%,94.77%,62.66%,3.66%,4.17%,3.66%,4.30%
16,15-<16 mo,40,1,5,96.32%,59.24%,99.84%,97.23%,96.34%,60.62%,3.43%,4.37%,3.43%,4.49%
17,16-<17 mo,34,1,4,94.48%,56.61%,99.84%,97.08%,94.50%,57.97%,4.94%,4.62%,4.94%,4.75%
18,17-<18 mo,29,0,2,100.00%,56.61%,99.85%,96.93%,100.00%,57.97%,0.00%,4.62%,0.00%,4.75%
19,18-<19 mo,27,0,4,100.00%,56.61%,99.84%,96.78%,100.00%,57.97%,0.00%,4.62%,0.00%,4.75%
20,19-<20 mo,23,0,1,100.00%,56.61%,99.83%,96.63%,100.00%,57.97%,0.00%,4.62%,0.00%,4.75%
21,20-<21 mo,22,0,5,100.00%,56.61%,99.83%,96.47%,100.00%,57.97%,0.00%,4.62%,0.00%,4.75%
22,21-<22 mo,17,0,4,100.00%,56.61%,99.82%,96.30%,100.00%,57.97%,0.00%,4.62%,0.00%,4.75%
23,22-<23 mo,13,0,6,100.00%,56.61%,99.79%,96.10%,100.00%,57.97%,0.00%,4.62%,0.00%,4.75%
24,23-<24 mo,7,0,7,+,+,99.77%,95.89%,+,+,+,+,+,+
