Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,257,48,8,82.41%,82.41%,99.64%,99.64%,82.68%,82.68%,2.27%,2.27%,2.28%,2.28%
2,1-<2 mo,201,13,11,93.76%,77.72%,99.69%,99.33%,94.01%,78.14%,1.64%,2.44%,1.65%,2.47%
3,2-<3 mo,177,6,12,96.84%,75.38%,99.69%,99.02%,97.11%,75.95%,1.27%,2.54%,1.28%,2.57%
4,3-<4 mo,159,5,2,96.78%,73.44%,99.69%,98.71%,97.03%,74.14%,1.39%,2.58%,1.39%,2.62%
5,4-<5 mo,152,6,5,95.76%,71.09%,99.70%,98.42%,96.00%,71.85%,1.64%,2.60%,1.65%,2.65%
6,5-<6 mo,141,8,14,93.19%,67.30%,99.70%,98.13%,93.44%,68.22%,2.26%,2.73%,2.27%,2.79%
7,6-<7 mo,119,1,7,98.92%,66.83%,99.73%,97.87%,99.14%,67.84%,1.07%,2.73%,1.07%,2.80%
8,7-<8 mo,111,1,6,98.83%,66.34%,99.72%,97.60%,99.06%,67.42%,1.15%,2.74%,1.16%,2.82%
9,8-<9 mo,104,1,9,99.30%,65.74%,99.73%,97.34%,99.31%,66.89%,0.69%,2.79%,0.69%,2.87%
10,9-<10 mo,94,2,2,97.51%,64.17%,99.72%,97.07%,97.77%,65.58%,1.73%,2.95%,1.73%,3.05%
11,10-<11 mo,90,2,11,97.18%,63.04%,99.72%,96.80%,97.40%,64.48%,1.93%,2.96%,1.94%,3.07%
12,11-<12 mo,77,1,6,98.35%,62.42%,99.72%,96.54%,98.57%,63.91%,1.62%,2.97%,1.63%,3.09%
13,12-<13 mo,70,0,5,100.00%,62.42%,99.72%,96.28%,100.00%,63.91%,0.00%,2.97%,0.00%,3.09%
14,13-<14 mo,65,3,5,95.19%,59.36%,99.72%,96.02%,95.45%,61.11%,2.76%,3.33%,2.77%,3.47%
15,14-<15 mo,57,1,6,97.63%,58.55%,99.77%,95.80%,97.80%,60.29%,2.30%,3.36%,2.31%,3.50%
16,15-<16 mo,50,0,4,100.00%,58.55%,99.79%,95.60%,100.00%,60.29%,0.00%,3.36%,0.00%,3.50%
17,16-<17 mo,46,0,6,100.00%,58.55%,99.79%,95.40%,100.00%,60.29%,0.00%,3.36%,0.00%,3.50%
18,17-<18 mo,40,0,10,100.00%,58.55%,99.78%,95.20%,100.00%,60.29%,0.00%,3.36%,0.00%,3.50%
19,18-<19 mo,30,0,6,100.00%,58.55%,99.81%,95.02%,100.00%,60.29%,0.00%,3.36%,0.00%,3.50%
20,19-<20 mo,24,0,5,100.00%,58.55%,99.83%,94.86%,100.00%,60.29%,0.00%,3.36%,0.00%,3.50%
21,20-<21 mo,19,0,5,100.00%,58.55%,99.84%,94.71%,100.00%,60.29%,0.00%,3.36%,0.00%,3.50%
22,21-<22 mo,14,1,4,93.64%,53.51%,99.83%,94.56%,93.65%,55.30%,5.61%,5.47%,5.62%,5.60%
23,22-<23 mo,9,0,1,100.00%,53.51%,99.81%,94.38%,100.00%,55.30%,0.00%,5.47%,0.00%,5.60%
24,23-<24 mo,8,0,8,+,+,99.81%,94.20%,+,+,+,+,+,+
