Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,58,1,2,98.25%,98.25%,99.75%,99.75%,98.50%,98.50%,1.74%,1.74%,1.74%,1.74%
2,1-<2 mo,55,0,3,100.00%,98.25%,99.76%,99.51%,100.0000%*,98.4966%#,0.00%,1.74%,0.00%,1.7434%#
3,2-<3 mo,52,0,0,100.00%,98.25%,99.76%,99.27%,100.0000%*,98.4966%#,0.00%,1.74%,0.00%,1.7434%#
4,3-<4 mo,52,0,2,100.00%,98.25%,99.76%,99.03%,100.0000%*,98.4966%#,0.00%,1.74%,0.00%,1.7434%#
5,4-<5 mo,50,0,2,100.00%,98.25%,99.75%,98.79%,100.0000%*,98.4966%#,0.00%,1.74%,0.00%,1.7434%#
6,5-<6 mo,48,1,3,97.85%,96.13%,99.77%,98.56%,98.08%,97.54%,2.13%,2.70%,2.13%,2.73%
7,6-<7 mo,44,1,3,97.65%,93.87%,99.76%,98.32%,97.89%,95.47%,2.33%,3.45%,2.33%,3.51%
8,7-<8 mo,40,1,2,97.44%,91.46%,99.77%,98.09%,97.66%,93.24%,2.53%,4.12%,2.54%,4.20%
9,8-<9 mo,37,0,1,100.00%,91.46%,99.77%,97.87%,100.0000%*,93.2426%#,0.00%,4.12%,0.00%,4.1987%#
10,9-<10 mo,36,0,0,100.00%,91.46%,99.76%,97.63%,100.0000%*,93.2426%#,0.00%,4.12%,0.00%,4.1987%#
11,10-<11 mo,36,0,5,100.00%,91.46%,99.76%,97.40%,100.0000%*,93.2426%#,0.00%,4.12%,0.00%,4.1987%#
12,11-<12 mo,31,0,3,100.00%,91.46%,99.74%,97.15%,100.0000%*,93.2426%#,0.00%,4.12%,0.00%,4.1987%#
13,12-<13 mo,28,0,2,100.00%,91.46%,99.72%,96.88%,100.0000%*,93.2426%#,0.00%,4.12%,0.00%,4.1987%#
14,13-<14 mo,26,0,2,100.00%,91.46%,99.74%,96.63%,100.0000%*,93.2426%#,0.00%,4.12%,0.00%,4.1987%#
15,14-<15 mo,24,0,4,100.00%,91.46%,99.72%,96.36%,100.0000%*,93.2426%#,0.00%,4.12%,0.00%,4.1987%#
16,15-<16 mo,20,0,0,100.00%,91.46%,99.73%,96.10%,100.0000%*,93.2426%#,0.00%,4.12%,0.00%,4.1987%#
17,16-<17 mo,20,0,4,100.00%,91.46%,99.73%,95.84%,100.0000%*,93.2426%#,0.00%,4.12%,0.00%,4.1987%#
18,17-<18 mo,16,0,3,100.00%,91.46%,99.72%,95.57%,100.0000%*,93.2426%#,0.00%,4.12%,0.00%,4.1987%#
19,18-<19 mo,13,1,6,90.00%,82.32%,99.69%,95.27%,90.28%,86.41%,9.49%,9.44%,9.52%,9.90%
20,19-<20 mo,6,0,1,100.00%,82.32%,99.59%,94.88%,100.0000%*,86.4083%#,0.00%,9.44%,0.00%,9.9045%#
21,20-<21 mo,5,0,1,100.00%,82.32%,99.57%,94.47%,100.0000%*,86.4083%#,0.00%,9.44%,0.00%,9.9045%#
22,21-<22 mo,4,0,0,100.00%,82.32%,99.76%,94.25%,100.0000%*,86.4083%#,0.00%,9.44%,0.00%,9.9045%#
23,22-<23 mo,4,0,2,100.00%,82.32%,99.76%,94.02%,100.0000%*,86.4083%#,0.00%,9.44%,0.00%,9.9045%#
24,23-<24 mo,2,0,2,+,+,99.72%,93.76%,+,+,+,+,+,+
