Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,137,11,11,91.64%,91.64%,99.65%,99.65%,91.96%,91.96%,2.41%,2.41%,2.42%,2.42%
2,1-<2 mo,115,6,5,94.67%,86.75%,99.65%,99.30%,95.00%,87.36%,2.12%,3.00%,2.13%,3.02%
3,2-<3 mo,104,7,7,93.03%,80.71%,99.65%,98.95%,93.36%,81.56%,2.54%,3.55%,2.55%,3.59%
4,3-<4 mo,90,4,3,95.48%,77.06%,99.66%,98.62%,95.81%,78.14%,2.21%,3.83%,2.22%,3.89%
5,4-<5 mo,83,1,2,98.78%,76.12%,99.67%,98.29%,99.11%,77.44%,1.21%,3.90%,1.22%,3.97%
6,5-<6 mo,80,3,5,96.13%,73.17%,99.68%,97.97%,96.44%,74.69%,2.19%,4.10%,2.20%,4.19%
7,6-<7 mo,72,2,5,97.12%,71.07%,99.69%,97.67%,97.42%,72.76%,2.01%,4.25%,2.01%,4.35%
8,7-<8 mo,65,0,6,100.00%,71.07%,99.71%,97.39%,100.0000%*,72.7597%#,0.00%,4.25%,0.00%,4.3481%#
9,8-<9 mo,59,1,1,98.29%,69.85%,99.72%,97.12%,98.56%,71.92%,1.69%,4.34%,1.70%,4.47%
10,9-<10 mo,57,2,5,96.33%,67.29%,99.72%,96.85%,96.60%,69.47%,2.55%,4.55%,2.55%,4.70%
11,10-<11 mo,50,0,2,100.00%,67.29%,99.73%,96.59%,100.0000%*,69.4742%#,0.00%,4.55%,0.00%,4.6953%#
12,11-<12 mo,48,1,2,97.87%,65.86%,99.72%,96.32%,98.14%,68.37%,2.10%,4.67%,2.11%,4.85%
13,12-<13 mo,45,1,3,97.70%,64.34%,99.69%,96.02%,98.01%,67.01%,2.27%,4.80%,2.28%,5.00%
14,13-<14 mo,41,0,3,100.00%,64.34%,99.69%,95.72%,100.0000%*,67.0073%#,0.00%,4.80%,0.00%,5.0014%#
15,14-<15 mo,38,0,3,100.00%,64.34%,99.68%,95.41%,100.0000%*,67.0073%#,0.00%,4.80%,0.00%,5.0014%#
16,15-<16 mo,35,1,5,96.92%,62.36%,99.66%,95.09%,97.25%,65.58%,3.03%,5.05%,3.04%,5.31%
17,16-<17 mo,29,0,3,100.00%,62.36%,99.67%,94.78%,100.0000%*,65.5799%#,0.00%,5.05%,0.00%,5.3066%#
18,17-<18 mo,26,0,3,100.00%,62.36%,99.66%,94.45%,100.0000%*,65.5799%#,0.00%,5.05%,0.00%,5.3066%#
19,18-<19 mo,23,0,2,100.00%,62.36%,99.65%,94.13%,100.0000%*,65.5799%#,0.00%,5.05%,0.00%,5.3066%#
20,19-<20 mo,21,0,4,100.00%,62.36%,99.63%,93.78%,100.0000%*,65.5799%#,0.00%,5.05%,0.00%,5.3066%#
21,20-<21 mo,17,2,4,86.67%,54.05%,99.61%,93.41%,87.01%,57.86%,8.78%,7.01%,8.81%,7.50%
22,21-<22 mo,11,1,3,89.47%,48.36%,99.51%,92.96%,89.91%,52.02%,9.96%,8.26%,10.01%,8.89%
23,22-<23 mo,7,0,3,100.00%,48.36%,99.53%,92.52%,100.0000%*,52.0221%#,0.00%,8.26%,0.00%,8.8877%#
24,23-<24 mo,4,0,4,+,+,99.42%,91.98%,+,+,+,+,+,+
