Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"30,791",184,"1,414",99.39%,99.39%,99.77%,99.77%,99.62%,99.62%,0.05%,0.05%,0.05%,0.05%
2,1-<2 mo,"29,193",96,"1,358",99.66%,99.05%,99.77%,99.55%,99.89%,99.51%,0.03%,0.06%,0.03%,0.06%
3,2-<3 mo,"27,739",114,"1,499",99.58%,98.64%,99.78%,99.32%,99.80%,99.31%,0.04%,0.07%,0.04%,0.07%
4,3-<4 mo,"26,126",80,"1,367",99.69%,98.33%,99.78%,99.10%,99.91%,99.22%,0.04%,0.08%,0.04%,0.08%
5,4-<5 mo,"24,679",70,"1,426",99.71%,98.04%,99.78%,98.88%,99.93%,99.15%,0.03%,0.08%,0.03%,0.08%
6,5-<6 mo,"23,183",56,"1,366",99.75%,97.79%,99.78%,98.66%,99.97%,99.12%,0.03%,0.09%,0.03%,0.09%
7,6-<7 mo,"21,761",63,"1,244",99.70%,97.50%,99.78%,98.44%,99.92%,99.04%,0.04%,0.10%,0.04%,0.10%
8,7-<8 mo,"20,454",58,"1,338",99.71%,97.22%,99.78%,98.23%,99.93%,98.97%,0.04%,0.10%,0.04%,0.11%
9,8-<9 mo,"19,058",55,"1,328",99.70%,96.93%,99.78%,98.01%,99.92%,98.89%,0.04%,0.11%,0.04%,0.11%
10,9-<10 mo,"17,675",47,"1,218",99.72%,96.66%,99.78%,97.80%,99.94%,98.83%,0.04%,0.12%,0.04%,0.12%
11,10-<11 mo,"16,410",47,"1,279",99.70%,96.37%,99.78%,97.59%,99.92%,98.75%,0.04%,0.12%,0.04%,0.13%
12,11-<12 mo,"15,084",41,"1,162",99.72%,96.10%,99.79%,97.38%,99.93%,98.68%,0.04%,0.13%,0.04%,0.13%
13,12-<13 mo,"13,881",30,"1,030",99.78%,95.88%,99.77%,97.16%,100.0000%*,98.6821%#,0.04%,0.14%,0.04%,0.1338%#
14,13-<14 mo,"12,821",30,"1,264",99.75%,95.65%,99.77%,96.93%,99.99%,98.68%,0.04%,0.14%,0.05%,0.15%
15,14-<15 mo,"11,527",33,"1,250",99.70%,95.36%,99.77%,96.71%,99.93%,98.61%,0.05%,0.15%,0.05%,0.16%
16,15-<16 mo,"10,244",27,"1,038",99.72%,95.09%,99.77%,96.48%,99.95%,98.56%,0.05%,0.16%,0.05%,0.16%
17,16-<17 mo,"9,179",28,"1,208",99.67%,94.78%,99.77%,96.26%,99.90%,98.47%,0.06%,0.17%,0.06%,0.17%
18,17-<18 mo,"7,943",18,"1,134",99.76%,94.55%,99.77%,96.04%,99.99%,98.45%,0.06%,0.18%,0.06%,0.18%
19,18-<19 mo,"6,791",14,"1,104",99.78%,94.34%,99.77%,95.82%,100.0000%*,98.4512%#,0.06%,0.19%,0.06%,0.1838%#
20,19-<20 mo,"5,673",15,"1,142",99.71%,94.06%,99.77%,95.60%,99.93%,98.39%,0.08%,0.20%,0.08%,0.21%
21,20-<21 mo,"4,516",10,"1,142",99.75%,93.82%,99.77%,95.38%,99.98%,98.37%,0.08%,0.21%,0.08%,0.22%
22,21-<22 mo,"3,364",3,"1,097",99.89%,93.72%,99.77%,95.16%,100.0000%*,98.3663%#,0.06%,0.22%,0.06%,0.2215%#
23,22-<23 mo,"2,264",6,"1,207",99.64%,93.38%,99.77%,94.94%,99.87%,98.36%,0.15%,0.26%,0.15%,0.27%
24,23-<24 mo,"1,051",0,"1,051",+,+,99.77%,94.73%,+,+,+,+,+,+
