Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,982",66,143,96.94%,96.94%,99.75%,99.75%,97.18%,97.18%,0.38%,0.38%,0.38%,0.38%
2,1-<2 mo,"2,773",63,156,96.75%,93.83%,99.76%,99.51%,96.98%,94.28%,0.42%,0.54%,0.42%,0.54%
3,2-<3 mo,"2,554",44,143,97.75%,91.76%,99.77%,99.28%,97.97%,92.40%,0.36%,0.62%,0.36%,0.62%
4,3-<4 mo,"2,367",38,131,97.42%,89.49%,99.77%,99.05%,97.64%,90.30%,0.42%,0.70%,0.43%,0.71%
5,4-<5 mo,"2,198",29,122,98.16%,87.91%,99.78%,98.83%,98.38%,88.89%,0.36%,0.74%,0.36%,0.76%
6,5-<6 mo,"2,047",10,123,99.39%,87.39%,99.78%,98.61%,99.61%,88.55%,0.21%,0.76%,0.21%,0.78%
7,6-<7 mo,"1,914",15,109,99.01%,86.55%,99.78%,98.39%,99.23%,87.88%,0.28%,0.78%,0.28%,0.80%
8,7-<8 mo,"1,790",12,126,99.00%,85.74%,99.78%,98.18%,99.22%,87.23%,0.31%,0.81%,0.31%,0.83%
9,8-<9 mo,"1,652",13,116,98.88%,84.84%,99.78%,97.96%,99.10%,86.48%,0.33%,0.84%,0.33%,0.87%
10,9-<10 mo,"1,523",17,104,98.42%,83.58%,99.78%,97.75%,98.64%,85.36%,0.41%,0.88%,0.41%,0.91%
11,10-<11 mo,"1,402",8,124,99.23%,82.98%,99.79%,97.55%,99.44%,84.90%,0.30%,0.90%,0.30%,0.93%
12,11-<12 mo,"1,270",8,99,99.27%,82.38%,99.79%,97.34%,99.48%,84.45%,0.28%,0.92%,0.28%,0.96%
13,12-<13 mo,"1,163",9,95,98.93%,81.57%,99.77%,97.12%,99.13%,83.76%,0.39%,0.95%,0.39%,0.99%
14,13-<14 mo,"1,059",8,99,99.20%,80.92%,99.77%,96.90%,99.43%,83.30%,0.32%,0.97%,0.32%,1.02%
15,14-<15 mo,952,5,105,99.21%,80.33%,99.77%,96.68%,99.43%,82.86%,0.38%,1.00%,0.38%,1.05%
16,15-<16 mo,842,9,83,98.51%,79.21%,99.77%,96.46%,98.74%,81.86%,0.52%,1.05%,0.53%,1.11%
17,16-<17 mo,750,7,116,98.36%,78.06%,99.78%,96.26%,98.57%,80.79%,0.63%,1.11%,0.63%,1.18%
18,17-<18 mo,627,8,84,97.88%,76.62%,99.78%,96.05%,98.07%,79.40%,0.78%,1.19%,0.78%,1.27%
19,18-<19 mo,535,6,80,98.24%,75.45%,99.77%,95.84%,98.43%,78.29%,0.77%,1.26%,0.77%,1.35%
20,19-<20 mo,449,2,88,99.03%,74.87%,99.78%,95.63%,99.21%,77.77%,0.68%,1.30%,0.68%,1.40%
21,20-<21 mo,359,4,97,99.14%,74.11%,99.78%,95.42%,99.18%,77.13%,0.44%,1.36%,0.44%,1.45%
22,21-<22 mo,258,2,84,99.31%,73.53%,99.78%,95.22%,99.36%,76.57%,0.49%,1.41%,0.49%,1.51%
23,22-<23 mo,172,2,93,98.82%,72.54%,99.77%,95.01%,98.86%,75.60%,0.85%,1.57%,0.85%,1.66%
24,23-<24 mo,77,0,77,+,+,99.79%,94.81%,+,+,+,+,+,+
