Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"12,026","1,816",479,85.96%,85.96%,99.74%,99.74%,86.17%,86.17%,0.32%,0.32%,0.32%,0.32%
2,1-<2 mo,"9,731","1,067",379,89.51%,77.06%,99.76%,99.50%,89.72%,77.42%,0.32%,0.40%,0.32%,0.40%
3,2-<3 mo,"8,285",769,401,91.10%,70.36%,99.76%,99.26%,91.32%,70.85%,0.32%,0.44%,0.32%,0.44%
4,3-<4 mo,"7,115",572,331,92.14%,64.98%,99.76%,99.03%,92.35%,65.56%,0.33%,0.47%,0.33%,0.47%
5,4-<5 mo,"6,212",335,343,94.69%,61.64%,99.77%,98.80%,94.91%,62.31%,0.29%,0.48%,0.29%,0.49%
6,5-<6 mo,"5,534",310,295,94.41%,58.26%,99.77%,98.58%,94.62%,59.02%,0.32%,0.50%,0.32%,0.51%
7,6-<7 mo,"4,929",190,276,96.14%,56.06%,99.77%,98.36%,96.35%,56.90%,0.28%,0.51%,0.28%,0.52%
8,7-<8 mo,"4,463",182,251,95.94%,53.86%,99.78%,98.14%,96.15%,54.77%,0.30%,0.52%,0.30%,0.53%
9,8-<9 mo,"4,030",168,277,95.63%,51.53%,99.78%,97.93%,95.84%,52.50%,0.34%,0.53%,0.34%,0.54%
10,9-<10 mo,"3,585",151,252,95.74%,49.40%,99.78%,97.71%,95.95%,50.43%,0.35%,0.55%,0.35%,0.56%
11,10-<11 mo,"3,182",105,255,96.65%,47.79%,99.78%,97.50%,96.86%,48.87%,0.33%,0.55%,0.33%,0.57%
12,11-<12 mo,"2,822",100,251,96.51%,46.25%,99.78%,97.29%,96.72%,47.37%,0.35%,0.56%,0.35%,0.57%
13,12-<13 mo,"2,471",69,203,97.15%,44.98%,99.77%,97.07%,97.37%,46.16%,0.35%,0.57%,0.35%,0.58%
14,13-<14 mo,"2,199",60,204,97.22%,43.79%,99.77%,96.84%,97.44%,45.03%,0.36%,0.58%,0.36%,0.59%
15,14-<15 mo,"1,935",51,210,97.15%,42.56%,99.77%,96.62%,97.38%,43.85%,0.40%,0.59%,0.40%,0.61%
16,15-<16 mo,"1,674",40,161,97.63%,41.65%,99.77%,96.40%,97.86%,42.98%,0.37%,0.60%,0.38%,0.62%
17,16-<17 mo,"1,473",33,213,97.57%,40.62%,99.77%,96.19%,97.80%,42.01%,0.43%,0.62%,0.43%,0.64%
18,17-<18 mo,"1,227",24,182,97.86%,39.77%,99.78%,95.98%,98.08%,41.20%,0.44%,0.63%,0.44%,0.65%
19,18-<19 mo,"1,021",27,178,97.10%,38.64%,99.77%,95.76%,97.32%,40.11%,0.57%,0.66%,0.57%,0.68%
20,19-<20 mo,816,12,174,98.36%,38.04%,99.77%,95.55%,98.59%,39.55%,0.48%,0.68%,0.48%,0.70%
21,20-<21 mo,630,10,155,98.36%,37.53%,99.77%,95.34%,98.57%,39.08%,0.51%,0.69%,0.51%,0.71%
22,21-<22 mo,465,12,154,97.04%,36.54%,99.78%,95.13%,97.26%,38.11%,0.85%,0.74%,0.85%,0.77%
23,22-<23 mo,299,2,157,99.28%,36.25%,99.77%,94.92%,99.32%,37.83%,0.50%,0.76%,0.50%,0.79%
24,23-<24 mo,140,2,138,+,+,99.78%,94.71%,+,+,+,+,+,+
