Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,69,6,3,91.11%,91.11%,99.80%,99.80%,91.29%,91.29%,3.46%,3.46%,3.47%,3.47%
2,1-<2 mo,60,3,5,94.78%,86.36%,99.80%,99.60%,94.98%,86.71%,2.93%,4.23%,2.94%,4.25%
3,2-<3 mo,52,4,2,92.16%,79.58%,99.80%,99.40%,92.34%,80.06%,3.76%,5.08%,3.77%,5.11%
4,3-<4 mo,46,1,6,97.67%,77.73%,99.81%,99.21%,97.86%,78.35%,2.30%,5.29%,2.30%,5.33%
5,4-<5 mo,39,1,2,97.37%,75.69%,99.79%,99.01%,97.57%,76.45%,2.60%,5.53%,2.60%,5.58%
6,5-<6 mo,36,2,2,94.29%,71.36%,99.80%,98.81%,94.48%,72.22%,3.92%,6.00%,3.93%,6.07%
7,6-<7 mo,32,0,0,100.00%,71.36%,99.79%,98.60%,100.0000%*,72.2229%#,0.00%,6.00%,0.00%,6.0719%#
8,7-<8 mo,32,1,1,96.83%,69.10%,99.79%,98.39%,97.03%,70.23%,3.12%,6.22%,3.13%,6.32%
9,8-<9 mo,30,1,2,96.55%,66.71%,99.80%,98.20%,96.74%,67.94%,3.39%,6.45%,3.39%,6.57%
10,9-<10 mo,27,1,0,96.30%,64.24%,99.80%,98.00%,96.49%,65.55%,3.63%,6.67%,3.64%,6.80%
11,10-<11 mo,26,0,3,100.00%,64.24%,99.80%,97.80%,100.0000%*,65.5533%#,0.00%,6.67%,0.00%,6.8014%#
12,11-<12 mo,23,0,2,100.00%,64.24%,99.85%,97.65%,100.0000%*,65.5533%#,0.00%,6.67%,0.00%,6.8014%#
13,12-<13 mo,21,0,1,100.00%,64.24%,99.83%,97.49%,100.0000%*,65.5533%#,0.00%,6.67%,0.00%,6.8014%#
14,13-<14 mo,20,0,1,100.00%,64.24%,99.83%,97.32%,100.0000%*,65.5533%#,0.00%,6.67%,0.00%,6.8014%#
15,14-<15 mo,19,1,0,94.74%,60.86%,99.82%,97.14%,94.91%,62.65%,5.12%,7.12%,5.13%,7.33%
16,15-<16 mo,18,0,4,100.00%,60.86%,99.86%,97.01%,100.0000%*,62.6514%#,0.00%,7.12%,0.00%,7.3302%#
17,16-<17 mo,14,0,1,100.00%,60.86%,99.84%,96.86%,100.0000%*,62.6514%#,0.00%,7.12%,0.00%,7.3302%#
18,17-<18 mo,13,0,3,100.00%,60.86%,99.84%,96.70%,100.0000%*,62.6514%#,0.00%,7.12%,0.00%,7.3302%#
19,18-<19 mo,10,0,2,100.00%,60.86%,99.93%,96.63%,100.0000%*,62.6514%#,0.00%,7.12%,0.00%,7.3302%#
20,19-<20 mo,8,0,3,100.00%,60.86%,99.94%,96.57%,100.0000%*,62.6514%#,0.00%,7.12%,0.00%,7.3302%#
21,20-<21 mo,5,0,3,100.00%,60.86%,99.92%,96.50%,100.0000%*,62.6514%#,0.00%,7.12%,0.00%,7.3302%#
22,21-<22 mo,2,0,1,100.00%,60.86%,99.98%,96.48%,100.0000%*,62.6514%#,0.00%,7.12%,0.00%,7.3302%#
23,22-<23 mo,1,0,1,+,+,99.98%,96.47%,+,+,+,+,+,+
