Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,383,4,21,98.82%,98.82%,99.72%,99.72%,99.09%,99.09%,0.59%,0.59%,0.59%,0.59%
2,1-<2 mo,358,7,20,97.91%,96.76%,99.73%,99.45%,98.17%,97.29%,0.79%,0.96%,0.79%,0.97%
3,2-<3 mo,331,6,19,98.11%,94.96%,99.73%,99.18%,98.34%,95.69%,0.76%,1.19%,0.77%,1.20%
4,3-<4 mo,306,4,12,98.49%,93.56%,99.73%,98.91%,98.75%,94.54%,0.75%,1.35%,0.75%,1.38%
5,4-<5 mo,290,3,17,98.83%,92.51%,99.74%,98.66%,99.05%,93.68%,0.67%,1.45%,0.67%,1.49%
6,5-<6 mo,270,1,10,99.58%,92.15%,99.73%,98.40%,99.81%,93.51%,0.41%,1.49%,0.42%,1.53%
7,6-<7 mo,259,7,10,97.03%,89.52%,99.73%,98.14%,97.28%,91.12%,1.11%,1.73%,1.11%,1.78%
8,7-<8 mo,242,5,13,97.51%,87.35%,99.74%,97.89%,97.75%,89.11%,1.10%,1.93%,1.10%,1.99%
9,8-<9 mo,224,4,14,97.99%,85.57%,99.74%,97.63%,98.25%,87.53%,1.01%,2.09%,1.01%,2.16%
10,9-<10 mo,206,1,13,99.44%,85.14%,99.73%,97.38%,99.67%,87.26%,0.55%,2.12%,0.56%,2.20%
11,10-<11 mo,192,2,11,98.82%,84.23%,99.74%,97.13%,99.03%,86.47%,0.83%,2.18%,0.83%,2.27%
12,11-<12 mo,179,3,15,98.12%,82.56%,99.74%,96.89%,98.16%,84.89%,1.09%,2.35%,1.09%,2.44%
13,12-<13 mo,161,1,7,99.19%,81.89%,99.72%,96.62%,99.22%,84.24%,0.80%,2.41%,0.80%,2.50%
14,13-<14 mo,153,1,17,99.22%,81.31%,99.71%,96.36%,99.46%,84.17%,0.77%,2.46%,0.78%,2.58%
15,14-<15 mo,135,2,14,98.21%,79.99%,99.71%,96.08%,98.45%,82.95%,1.24%,2.57%,1.24%,2.71%
16,15-<16 mo,119,3,14,96.74%,77.59%,99.73%,95.83%,97.00%,80.66%,1.84%,2.81%,1.85%,2.98%
17,16-<17 mo,102,1,12,98.71%,76.73%,99.74%,95.59%,98.93%,79.87%,1.27%,2.90%,1.27%,3.08%
18,17-<18 mo,89,1,16,98.49%,75.75%,99.74%,95.35%,98.71%,78.95%,1.48%,3.00%,1.49%,3.20%
19,18-<19 mo,72,2,14,96.43%,73.51%,99.73%,95.11%,96.64%,76.64%,2.42%,3.23%,2.43%,3.48%
20,19-<20 mo,56,0,14,100.00%,73.51%,99.74%,94.87%,100.00%,76.64%,0.00%,3.23%,0.00%,3.48%
21,20-<21 mo,42,0,12,100.00%,73.51%,99.72%,94.62%,100.00%,76.64%,0.00%,3.23%,0.00%,3.48%
22,21-<22 mo,30,1,9,95.62%,70.98%,99.70%,94.34%,95.87%,74.27%,4.15%,3.85%,4.18%,4.24%
23,22-<23 mo,20,0,13,100.00%,70.98%,99.71%,94.08%,100.00%,74.27%,0.00%,3.85%,0.00%,4.24%
24,23-<24 mo,7,0,7,+,+,99.64%,93.75%,+,+,+,+,+,+
