Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"14,901",44,"1,665",99.65%,99.65%,99.76%,99.76%,99.90%,99.90%,0.05%,0.05%,0.05%,0.05%
2,1-<2 mo,"13,192",40,817,99.64%,99.29%,99.76%,99.52%,99.88%,99.78%,0.06%,0.08%,0.06%,0.08%
3,2-<3 mo,"12,335",28,661,99.73%,99.03%,99.76%,99.28%,99.97%,99.75%,0.05%,0.09%,0.05%,0.09%
4,3-<4 mo,"11,646",30,574,99.69%,98.72%,99.76%,99.04%,99.93%,99.68%,0.06%,0.11%,0.06%,0.11%
5,4-<5 mo,"11,042",35,603,99.61%,98.34%,99.76%,98.80%,99.83%,99.51%,0.07%,0.13%,0.07%,0.13%
6,5-<6 mo,"10,404",21,611,99.75%,98.10%,99.76%,98.57%,99.99%,99.51%,0.06%,0.14%,0.06%,0.14%
7,6-<7 mo,"9,772",24,610,99.69%,97.80%,99.76%,98.33%,99.93%,99.45%,0.06%,0.15%,0.06%,0.15%
8,7-<8 mo,"9,138",21,535,99.73%,97.54%,99.76%,98.10%,99.96%,99.41%,0.06%,0.16%,0.06%,0.16%
9,8-<9 mo,"8,582",24,584,99.65%,97.20%,99.76%,97.87%,99.88%,99.31%,0.07%,0.17%,0.07%,0.18%
10,9-<10 mo,"7,974",24,543,99.61%,96.82%,99.76%,97.64%,99.83%,99.14%,0.08%,0.19%,0.08%,0.20%
11,10-<11 mo,"7,407",15,497,99.74%,96.58%,99.76%,97.41%,99.98%,99.13%,0.07%,0.20%,0.07%,0.21%
12,11-<12 mo,"6,895",34,513,99.38%,95.99%,99.76%,97.19%,99.62%,98.75%,0.11%,0.22%,0.11%,0.23%
13,12-<13 mo,"6,348",13,482,99.73%,95.73%,99.74%,96.94%,99.97%,98.73%,0.08%,0.23%,0.08%,0.24%
14,13-<14 mo,"5,853",17,553,99.62%,95.38%,99.74%,96.70%,99.86%,98.60%,0.09%,0.24%,0.09%,0.26%
15,14-<15 mo,"5,283",13,543,99.68%,95.08%,99.74%,96.46%,99.93%,98.55%,0.09%,0.26%,0.09%,0.27%
16,15-<16 mo,"4,727",16,501,99.56%,94.67%,99.74%,96.21%,99.81%,98.37%,0.11%,0.28%,0.11%,0.29%
17,16-<17 mo,"4,210",13,587,99.58%,94.29%,99.74%,95.98%,99.83%,98.20%,0.12%,0.29%,0.12%,0.31%
18,17-<18 mo,"3,610",7,570,99.75%,94.06%,99.75%,95.74%,99.94%,98.15%,0.10%,0.31%,0.10%,0.32%
19,18-<19 mo,"3,033",7,555,99.67%,93.76%,99.75%,95.51%,99.89%,98.10%,0.13%,0.32%,0.13%,0.35%
20,19-<20 mo,"2,471",5,482,99.69%,93.49%,99.75%,95.28%,99.89%,98.00%,0.14%,0.35%,0.14%,0.37%
21,20-<21 mo,"1,984",7,506,99.50%,93.04%,99.75%,95.05%,99.75%,97.80%,0.19%,0.38%,0.19%,0.41%
22,21-<22 mo,"1,471",2,483,99.78%,92.84%,99.75%,94.81%,99.99%,97.79%,0.16%,0.40%,0.16%,0.44%
23,22-<23 mo,986,1,525,99.87%,92.72%,99.75%,94.59%,99.90%,97.76%,0.13%,0.42%,0.13%,0.46%
24,23-<24 mo,460,0,460,+,+,99.73%,94.34%,+,+,+,+,+,+
