Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,621,31,33,94.42%,94.42%,99.76%,99.76%,94.64%,94.64%,0.96%,0.96%,0.96%,0.96%
2,1-<2 mo,557,19,22,96.14%,90.89%,99.77%,99.53%,96.35%,91.29%,0.87%,1.20%,0.87%,1.21%
3,2-<3 mo,516,10,28,97.76%,88.95%,99.79%,99.32%,97.96%,89.52%,0.71%,1.31%,0.71%,1.32%
4,3-<4 mo,478,8,26,98.03%,87.28%,99.79%,99.12%,98.22%,87.99%,0.69%,1.40%,0.70%,1.42%
5,4-<5 mo,444,7,26,98.26%,85.79%,99.80%,98.92%,98.46%,86.66%,0.66%,1.48%,0.66%,1.51%
6,5-<6 mo,411,5,29,98.45%,84.58%,99.80%,98.73%,98.63%,85.57%,0.69%,1.54%,0.69%,1.57%
7,6-<7 mo,377,3,24,99.23%,83.88%,99.80%,98.54%,99.26%,84.89%,0.44%,1.59%,0.44%,1.62%
8,7-<8 mo,350,5,24,98.18%,82.49%,99.80%,98.34%,98.36%,83.73%,0.81%,1.66%,0.81%,1.70%
9,8-<9 mo,321,2,29,99.12%,81.86%,99.80%,98.15%,99.27%,83.19%,0.62%,1.70%,0.62%,1.74%
10,9-<10 mo,290,2,27,98.98%,81.16%,99.81%,97.96%,99.13%,82.56%,0.71%,1.74%,0.71%,1.79%
11,10-<11 mo,261,1,15,99.43%,80.77%,99.81%,97.78%,99.58%,82.27%,0.56%,1.77%,0.57%,1.82%
12,11-<12 mo,245,3,25,98.70%,79.71%,99.81%,97.60%,98.86%,81.37%,0.78%,1.85%,0.78%,1.91%
13,12-<13 mo,217,2,19,98.58%,78.77%,99.78%,97.39%,98.74%,80.50%,0.99%,1.92%,0.99%,1.99%
14,13-<14 mo,196,1,21,99.59%,78.40%,99.78%,97.17%,99.62%,80.30%,0.41%,1.95%,0.41%,2.02%
15,14-<15 mo,174,3,15,98.20%,77.04%,99.79%,96.97%,98.39%,79.15%,1.08%,2.07%,1.09%,2.16%
16,15-<16 mo,156,0,20,100.00%,77.04%,99.79%,96.77%,100.00%,79.15%,0.00%,2.07%,0.00%,2.16%
17,16-<17 mo,136,1,22,99.38%,76.52%,99.80%,96.58%,99.41%,78.68%,0.61%,2.12%,0.61%,2.21%
18,17-<18 mo,113,1,15,98.71%,75.72%,99.80%,96.39%,98.86%,78.13%,1.27%,2.23%,1.27%,2.34%
19,18-<19 mo,97,1,13,99.12%,75.00%,99.81%,96.22%,99.15%,77.45%,0.86%,2.32%,0.86%,2.43%
20,19-<20 mo,83,1,17,98.88%,73.96%,99.82%,96.05%,98.89%,76.50%,1.10%,2.53%,1.10%,2.64%
21,20-<21 mo,65,1,12,98.59%,72.84%,99.81%,95.87%,98.61%,75.40%,1.38%,2.72%,1.38%,2.84%
22,21-<22 mo,52,1,19,98.03%,71.36%,99.83%,95.71%,98.06%,73.91%,1.90%,3.01%,1.90%,3.13%
23,22-<23 mo,32,0,22,100.00%,71.36%,99.83%,95.55%,100.00%,73.91%,0.00%,3.01%,0.00%,3.13%
24,23-<24 mo,10,0,10,+,+,99.87%,95.43%,+,+,+,+,+,+
