Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,862,27,34,96.32%,96.32%,99.74%,99.74%,96.57%,96.57%,0.72%,0.72%,0.72%,0.72%
2,1-<2 mo,801,26,29,96.01%,92.48%,99.74%,99.49%,96.26%,92.96%,0.78%,1.01%,0.78%,1.02%
3,2-<3 mo,746,26,34,95.57%,88.43%,99.75%,99.23%,95.81%,89.09%,0.86%,1.24%,0.87%,1.26%
4,3-<4 mo,686,13,29,97.57%,86.36%,99.75%,98.98%,97.78%,87.17%,0.69%,1.33%,0.69%,1.35%
5,4-<5 mo,644,8,41,98.33%,84.98%,99.75%,98.73%,98.58%,86.00%,0.60%,1.39%,0.60%,1.42%
6,5-<6 mo,595,10,33,98.29%,83.53%,99.74%,98.48%,98.55%,84.74%,0.58%,1.45%,0.58%,1.48%
7,6-<7 mo,552,6,34,98.68%,82.48%,99.74%,98.23%,98.90%,83.85%,0.56%,1.49%,0.57%,1.53%
8,7-<8 mo,512,10,40,97.42%,80.47%,99.74%,97.98%,97.68%,82.00%,0.83%,1.58%,0.83%,1.63%
9,8-<9 mo,462,5,23,98.57%,79.39%,99.75%,97.74%,98.81%,81.08%,0.66%,1.63%,0.66%,1.68%
10,9-<10 mo,434,5,33,98.27%,78.11%,99.75%,97.50%,98.50%,79.93%,0.77%,1.69%,0.78%,1.75%
11,10-<11 mo,396,4,26,98.83%,77.25%,99.75%,97.26%,99.05%,79.20%,0.65%,1.72%,0.65%,1.79%
12,11-<12 mo,366,8,36,97.34%,75.20%,99.75%,97.02%,97.58%,77.30%,0.97%,1.83%,0.98%,1.91%
13,12-<13 mo,322,2,18,99.10%,74.57%,99.73%,96.76%,99.36%,76.83%,0.64%,1.86%,0.64%,1.95%
14,13-<14 mo,302,2,29,99.26%,74.05%,99.73%,96.51%,99.50%,76.45%,0.57%,1.89%,0.57%,1.98%
15,14-<15 mo,271,2,25,98.90%,73.28%,99.74%,96.27%,99.14%,75.85%,0.78%,1.94%,0.78%,2.04%
16,15-<16 mo,244,1,21,99.30%,72.85%,99.73%,96.01%,99.53%,75.54%,0.69%,1.97%,0.70%,2.08%
17,16-<17 mo,222,1,31,99.23%,72.37%,99.74%,95.77%,99.45%,75.17%,0.77%,2.00%,0.77%,2.13%
18,17-<18 mo,190,1,21,99.14%,71.85%,99.74%,95.53%,99.36%,74.75%,0.85%,2.04%,0.85%,2.18%
19,18-<19 mo,168,4,35,97.79%,70.20%,99.74%,95.28%,98.02%,73.21%,1.20%,2.17%,1.21%,2.32%
20,19-<20 mo,129,1,17,98.71%,69.45%,99.75%,95.05%,98.92%,72.52%,1.27%,2.26%,1.27%,2.42%
21,20-<21 mo,111,1,29,98.35%,68.52%,99.75%,94.83%,98.55%,71.63%,1.62%,2.38%,1.63%,2.58%
22,21-<22 mo,81,3,25,93.89%,65.23%,99.78%,94.62%,94.06%,68.06%,3.27%,2.79%,3.29%,3.05%
23,22-<23 mo,53,1,26,96.63%,63.66%,99.80%,94.44%,96.79%,66.40%,3.23%,3.02%,3.25%,3.33%
24,23-<24 mo,26,0,26,+,+,99.81%,94.27%,+,+,+,+,+,+
