Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,220,12,8,94.17%,94.17%,99.74%,99.74%,94.41%,94.41%,1.60%,1.60%,1.61%,1.61%
2,1-<2 mo,200,6,12,96.83%,91.22%,99.75%,99.49%,97.07%,91.67%,1.28%,1.94%,1.29%,1.96%
3,2-<3 mo,182,5,9,97.17%,88.64%,99.75%,99.24%,97.41%,89.29%,1.26%,2.20%,1.27%,2.23%
4,3-<4 mo,168,7,6,95.66%,84.83%,99.75%,99.00%,95.90%,85.65%,1.62%,2.53%,1.63%,2.57%
5,4-<5 mo,155,2,13,98.60%,83.67%,99.76%,98.76%,98.82%,84.65%,1.00%,2.62%,1.00%,2.67%
6,5-<6 mo,140,2,4,98.21%,82.30%,99.77%,98.54%,98.39%,83.39%,1.24%,2.73%,1.24%,2.78%
7,6-<7 mo,134,1,8,99.05%,81.60%,99.79%,98.34%,99.21%,82.79%,0.94%,2.78%,0.94%,2.84%
8,7-<8 mo,125,2,8,98.24%,80.22%,99.79%,98.14%,98.44%,81.58%,1.24%,2.89%,1.25%,2.96%
9,8-<9 mo,115,0,7,100.00%,80.22%,99.79%,97.93%,100.00%,81.58%,0.00%,2.89%,0.00%,2.96%
10,9-<10 mo,108,0,5,100.00%,80.22%,99.78%,97.72%,100.00%,81.58%,0.00%,2.89%,0.00%,2.96%
11,10-<11 mo,103,0,9,100.00%,80.22%,99.78%,97.51%,100.00%,81.58%,0.00%,2.89%,0.00%,2.96%
12,11-<12 mo,94,0,9,100.00%,80.22%,99.77%,97.29%,100.00%,81.58%,0.00%,2.89%,0.00%,2.96%
13,12-<13 mo,85,0,5,100.00%,80.22%,99.74%,97.04%,100.00%,81.58%,0.00%,2.89%,0.00%,2.96%
14,13-<14 mo,80,0,3,100.00%,80.22%,99.76%,96.81%,100.00%,81.58%,0.00%,2.89%,0.00%,2.96%
15,14-<15 mo,77,0,9,100.00%,80.22%,99.76%,96.58%,100.00%,81.58%,0.00%,2.89%,0.00%,2.96%
16,15-<16 mo,68,0,5,100.00%,80.22%,99.74%,96.34%,100.00%,81.58%,0.00%,2.89%,0.00%,2.96%
17,16-<17 mo,63,0,7,100.00%,80.22%,99.74%,96.09%,100.00%,81.58%,0.00%,2.89%,0.00%,2.96%
18,17-<18 mo,56,1,9,96.98%,78.09%,99.73%,95.84%,97.19%,80.76%,2.91%,3.44%,2.93%,3.66%
19,18-<19 mo,46,0,7,100.00%,78.09%,99.75%,95.61%,100.00%,80.76%,0.00%,3.44%,0.00%,3.66%
20,19-<20 mo,39,0,7,100.00%,78.09%,99.73%,95.36%,100.00%,80.76%,0.00%,3.44%,0.00%,3.66%
21,20-<21 mo,32,0,11,100.00%,78.09%,99.74%,95.11%,100.00%,80.76%,0.00%,3.44%,0.00%,3.66%
22,21-<22 mo,21,0,5,100.00%,78.09%,99.71%,94.85%,100.00%,80.76%,0.00%,3.44%,0.00%,3.66%
23,22-<23 mo,16,0,8,100.00%,78.09%,99.68%,94.55%,100.00%,80.76%,0.00%,3.44%,0.00%,3.66%
24,23-<24 mo,8,0,8,+,+,99.80%,94.37%,+,+,+,+,+,+
