Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,985",203,104,89.47%,89.47%,99.76%,99.76%,89.68%,89.68%,0.69%,0.69%,0.69%,0.69%
2,1-<2 mo,"1,678",128,65,92.06%,82.46%,99.77%,99.53%,92.27%,82.82%,0.67%,0.87%,0.67%,0.87%
3,2-<3 mo,"1,485",99,73,93.02%,76.81%,99.78%,99.31%,93.22%,77.31%,0.68%,0.97%,0.68%,0.98%
4,3-<4 mo,"1,313",70,69,94.41%,72.61%,99.79%,99.10%,94.61%,73.22%,0.65%,1.04%,0.65%,1.05%
5,4-<5 mo,"1,174",55,69,95.09%,69.17%,99.80%,98.90%,95.28%,69.87%,0.64%,1.08%,0.65%,1.10%
6,5-<6 mo,"1,050",33,68,96.72%,66.93%,99.80%,98.70%,96.92%,67.73%,0.56%,1.11%,0.56%,1.13%
7,6-<7 mo,949,38,64,95.73%,64.20%,99.80%,98.50%,95.93%,65.08%,0.68%,1.15%,0.68%,1.17%
8,7-<8 mo,847,39,59,95.09%,61.17%,99.80%,98.31%,95.28%,62.11%,0.77%,1.19%,0.77%,1.21%
9,8-<9 mo,749,30,53,95.77%,58.67%,99.80%,98.11%,95.96%,59.67%,0.76%,1.22%,0.76%,1.25%
10,9-<10 mo,666,18,51,97.27%,57.03%,99.80%,97.92%,97.47%,58.10%,0.64%,1.25%,0.64%,1.28%
11,10-<11 mo,597,19,47,96.71%,55.13%,99.80%,97.73%,96.91%,56.27%,0.74%,1.28%,0.75%,1.31%
12,11-<12 mo,531,18,38,96.49%,53.26%,99.80%,97.54%,96.68%,54.45%,0.81%,1.31%,0.82%,1.35%
13,12-<13 mo,475,9,37,98.03%,52.22%,99.78%,97.33%,98.24%,53.49%,0.65%,1.33%,0.65%,1.37%
14,13-<14 mo,429,8,43,97.94%,51.23%,99.77%,97.11%,98.16%,52.57%,0.72%,1.35%,0.72%,1.39%
15,14-<15 mo,378,11,37,96.91%,49.64%,99.78%,96.91%,97.12%,51.04%,0.92%,1.39%,0.92%,1.44%
16,15-<16 mo,330,11,43,96.43%,47.90%,99.79%,96.70%,96.64%,49.34%,1.07%,1.44%,1.07%,1.49%
17,16-<17 mo,276,11,40,95.62%,45.91%,99.79%,96.50%,95.82%,47.36%,1.30%,1.50%,1.30%,1.55%
18,17-<18 mo,225,6,39,96.98%,44.43%,99.79%,96.31%,97.18%,45.93%,1.20%,1.57%,1.20%,1.62%
19,18-<19 mo,180,5,24,97.07%,43.12%,99.81%,96.12%,97.26%,44.65%,1.30%,1.63%,1.31%,1.69%
20,19-<20 mo,151,3,34,97.55%,42.27%,99.80%,95.94%,97.70%,43.79%,1.38%,1.67%,1.38%,1.74%
21,20-<21 mo,114,3,34,96.92%,40.94%,99.79%,95.74%,97.12%,42.52%,1.77%,1.78%,1.77%,1.86%
22,21-<22 mo,77,2,25,96.50%,39.83%,99.78%,95.54%,96.66%,41.36%,2.37%,1.89%,2.38%,1.98%
23,22-<23 mo,50,0,24,100.00%,39.83%,99.78%,95.33%,100.00%,41.36%,0.00%,1.89%,0.00%,1.98%
24,23-<24 mo,26,1,25,+,+,99.73%,95.08%,+,+,+,+,+,+
