Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"4,256",26,274,99.37%,99.37%,99.94%,99.94%,99.43%,99.43%,0.12%,0.12%,0.12%,0.12%
2,1-<2 mo,"3,956",5,215,99.87%,99.24%,99.94%,99.88%,99.93%,99.36%,0.06%,0.14%,0.06%,0.14%
3,2-<3 mo,"3,736",3,220,99.92%,99.16%,99.94%,99.82%,99.98%,99.34%,0.05%,0.14%,0.05%,0.14%
4,3-<4 mo,"3,513",11,177,99.68%,98.84%,99.94%,99.76%,99.74%,99.08%,0.10%,0.17%,0.10%,0.17%
5,4-<5 mo,"3,325",8,199,99.75%,98.59%,99.94%,99.70%,99.81%,98.89%,0.09%,0.19%,0.09%,0.19%
6,5-<6 mo,"3,118",10,185,99.67%,98.27%,99.94%,99.64%,99.73%,98.62%,0.10%,0.22%,0.10%,0.22%
7,6-<7 mo,"2,923",6,178,99.79%,98.06%,99.94%,99.58%,99.85%,98.47%,0.09%,0.23%,0.09%,0.23%
8,7-<8 mo,"2,739",2,177,99.92%,97.99%,99.94%,99.52%,99.98%,98.45%,0.05%,0.24%,0.05%,0.24%
9,8-<9 mo,"2,560",4,150,99.84%,97.83%,99.94%,99.47%,99.90%,98.35%,0.08%,0.25%,0.08%,0.25%
10,9-<10 mo,"2,406",2,147,99.91%,97.74%,99.94%,99.41%,99.97%,98.33%,0.06%,0.26%,0.06%,0.26%
11,10-<11 mo,"2,257",1,179,99.95%,97.70%,99.94%,99.35%,100.0000%*,98.3272%#,0.05%,0.26%,0.05%,0.2595%#
12,11-<12 mo,"2,077",2,176,99.90%,97.60%,99.94%,99.29%,99.96%,98.30%,0.07%,0.27%,0.07%,0.27%
13,12-<13 mo,"1,899",4,157,99.78%,97.39%,99.94%,99.22%,99.84%,98.15%,0.11%,0.29%,0.11%,0.29%
14,13-<14 mo,"1,738",0,171,100.00%,97.39%,99.94%,99.16%,100.0000%*,98.1475%#,0.00%,0.29%,0.00%,0.2927%#
15,14-<15 mo,"1,567",2,158,99.87%,97.26%,99.94%,99.10%,99.93%,98.14%,0.10%,0.30%,0.10%,0.31%
16,15-<16 mo,"1,407",0,162,100.00%,97.26%,99.94%,99.04%,100.0000%*,98.1403%#,0.00%,0.30%,0.00%,0.3072%#
17,16-<17 mo,"1,245",2,175,99.83%,97.09%,99.94%,98.97%,99.89%,98.10%,0.12%,0.33%,0.12%,0.33%
18,17-<18 mo,"1,068",0,179,100.00%,97.09%,99.94%,98.91%,100.0000%*,98.0959%#,0.00%,0.33%,0.00%,0.3297%#
19,18-<19 mo,889,0,151,100.00%,97.09%,99.94%,98.85%,100.0000%*,98.0959%#,0.00%,0.33%,0.00%,0.3297%#
20,19-<20 mo,738,0,169,100.00%,97.09%,99.94%,98.78%,100.0000%*,98.0959%#,0.00%,0.33%,0.00%,0.3297%#
21,20-<21 mo,569,1,146,99.80%,96.89%,99.93%,98.72%,99.87%,98.0959%#,0.20%,0.38%,0.20%,0.3297%#
22,21-<22 mo,422,0,141,100.00%,96.89%,99.94%,98.66%,100.0000%*,98.0959%#,0.00%,0.38%,0.00%,0.3297%#
23,22-<23 mo,281,0,150,100.00%,96.89%,99.94%,98.60%,100.0000%*,98.0959%#,0.00%,0.38%,0.00%,0.3297%#
24,23-<24 mo,131,0,131,+,+,99.94%,98.54%,+,+,+,+,+,+
