Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,560,3,20,99.38%,99.38%,99.80%,99.80%,99.58%,99.58%,0.40%,0.40%,0.40%,0.40%
2,1-<2 mo,537,5,28,98.59%,97.98%,99.80%,99.60%,98.77%,98.36%,0.67%,0.77%,0.67%,0.77%
3,2-<3 mo,504,6,32,98.11%,96.15%,99.80%,99.39%,98.31%,96.73%,0.81%,1.08%,0.81%,1.09%
4,3-<4 mo,466,7,14,97.80%,94.07%,99.80%,99.19%,98.00%,94.82%,0.88%,1.33%,0.89%,1.35%
5,4-<5 mo,445,8,19,97.47%,91.76%,99.80%,98.99%,97.67%,92.66%,0.97%,1.55%,0.97%,1.57%
6,5-<6 mo,418,6,19,97.93%,89.93%,99.81%,98.80%,98.12%,90.98%,0.93%,1.70%,0.93%,1.74%
7,6-<7 mo,393,1,27,99.44%,89.46%,99.81%,98.61%,99.58%,90.62%,0.56%,1.75%,0.56%,1.79%
8,7-<8 mo,365,4,26,98.39%,88.10%,99.81%,98.42%,98.57%,89.41%,0.88%,1.85%,0.88%,1.90%
9,8-<9 mo,335,1,19,99.79%,87.89%,99.81%,98.23%,99.80%,89.25%,0.21%,1.86%,0.21%,1.91%
10,9-<10 mo,315,1,23,99.76%,87.67%,99.81%,98.04%,99.79%,89.08%,0.24%,1.88%,0.24%,1.92%
11,10-<11 mo,291,3,15,98.29%,86.27%,99.80%,97.85%,98.47%,88.04%,1.04%,2.00%,1.04%,2.07%
12,11-<12 mo,273,1,23,99.71%,86.01%,99.81%,97.66%,99.75%,87.80%,0.28%,2.02%,0.28%,2.09%
13,12-<13 mo,249,2,16,98.81%,85.06%,99.78%,97.45%,99.01%,87.09%,0.92%,2.11%,0.92%,2.20%
14,13-<14 mo,231,4,21,98.73%,83.88%,99.78%,97.23%,98.78%,86.01%,0.63%,2.18%,0.63%,2.27%
15,14-<15 mo,206,2,20,97.73%,82.17%,99.77%,97.01%,97.90%,84.48%,1.57%,2.40%,1.57%,2.51%
16,15-<16 mo,184,1,20,98.69%,81.24%,99.79%,96.81%,98.85%,83.62%,1.29%,2.52%,1.29%,2.64%
17,16-<17 mo,163,0,23,100.00%,81.24%,99.80%,96.62%,100.00%,83.62%,0.00%,2.52%,0.00%,2.64%
18,17-<18 mo,140,1,26,98.25%,80.02%,99.80%,96.42%,98.39%,82.54%,1.72%,2.71%,1.72%,2.86%
19,18-<19 mo,113,0,16,100.00%,80.02%,99.80%,96.23%,100.00%,82.54%,0.00%,2.71%,0.00%,2.86%
20,19-<20 mo,97,0,21,100.00%,80.02%,99.82%,96.06%,100.00%,82.54%,0.00%,2.71%,0.00%,2.86%
21,20-<21 mo,76,0,23,100.00%,80.02%,99.81%,95.88%,100.00%,82.54%,0.00%,2.71%,0.00%,2.86%
22,21-<22 mo,53,0,16,100.00%,80.02%,99.82%,95.71%,100.00%,82.54%,0.00%,2.71%,0.00%,2.86%
23,22-<23 mo,37,0,21,100.00%,80.02%,99.83%,95.56%,100.00%,82.54%,0.00%,2.71%,0.00%,2.86%
24,23-<24 mo,16,0,16,+,+,99.86%,95.42%,+,+,+,+,+,+
