Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,773",113,70,93.50%,93.50%,99.81%,99.81%,93.68%,93.68%,0.59%,0.59%,0.59%,0.59%
2,1-<2 mo,"1,590",174,49,88.89%,83.11%,99.81%,99.62%,89.05%,83.42%,0.79%,0.91%,0.80%,0.91%
3,2-<3 mo,"1,367",143,52,89.34%,74.24%,99.82%,99.44%,89.50%,74.66%,0.84%,1.07%,0.84%,1.08%
4,3-<4 mo,"1,172",99,49,91.37%,67.84%,99.82%,99.26%,91.54%,68.35%,0.83%,1.16%,0.83%,1.17%
5,4-<5 mo,"1,024",70,45,93.01%,63.10%,99.82%,99.07%,93.18%,63.69%,0.81%,1.21%,0.81%,1.22%
6,5-<6 mo,909,61,68,93.03%,58.70%,99.82%,98.90%,93.19%,59.35%,0.86%,1.25%,0.86%,1.26%
7,6-<7 mo,780,52,49,93.12%,54.66%,99.82%,98.72%,93.28%,55.36%,0.92%,1.28%,0.92%,1.30%
8,7-<8 mo,679,29,29,95.64%,52.27%,99.83%,98.55%,95.80%,53.04%,0.79%,1.30%,0.79%,1.32%
9,8-<9 mo,621,37,38,93.85%,49.06%,99.83%,98.38%,94.01%,49.87%,0.98%,1.32%,0.98%,1.34%
10,9-<10 mo,546,20,38,96.20%,47.20%,99.83%,98.22%,96.37%,48.05%,0.83%,1.34%,0.83%,1.36%
11,10-<11 mo,488,21,27,95.57%,45.11%,99.83%,98.06%,95.74%,46.00%,0.94%,1.35%,0.95%,1.38%
12,11-<12 mo,440,23,40,94.52%,42.64%,99.83%,97.89%,94.68%,43.56%,1.11%,1.37%,1.11%,1.40%
13,12-<13 mo,377,18,26,95.05%,40.53%,99.82%,97.71%,95.23%,41.48%,1.14%,1.39%,1.14%,1.43%
14,13-<14 mo,333,19,36,93.97%,38.09%,99.82%,97.53%,94.14%,39.05%,1.34%,1.42%,1.34%,1.45%
15,14-<15 mo,278,14,23,94.75%,36.09%,99.81%,97.35%,94.92%,37.07%,1.37%,1.44%,1.37%,1.48%
16,15-<16 mo,241,7,23,96.95%,34.98%,99.83%,97.18%,97.12%,36.00%,1.14%,1.45%,1.14%,1.50%
17,16-<17 mo,211,6,21,97.01%,33.94%,99.83%,97.02%,97.17%,34.98%,1.20%,1.47%,1.21%,1.52%
18,17-<18 mo,184,4,29,97.64%,33.14%,99.83%,96.86%,97.80%,34.21%,1.17%,1.49%,1.17%,1.54%
19,18-<19 mo,151,4,25,97.11%,32.18%,99.84%,96.70%,97.27%,33.28%,1.42%,1.52%,1.43%,1.58%
20,19-<20 mo,122,9,27,91.71%,29.51%,99.83%,96.54%,91.86%,30.57%,2.65%,1.64%,2.65%,1.69%
21,20-<21 mo,86,5,19,93.46%,27.58%,99.82%,96.36%,93.64%,28.62%,2.83%,1.74%,2.83%,1.81%
22,21-<22 mo,62,2,22,96.08%,26.50%,99.80%,96.17%,96.27%,27.56%,2.72%,1.83%,2.72%,1.91%
23,22-<23 mo,38,1,17,96.61%,25.60%,99.78%,95.95%,96.83%,26.68%,3.33%,1.98%,3.34%,2.06%
24,23-<24 mo,20,1,19,+,+,99.82%,95.78%,+,+,+,+,+,+
