Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,108,6,5,89.66%,89.66%,99.82%,99.82%,89.81%,89.81%,4.45%,4.45%,4.47%,4.47%
2,1-<2 mo,97,2,1,93.27%,84.11%,99.79%,99.61%,93.41%,84.37%,4.38%,5.31%,4.40%,5.34%
3,2-<3 mo,94,1,0,99.59%,83.71%,99.78%,99.39%,99.59%,83.98%,0.41%,5.32%,0.41%,5.36%
4,3-<4 mo,93,1,6,99.57%,83.30%,99.78%,99.18%,99.57%,83.57%,0.43%,5.34%,0.43%,5.37%
5,4-<5 mo,86,3,1,95.09%,79.65%,99.78%,98.96%,95.26%,80.25%,3.85%,5.61%,3.86%,5.71%
6,5-<6 mo,82,2,2,91.25%,74.10%,99.81%,98.77%,91.37%,74.68%,5.54%,5.83%,5.56%,5.95%
7,6-<7 mo,78,1,5,97.70%,71.96%,99.83%,98.61%,97.73%,72.69%,2.20%,6.14%,2.20%,6.26%
8,7-<8 mo,72,0,3,100.00%,71.96%,99.87%,98.48%,100.00%,72.69%,0.00%,6.14%,0.00%,6.26%
9,8-<9 mo,69,0,1,100.00%,71.96%,99.89%,98.37%,100.00%,72.69%,0.00%,6.14%,0.00%,6.26%
10,9-<10 mo,68,4,8,94.85%,67.45%,99.89%,98.26%,94.88%,68.24%,3.36%,6.66%,3.37%,6.79%
11,10-<11 mo,56,0,6,100.00%,67.45%,99.90%,98.16%,100.00%,68.24%,0.00%,6.66%,0.00%,6.79%
12,11-<12 mo,50,0,2,100.00%,67.45%,99.89%,98.06%,100.00%,68.24%,0.00%,6.66%,0.00%,6.79%
13,12-<13 mo,48,1,2,99.23%,66.78%,99.89%,97.95%,99.23%,67.59%,0.76%,6.68%,0.76%,6.81%
14,13-<14 mo,45,2,7,93.63%,61.94%,99.88%,97.84%,93.66%,62.76%,5.01%,7.35%,5.01%,7.50%
15,14-<15 mo,36,0,7,100.00%,61.94%,99.87%,97.71%,100.00%,62.76%,0.00%,7.35%,0.00%,7.50%
16,15-<16 mo,29,1,3,98.73%,60.91%,99.88%,97.59%,98.73%,61.73%,1.24%,7.41%,1.24%,7.55%
17,16-<17 mo,25,2,2,+,+,99.88%,97.47%,+,+,+,+,+,+
