Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,108,1,5,99.05%,99.05%,99.85%,99.85%,99.20%,99.20%,0.94%,0.94%,0.94%,0.94%
2,1-<2 mo,102,2,9,97.95%,97.02%,99.84%,99.69%,98.10%,97.32%,1.44%,1.70%,1.44%,1.70%
3,2-<3 mo,91,1,5,98.87%,95.92%,99.85%,99.54%,99.02%,96.37%,1.12%,2.00%,1.13%,2.01%
4,3-<4 mo,85,2,1,97.63%,93.65%,99.85%,99.39%,97.78%,94.22%,1.65%,2.52%,1.66%,2.53%
5,4-<5 mo,82,0,5,100.00%,93.65%,99.86%,99.25%,100.0000%*,94.2245%#,0.00%,2.52%,0.00%,2.5310%#
6,5-<6 mo,77,0,7,100.00%,93.65%,99.88%,99.13%,100.0000%*,94.2245%#,0.00%,2.52%,0.00%,2.5310%#
7,6-<7 mo,70,1,10,98.46%,92.21%,99.87%,99.00%,98.59%,93.14%,1.53%,2.86%,1.53%,2.89%
8,7-<8 mo,59,3,2,94.83%,87.44%,99.86%,98.87%,94.96%,88.45%,2.91%,3.81%,2.91%,3.86%
9,8-<9 mo,54,0,1,100.00%,87.44%,99.88%,98.75%,100.0000%*,88.4453%#,0.00%,3.81%,0.00%,3.8576%#
10,9-<10 mo,53,2,4,96.08%,84.01%,99.88%,98.64%,96.19%,85.18%,2.72%,4.37%,2.72%,4.43%
11,10-<11 mo,47,2,4,95.56%,80.28%,99.88%,98.51%,95.67%,81.49%,3.07%,4.91%,3.08%,4.98%
12,11-<12 mo,41,0,4,100.00%,80.28%,99.91%,98.43%,100.0000%*,81.4920%#,0.00%,4.91%,0.00%,4.9812%#
13,12-<13 mo,37,1,3,97.18%,78.02%,99.91%,98.34%,97.27%,79.33%,2.78%,5.26%,2.78%,5.35%
14,13-<14 mo,33,0,6,100.00%,78.02%,99.91%,98.25%,100.0000%*,79.3328%#,0.00%,5.26%,0.00%,5.3529%#
15,14-<15 mo,27,0,3,100.00%,78.02%,99.90%,98.16%,100.0000%*,79.3328%#,0.00%,5.26%,0.00%,5.3529%#
16,15-<16 mo,24,0,2,100.00%,78.02%,99.92%,98.07%,100.0000%*,79.3328%#,0.00%,5.26%,0.00%,5.3529%#
17,16-<17 mo,22,0,2,100.00%,78.02%,99.91%,97.99%,100.0000%*,79.3328%#,0.00%,5.26%,0.00%,5.3529%#
18,17-<18 mo,20,1,3,94.59%,73.80%,99.90%,97.89%,94.69%,75.39%,5.26%,6.45%,5.26%,6.59%
19,18-<19 mo,16,1,3,93.10%,68.71%,99.89%,97.79%,93.20%,70.27%,6.65%,7.76%,6.66%,7.93%
20,19-<20 mo,12,0,2,100.00%,68.71%,99.95%,97.74%,100.0000%*,70.2667%#,0.00%,7.76%,0.00%,7.9343%#
21,20-<21 mo,10,0,2,100.00%,68.71%,99.94%,97.68%,100.0000%*,70.2667%#,0.00%,7.76%,0.00%,7.9343%#
22,21-<22 mo,8,0,3,100.00%,68.71%,99.93%,97.61%,100.0000%*,70.2667%#,0.00%,7.76%,0.00%,7.9343%#
23,22-<23 mo,5,0,3,100.00%,68.71%,99.94%,97.56%,100.0000%*,70.2667%#,0.00%,7.76%,0.00%,7.9343%#
24,23-<24 mo,2,0,2,+,+,99.87%,97.43%,+,+,+,+,+,+
