Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,472,33,28,92.79%,92.79%,99.84%,99.84%,92.94%,92.94%,1.21%,1.21%,1.21%,1.21%
2,1-<2 mo,411,29,12,92.84%,86.15%,99.85%,99.70%,92.98%,86.41%,1.28%,1.63%,1.28%,1.64%
3,2-<3 mo,370,26,11,92.87%,80.01%,99.86%,99.56%,92.99%,80.36%,1.35%,1.91%,1.35%,1.92%
4,3-<4 mo,333,22,10,93.29%,74.64%,99.88%,99.44%,93.41%,75.06%,1.38%,2.10%,1.38%,2.11%
5,4-<5 mo,301,12,11,95.94%,71.61%,99.88%,99.32%,96.05%,72.10%,1.15%,2.19%,1.15%,2.20%
6,5-<6 mo,278,11,19,95.90%,68.67%,99.88%,99.21%,96.01%,69.22%,1.21%,2.27%,1.21%,2.29%
7,6-<7 mo,248,9,13,96.27%,66.11%,99.90%,99.11%,96.37%,66.71%,1.22%,2.34%,1.22%,2.36%
8,7-<8 mo,226,14,12,93.64%,61.91%,99.90%,99.01%,93.73%,62.52%,1.65%,2.45%,1.65%,2.47%
9,8-<9 mo,200,7,16,96.35%,59.65%,99.91%,98.92%,96.44%,60.30%,1.35%,2.50%,1.35%,2.53%
10,9-<10 mo,177,10,9,94.20%,56.19%,99.91%,98.84%,94.28%,56.85%,1.78%,2.58%,1.78%,2.61%
11,10-<11 mo,158,6,6,96.13%,54.02%,99.93%,98.77%,96.20%,54.69%,1.55%,2.63%,1.55%,2.67%
12,11-<12 mo,146,5,11,96.44%,52.10%,99.93%,98.70%,96.51%,52.78%,1.56%,2.68%,1.56%,2.71%
13,12-<13 mo,130,4,8,96.83%,50.44%,99.93%,98.63%,96.90%,51.14%,1.56%,2.72%,1.56%,2.75%
14,13-<14 mo,118,7,17,93.61%,47.22%,99.93%,98.56%,93.68%,47.91%,2.34%,2.80%,2.34%,2.84%
15,14-<15 mo,94,8,12,90.91%,42.92%,99.94%,98.49%,90.97%,43.58%,3.06%,2.93%,3.07%,2.97%
16,15-<16 mo,74,2,4,97.22%,41.73%,99.93%,98.43%,97.29%,42.40%,1.94%,2.97%,1.94%,3.01%
17,16-<17 mo,68,3,9,95.28%,39.76%,99.93%,98.36%,95.34%,40.42%,2.66%,3.04%,2.66%,3.09%
18,17-<18 mo,56,1,9,98.06%,38.99%,99.94%,98.30%,98.12%,39.66%,1.92%,3.07%,1.92%,3.13%
19,18-<19 mo,46,1,9,97.59%,38.05%,99.94%,98.24%,97.65%,38.73%,2.38%,3.14%,2.38%,3.20%
20,19-<20 mo,36,0,6,100.00%,38.05%,99.93%,98.17%,100.0000%*,38.7310%#,0.00%,3.14%,0.00%,3.1974%#
21,20-<21 mo,30,3,6,88.89%,33.82%,99.93%,98.10%,88.95%,34.48%,6.05%,3.62%,6.05%,3.69%
22,21-<22 mo,21,0,5,100.00%,33.82%,99.92%,98.03%,100.0000%*,34.4751%#,0.00%,3.62%,0.00%,3.6882%#
23,22-<23 mo,16,0,9,100.00%,33.82%,99.96%,97.99%,100.0000%*,34.4751%#,0.00%,3.62%,0.00%,3.6882%#
24,23-<24 mo,7,0,7,+,+,99.95%,97.94%,+,+,+,+,+,+
