Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,328,17,13,94.71%,94.71%,99.70%,99.70%,95.00%,95.00%,1.25%,1.25%,1.25%,1.25%
2,1-<2 mo,298,17,7,94.23%,89.25%,99.72%,99.42%,94.49%,89.76%,1.36%,1.74%,1.36%,1.75%
3,2-<3 mo,274,9,16,96.62%,86.23%,99.73%,99.16%,96.88%,86.96%,1.11%,1.95%,1.11%,1.97%
4,3-<4 mo,249,11,12,95.47%,82.32%,99.74%,98.90%,95.72%,83.24%,1.33%,2.19%,1.34%,2.22%
5,4-<5 mo,226,10,8,95.50%,78.61%,99.75%,98.65%,95.74%,79.69%,1.39%,2.39%,1.40%,2.42%
6,5-<6 mo,208,4,9,98.03%,77.07%,99.74%,98.39%,98.29%,78.33%,0.97%,2.46%,0.98%,2.50%
7,6-<7 mo,195,4,7,97.91%,75.46%,99.76%,98.15%,98.15%,76.88%,1.03%,2.54%,1.04%,2.59%
8,7-<8 mo,184,6,8,96.67%,72.94%,99.75%,97.91%,96.90%,74.50%,1.34%,2.65%,1.34%,2.71%
9,8-<9 mo,170,6,14,96.32%,70.26%,99.75%,97.67%,96.56%,71.94%,1.47%,2.77%,1.48%,2.84%
10,9-<10 mo,150,4,18,97.16%,68.27%,99.74%,97.42%,97.41%,70.08%,1.40%,2.87%,1.40%,2.94%
11,10-<11 mo,128,7,9,94.33%,64.40%,99.74%,97.17%,94.57%,66.27%,2.08%,3.05%,2.09%,3.14%
12,11-<12 mo,112,5,9,95.35%,61.40%,99.74%,96.92%,95.60%,63.35%,2.03%,3.19%,2.04%,3.29%
13,12-<13 mo,98,3,3,96.89%,59.49%,99.71%,96.64%,97.17%,61.56%,1.77%,3.28%,1.77%,3.39%
14,13-<14 mo,92,2,9,97.71%,58.13%,99.71%,96.36%,98.00%,60.33%,1.60%,3.34%,1.60%,3.47%
15,14-<15 mo,81,5,4,93.67%,54.45%,99.70%,96.07%,93.95%,56.68%,2.74%,3.51%,2.75%,3.66%
16,15-<16 mo,72,2,8,97.06%,52.85%,99.71%,95.79%,97.34%,55.17%,2.05%,3.59%,2.05%,3.74%
17,16-<17 mo,62,2,3,96.69%,51.10%,99.70%,95.50%,96.99%,53.51%,2.30%,3.67%,2.31%,3.85%
18,17-<18 mo,57,1,8,98.11%,50.14%,99.68%,95.20%,98.42%,52.67%,1.87%,3.73%,1.87%,3.92%
19,18-<19 mo,48,2,6,95.56%,47.91%,99.72%,94.94%,95.82%,50.47%,3.07%,3.88%,3.08%,4.09%
20,19-<20 mo,40,2,9,94.37%,45.21%,99.70%,94.66%,94.65%,47.76%,3.87%,4.11%,3.88%,4.34%
21,20-<21 mo,29,2,5,92.45%,41.80%,99.70%,94.37%,92.74%,44.29%,5.13%,4.45%,5.15%,4.71%
22,21-<22 mo,22,1,8,94.44%,39.48%,99.63%,94.02%,94.80%,41.99%,5.40%,4.77%,5.42%,5.07%
23,22-<23 mo,13,0,5,100.00%,39.48%,99.61%,93.65%,100.0000%*,41.9895%#,0.00%,4.77%,0.00%,5.0730%#
24,23-<24 mo,8,0,8,+,+,99.77%,93.44%,+,+,+,+,+,+
