Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,433,5,11,98.65%,98.65%,99.74%,99.74%,98.89%,98.89%,0.60%,0.60%,0.60%,0.60%
2,1-<2 mo,417,4,12,98.87%,97.55%,99.74%,99.49%,99.09%,98.00%,0.56%,0.80%,0.56%,0.81%
3,2-<3 mo,401,6,19,98.24%,95.87%,99.75%,99.24%,98.45%,96.51%,0.70%,1.02%,0.71%,1.04%
4,3-<4 mo,376,3,16,99.06%,95.01%,99.75%,98.99%,99.27%,95.83%,0.54%,1.11%,0.54%,1.14%
5,4-<5 mo,357,2,17,99.32%,94.41%,99.75%,98.74%,99.53%,95.41%,0.48%,1.18%,0.48%,1.21%
6,5-<6 mo,338,2,17,99.28%,93.73%,99.74%,98.49%,99.52%,95.05%,0.51%,1.26%,0.51%,1.29%
7,6-<7 mo,319,2,17,99.38%,93.17%,99.74%,98.24%,99.61%,94.74%,0.45%,1.31%,0.45%,1.36%
8,7-<8 mo,300,5,15,97.96%,91.31%,99.74%,97.99%,98.20%,93.08%,0.90%,1.52%,0.90%,1.57%
9,8-<9 mo,280,2,18,99.08%,90.54%,99.75%,97.75%,99.30%,92.47%,0.64%,1.59%,0.64%,1.65%
10,9-<10 mo,260,2,15,98.99%,89.71%,99.75%,97.51%,99.20%,91.78%,0.71%,1.66%,0.71%,1.73%
11,10-<11 mo,243,4,12,97.89%,87.95%,99.75%,97.28%,98.12%,90.19%,1.04%,1.83%,1.04%,1.91%
12,11-<12 mo,227,3,22,98.57%,86.69%,99.76%,97.05%,98.81%,89.14%,0.84%,1.94%,0.84%,2.04%
13,12-<13 mo,202,1,14,99.35%,86.20%,99.72%,96.78%,99.58%,88.80%,0.65%,1.98%,0.65%,2.09%
14,13-<14 mo,187,4,18,97.16%,83.96%,99.74%,96.54%,97.40%,86.67%,1.39%,2.19%,1.40%,2.32%
15,14-<15 mo,165,2,17,98.25%,82.71%,99.75%,96.31%,98.45%,85.48%,1.21%,2.30%,1.22%,2.44%
16,15-<16 mo,146,0,10,100.00%,82.71%,99.75%,96.07%,100.00%,85.48%,0.00%,2.30%,0.00%,2.44%
17,16-<17 mo,136,1,16,98.86%,81.94%,99.75%,95.84%,99.07%,84.95%,1.12%,2.38%,1.13%,2.55%
18,17-<18 mo,119,1,22,99.42%,81.37%,99.76%,95.62%,99.43%,84.44%,0.57%,2.44%,0.57%,2.61%
19,18-<19 mo,96,0,21,100.00%,81.37%,99.75%,95.39%,100.00%,84.44%,0.00%,2.44%,0.00%,2.61%
20,19-<20 mo,75,0,17,100.00%,81.37%,99.74%,95.15%,100.00%,84.44%,0.00%,2.44%,0.00%,2.61%
21,20-<21 mo,58,0,16,100.00%,81.37%,99.73%,94.91%,100.00%,84.44%,0.00%,2.44%,0.00%,2.61%
22,21-<22 mo,42,0,12,100.00%,81.37%,99.68%,94.61%,100.00%,84.44%,0.00%,2.44%,0.00%,2.61%
23,22-<23 mo,30,0,12,100.00%,81.37%,99.64%,94.29%,100.00%,84.44%,0.00%,2.44%,0.00%,2.61%
24,23-<24 mo,18,0,18,+,+,99.73%,94.05%,+,+,+,+,+,+
