Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"3,028",103,128,95.99%,95.99%,99.75%,99.75%,96.23%,96.23%,0.39%,0.39%,0.39%,0.39%
2,1-<2 mo,"2,797",118,113,95.12%,91.35%,99.76%,99.51%,95.34%,91.78%,0.44%,0.56%,0.45%,0.56%
3,2-<3 mo,"2,566",82,123,96.17%,87.93%,99.76%,99.28%,96.40%,88.54%,0.42%,0.65%,0.42%,0.66%
4,3-<4 mo,"2,361",71,98,96.44%,84.89%,99.76%,99.04%,96.66%,85.67%,0.43%,0.72%,0.43%,0.73%
5,4-<5 mo,"2,192",49,97,97.50%,82.81%,99.76%,98.81%,97.73%,83.75%,0.37%,0.76%,0.37%,0.77%
6,5-<6 mo,"2,046",40,119,97.62%,80.93%,99.76%,98.58%,97.85%,82.02%,0.38%,0.79%,0.39%,0.81%
7,6-<7 mo,"1,887",47,103,96.98%,78.60%,99.77%,98.35%,97.21%,79.82%,0.45%,0.84%,0.45%,0.86%
8,7-<8 mo,"1,737",44,103,97.12%,76.43%,99.77%,98.12%,97.35%,77.76%,0.45%,0.87%,0.45%,0.90%
9,8-<9 mo,"1,590",34,99,97.31%,74.50%,99.77%,97.89%,97.53%,75.95%,0.47%,0.91%,0.48%,0.93%
10,9-<10 mo,"1,457",36,107,97.08%,72.45%,99.77%,97.67%,97.30%,74.00%,0.51%,0.94%,0.51%,0.97%
11,10-<11 mo,"1,314",28,84,97.82%,70.88%,99.76%,97.44%,98.06%,72.55%,0.44%,0.97%,0.44%,1.00%
12,11-<12 mo,"1,202",27,97,97.42%,69.15%,99.76%,97.21%,97.65%,70.91%,0.53%,1.00%,0.53%,1.04%
13,12-<13 mo,"1,078",21,72,98.11%,67.80%,99.73%,96.96%,98.38%,69.70%,0.44%,1.03%,0.44%,1.07%
14,13-<14 mo,985,18,72,97.94%,66.46%,99.73%,96.70%,98.20%,68.48%,0.51%,1.05%,0.52%,1.10%
15,14-<15 mo,895,24,70,96.43%,64.34%,99.74%,96.46%,96.68%,66.40%,0.74%,1.10%,0.74%,1.15%
16,15-<16 mo,801,18,58,96.84%,62.57%,99.75%,96.22%,97.08%,64.68%,0.75%,1.13%,0.75%,1.19%
17,16-<17 mo,725,17,91,97.16%,60.87%,99.75%,95.98%,97.41%,63.04%,0.72%,1.17%,0.72%,1.23%
18,17-<18 mo,617,21,79,95.99%,58.60%,99.76%,95.76%,96.22%,60.80%,0.92%,1.22%,0.93%,1.29%
19,18-<19 mo,517,12,84,96.88%,56.97%,99.76%,95.53%,97.11%,59.19%,0.94%,1.27%,0.94%,1.35%
20,19-<20 mo,421,7,77,97.99%,55.84%,99.75%,95.30%,98.23%,58.14%,0.81%,1.32%,0.81%,1.40%
21,20-<21 mo,337,8,90,98.07%,54.53%,99.77%,95.09%,98.12%,56.84%,0.69%,1.38%,0.69%,1.46%
22,21-<22 mo,239,8,68,96.69%,52.55%,99.75%,94.85%,96.94%,55.01%,1.25%,1.51%,1.25%,1.60%
23,22-<23 mo,163,2,83,97.94%,51.54%,99.75%,94.62%,98.17%,54.04%,1.44%,1.64%,1.44%,1.74%
24,23-<24 mo,78,1,77,+,+,99.74%,94.39%,+,+,+,+,+,+
