Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,684,22,20,96.41%,96.41%,99.81%,99.81%,96.59%,96.59%,0.79%,0.79%,0.80%,0.80%
2,1-<2 mo,642,16,22,97.01%,93.53%,99.81%,99.62%,97.19%,93.88%,0.78%,1.06%,0.78%,1.07%
3,2-<3 mo,604,15,30,96.85%,90.63%,99.81%,99.43%,97.03%,91.13%,0.84%,1.28%,0.84%,1.29%
4,3-<4 mo,559,16,32,96.71%,87.69%,99.81%,99.24%,96.89%,88.34%,0.87%,1.45%,0.87%,1.46%
5,4-<5 mo,511,11,37,97.10%,85.24%,99.81%,99.06%,97.28%,86.01%,0.91%,1.58%,0.91%,1.61%
6,5-<6 mo,463,7,26,98.13%,83.71%,99.82%,98.88%,98.30%,84.60%,0.75%,1.66%,0.76%,1.69%
7,6-<7 mo,430,10,21,97.65%,81.79%,99.82%,98.70%,97.83%,82.79%,0.79%,1.74%,0.79%,1.77%
8,7-<8 mo,399,10,27,97.49%,79.75%,99.81%,98.52%,97.67%,80.89%,0.85%,1.83%,0.86%,1.87%
9,8-<9 mo,362,6,25,98.09%,78.29%,99.81%,98.33%,98.27%,79.54%,0.84%,1.89%,0.84%,1.94%
10,9-<10 mo,331,6,14,97.58%,76.52%,99.81%,98.15%,97.75%,77.86%,1.04%,1.98%,1.04%,2.04%
11,10-<11 mo,311,7,25,97.52%,74.64%,99.82%,97.98%,97.69%,76.07%,1.03%,2.07%,1.03%,2.13%
12,11-<12 mo,279,3,26,99.09%,73.99%,99.82%,97.81%,99.11%,75.42%,0.52%,2.09%,0.52%,2.15%
13,12-<13 mo,250,3,16,98.58%,73.02%,99.80%,97.61%,98.77%,74.67%,0.87%,2.14%,0.88%,2.21%
14,13-<14 mo,231,3,16,98.61%,71.96%,99.79%,97.41%,98.79%,73.73%,0.88%,2.20%,0.88%,2.29%
15,14-<15 mo,212,4,23,97.52%,70.33%,99.80%,97.22%,97.71%,72.18%,1.28%,2.29%,1.28%,2.38%
16,15-<16 mo,185,1,23,99.52%,70.01%,99.79%,97.02%,99.54%,71.87%,0.48%,2.30%,0.48%,2.40%
17,16-<17 mo,161,1,18,98.88%,69.32%,99.81%,96.84%,99.03%,71.35%,1.11%,2.36%,1.11%,2.48%
18,17-<18 mo,142,2,23,98.95%,68.40%,99.81%,96.66%,98.96%,70.46%,0.73%,2.44%,0.73%,2.55%
19,18-<19 mo,117,1,20,98.18%,67.30%,99.83%,96.50%,98.31%,69.47%,1.79%,2.61%,1.79%,2.75%
20,19-<20 mo,96,2,18,98.22%,66.15%,99.81%,96.33%,98.24%,68.36%,1.22%,2.70%,1.22%,2.84%
21,20-<21 mo,76,0,14,100.00%,66.15%,99.81%,96.14%,100.00%,68.36%,0.00%,2.70%,0.00%,2.84%
22,21-<22 mo,62,1,21,95.39%,63.47%,99.78%,95.94%,95.56%,65.78%,4.36%,3.57%,4.38%,3.82%
23,22-<23 mo,40,0,18,100.00%,63.47%,99.75%,95.70%,100.00%,65.78%,0.00%,3.57%,0.00%,3.82%
24,23-<24 mo,22,0,22,+,+,99.79%,95.51%,+,+,+,+,+,+
