Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,13,0,1,100.00%,100.00%,99.85%,99.85%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
2,1-<2 mo,12,1,0,56.23%,56.23%,99.89%,99.74%,56.23%,56.23%,0.00%,0.00%,0.00%,0.00%
3,2-<3 mo,11,0,1,+,56.23%,+,+,+,56.23%,+,0.00%,+,0.00%
4,3-<4 mo,10,1,1,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
5,4-<5 mo,8,0,0,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
6,5-<6 mo,8,0,0,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
7,6-<7 mo,8,0,1,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
8,7-<8 mo,7,0,0,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
9,8-<9 mo,7,0,2,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
10,9-<10 mo,5,0,1,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
11,10-<11 mo,4,0,0,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
12,11-<12 mo,4,0,0,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
13,12-<13 mo,4,0,0,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
14,13-<14 mo,4,0,0,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
15,14-<15 mo,4,0,1,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
16,15-<16 mo,3,0,0,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
17,16-<17 mo,3,0,0,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
18,17-<18 mo,3,0,0,+,51.03%,+,+,+,51.08%,+,4.71%,+,4.72%
19,18-<19 mo,3,0,1,+,+,+,+,+,+,+,+,+,+
