Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,122,2,7,98.51%,98.51%,99.76%,99.76%,98.55%,98.55%,1.06%,1.06%,1.06%,1.06%
2,1-<2 mo,113,7,3,93.68%,92.26%,99.76%,99.52%,93.91%,92.70%,2.37%,2.56%,2.38%,2.57%
3,2-<3 mo,103,1,2,98.73%,91.09%,99.75%,99.28%,98.93%,91.71%,1.25%,2.77%,1.26%,2.80%
4,3-<4 mo,100,0,4,100.00%,91.09%,99.75%,99.03%,100.00%,91.71%,0.00%,2.77%,0.00%,2.80%
5,4-<5 mo,96,2,9,97.44%,88.75%,99.75%,98.78%,97.67%,89.80%,1.79%,3.15%,1.80%,3.20%
6,5-<6 mo,85,1,9,99.11%,87.93%,99.74%,98.53%,99.12%,89.03%,0.88%,3.24%,0.88%,3.28%
7,6-<7 mo,75,1,6,98.21%,86.39%,99.73%,98.27%,98.43%,87.82%,1.75%,3.50%,1.76%,3.59%
8,7-<8 mo,68,1,6,98.88%,85.40%,99.74%,98.02%,98.89%,86.85%,1.10%,3.62%,1.10%,3.70%
9,8-<9 mo,61,0,3,100.00%,85.40%,99.74%,97.77%,100.00%,86.85%,0.00%,3.62%,0.00%,3.70%
10,9-<10 mo,58,1,3,98.70%,84.29%,99.74%,97.52%,98.71%,85.76%,1.27%,3.74%,1.27%,3.82%
11,10-<11 mo,54,0,6,100.00%,84.29%,99.73%,97.26%,100.00%,85.76%,0.00%,3.74%,0.00%,3.82%
12,11-<12 mo,48,1,1,98.49%,83.07%,99.71%,96.98%,98.51%,84.56%,1.47%,3.88%,1.47%,3.95%
13,12-<13 mo,46,0,5,100.00%,83.07%,99.68%,96.68%,100.00%,84.56%,0.00%,3.88%,0.00%,3.95%
14,13-<14 mo,41,2,1,95.11%,79.13%,99.66%,96.37%,95.39%,81.93%,3.40%,4.58%,3.42%,4.80%
15,14-<15 mo,38,0,3,100.00%,79.13%,99.74%,96.12%,100.00%,81.93%,0.00%,4.58%,0.00%,4.80%
16,15-<16 mo,35,1,3,96.76%,76.62%,99.74%,95.87%,96.96%,79.56%,3.12%,5.01%,3.14%,5.30%
17,16-<17 mo,31,2,1,92.39%,71.15%,99.73%,95.62%,92.58%,73.78%,4.89%,5.68%,4.92%,6.07%
18,17-<18 mo,28,1,2,97.40%,69.29%,99.72%,95.36%,97.41%,71.95%,2.48%,5.85%,2.48%,6.24%
19,18-<19 mo,25,1,4,93.75%,65.59%,99.70%,95.08%,93.97%,68.19%,5.79%,6.31%,5.82%,6.81%
20,19-<20 mo,20,0,3,100.00%,65.59%,99.66%,94.77%,100.00%,68.19%,0.00%,6.31%,0.00%,6.81%
21,20-<21 mo,17,1,5,95.23%,62.49%,99.86%,94.63%,95.24%,65.09%,4.36%,6.73%,4.36%,7.21%
22,21-<22 mo,11,0,3,100.00%,62.49%,99.87%,94.51%,100.00%,65.09%,0.00%,6.73%,0.00%,7.21%
23,22-<23 mo,8,0,4,100.00%,62.49%,99.87%,94.39%,100.00%,65.09%,0.00%,6.73%,0.00%,7.21%
24,23-<24 mo,4,0,4,+,+,99.87%,94.28%,+,+,+,+,+,+
