Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,650,8,36,98.73%,98.73%,99.92%,99.92%,98.81%,98.81%,0.44%,0.44%,0.45%,0.45%
2,1-<2 mo,606,5,32,99.15%,97.90%,99.92%,99.84%,99.23%,98.05%,0.38%,0.58%,0.38%,0.58%
3,2-<3 mo,569,4,40,99.27%,97.18%,99.92%,99.76%,99.35%,97.41%,0.36%,0.67%,0.36%,0.68%
4,3-<4 mo,525,7,38,98.62%,95.84%,99.92%,99.69%,98.69%,96.14%,0.52%,0.83%,0.52%,0.84%
5,4-<5 mo,480,1,24,99.79%,95.63%,99.93%,99.61%,99.86%,96.01%,0.21%,0.86%,0.21%,0.86%
6,5-<6 mo,455,2,34,99.54%,95.20%,99.93%,99.54%,99.62%,95.64%,0.32%,0.91%,0.32%,0.91%
7,6-<7 mo,419,7,28,98.27%,93.55%,99.93%,99.46%,98.35%,94.06%,0.65%,1.08%,0.65%,1.09%
8,7-<8 mo,384,0,26,100.00%,93.55%,99.93%,99.39%,100.0000%*,94.0570%#,0.00%,1.08%,0.00%,1.0902%#
9,8-<9 mo,358,1,23,99.71%,93.28%,99.93%,99.32%,99.78%,93.92%,0.29%,1.11%,0.29%,1.12%
10,9-<10 mo,334,0,18,100.00%,93.28%,99.93%,99.25%,100.0000%*,93.9204%#,0.00%,1.11%,0.00%,1.1219%#
11,10-<11 mo,316,0,29,100.00%,93.28%,99.92%,99.17%,100.0000%*,93.9204%#,0.00%,1.11%,0.00%,1.1219%#
12,11-<12 mo,287,1,36,99.63%,92.94%,99.92%,99.10%,99.70%,93.78%,0.37%,1.16%,0.37%,1.17%
13,12-<13 mo,250,1,18,99.59%,92.55%,99.91%,99.01%,99.67%,93.47%,0.41%,1.22%,0.41%,1.23%
14,13-<14 mo,231,1,22,99.55%,92.13%,99.92%,98.93%,99.62%,93.12%,0.45%,1.29%,0.45%,1.30%
15,14-<15 mo,208,1,23,99.49%,91.66%,99.92%,98.85%,99.57%,92.73%,0.51%,1.36%,0.51%,1.38%
16,15-<16 mo,184,0,24,100.00%,91.66%,99.91%,98.76%,100.0000%*,92.7262%#,0.00%,1.36%,0.00%,1.3773%#
17,16-<17 mo,160,3,24,97.97%,89.80%,99.91%,98.67%,98.07%,91.01%,1.16%,1.70%,1.16%,1.73%
18,17-<18 mo,133,0,20,100.00%,89.80%,99.90%,98.57%,100.0000%*,91.0127%#,0.00%,1.70%,0.00%,1.7279%#
19,18-<19 mo,113,0,22,100.00%,89.80%,99.91%,98.48%,100.0000%*,91.0127%#,0.00%,1.70%,0.00%,1.7279%#
20,19-<20 mo,91,0,23,100.00%,89.80%,99.90%,98.38%,100.0000%*,91.0127%#,0.00%,1.70%,0.00%,1.7279%#
21,20-<21 mo,68,0,20,100.00%,89.80%,99.88%,98.26%,100.0000%*,91.0127%#,0.00%,1.70%,0.00%,1.7279%#
22,21-<22 mo,48,0,15,100.00%,89.80%,99.87%,98.14%,100.0000%*,91.0127%#,0.00%,1.70%,0.00%,1.7279%#
23,22-<23 mo,33,1,12,96.30%,86.48%,99.92%,98.07%,96.37%,88.18%,3.63%,3.65%,3.64%,3.73%
24,23-<24 mo,20,0,20,+,+,99.94%,98.01%,+,+,+,+,+,+
