Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,96,0,3,100.00%,100.00%,99.81%,99.81%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
2,1-<2 mo,93,0,3,100.00%,100.00%,99.81%,99.63%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
3,2-<3 mo,90,1,2,98.32%,98.32%,99.81%,99.44%,98.46%,98.75%,1.65%,1.65%,1.66%,1.67%
4,3-<4 mo,87,0,6,100.00%,98.32%,99.82%,99.26%,100.00%,98.75%,0.00%,1.65%,0.00%,1.67%
5,4-<5 mo,81,1,2,98.96%,97.28%,99.82%,99.08%,98.99%,97.84%,1.02%,1.94%,1.02%,1.96%
6,5-<6 mo,78,0,4,100.00%,97.28%,99.82%,98.90%,100.00%,97.84%,0.00%,1.94%,0.00%,1.96%
7,6-<7 mo,74,1,3,98.05%,95.41%,99.82%,98.72%,98.19%,96.50%,1.90%,2.62%,1.91%,2.68%
8,7-<8 mo,70,0,3,100.00%,95.41%,99.82%,98.55%,100.00%,96.50%,0.00%,2.62%,0.00%,2.68%
9,8-<9 mo,67,0,5,100.00%,95.41%,99.82%,98.37%,100.00%,96.50%,0.00%,2.62%,0.00%,2.68%
10,9-<10 mo,62,0,0,100.00%,95.41%,99.82%,98.20%,100.00%,96.50%,0.00%,2.62%,0.00%,2.68%
11,10-<11 mo,62,1,5,98.75%,94.20%,99.82%,98.02%,98.77%,95.44%,1.23%,2.86%,1.23%,2.92%
12,11-<12 mo,56,1,1,98.62%,92.93%,99.82%,97.84%,98.65%,94.18%,1.34%,3.08%,1.35%,3.14%
13,12-<13 mo,54,0,0,100.00%,92.93%,99.83%,97.67%,100.00%,94.18%,0.00%,3.08%,0.00%,3.14%
14,13-<14 mo,54,0,6,100.00%,92.93%,99.83%,97.51%,100.00%,94.18%,0.00%,3.08%,0.00%,3.14%
15,14-<15 mo,48,0,5,100.00%,92.93%,99.81%,97.32%,100.00%,94.18%,0.00%,3.08%,0.00%,3.14%
16,15-<16 mo,43,0,4,100.00%,92.93%,99.81%,97.14%,100.00%,94.18%,0.00%,3.08%,0.00%,3.14%
17,16-<17 mo,39,0,2,100.00%,92.93%,99.84%,96.99%,100.00%,94.18%,0.00%,3.08%,0.00%,3.14%
18,17-<18 mo,37,0,9,100.00%,92.93%,99.85%,96.85%,100.00%,94.18%,0.00%,3.08%,0.00%,3.14%
19,18-<19 mo,28,0,3,100.00%,92.93%,99.84%,96.70%,100.00%,94.18%,0.00%,3.08%,0.00%,3.14%
20,19-<20 mo,25,1,3,90.27%,83.99%,99.84%,96.54%,90.37%,86.34%,8.58%,8.32%,8.60%,8.85%
21,20-<21 mo,21,1,4,96.99%,80.98%,99.85%,96.40%,96.99%,83.50%,2.85%,8.80%,2.85%,9.30%
22,21-<22 mo,16,0,5,100.00%,80.98%,99.85%,96.26%,100.00%,83.50%,0.00%,8.80%,0.00%,9.30%
23,22-<23 mo,11,0,3,+,+,99.83%,96.11%,+,+,+,+,+,+
