Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,45,1,2,97.73%,97.73%,99.68%,99.68%,98.04%,98.04%,2.25%,2.25%,2.25%,2.25%
2,1-<2 mo,42,2,4,95.00%,92.84%,99.70%,99.38%,95.29%,93.42%,3.45%,3.99%,3.46%,4.01%
3,2-<3 mo,36,2,1,94.37%,87.61%,99.68%,99.06%,94.67%,88.44%,3.87%,5.20%,3.88%,5.25%
4,3-<4 mo,33,5,0,84.85%,74.34%,99.66%,98.73%,85.13%,75.29%,6.24%,7.03%,6.26%,7.12%
5,4-<5 mo,28,1,0,96.43%,71.68%,99.83%,98.56%,96.59%,72.73%,3.51%,7.26%,3.51%,7.37%
6,5-<6 mo,27,2,2,92.31%,66.17%,99.83%,98.39%,92.47%,67.25%,5.23%,7.68%,5.23%,7.80%
7,6-<7 mo,23,0,4,100.00%,66.17%,99.85%,98.25%,100.0000%*,67.2488%#,0.00%,7.68%,0.00%,7.8035%#
8,7-<8 mo,19,0,0,100.00%,66.17%,99.86%,98.11%,100.0000%*,67.2488%#,0.00%,7.68%,0.00%,7.8035%#
9,8-<9 mo,19,1,0,94.74%,62.68%,99.86%,97.98%,94.87%,63.98%,5.12%,8.02%,5.13%,8.19%
10,9-<10 mo,18,1,0,94.44%,59.20%,99.86%,97.84%,94.58%,60.51%,5.40%,8.30%,5.41%,8.48%
11,10-<11 mo,17,0,0,100.00%,59.20%,99.85%,97.69%,100.0000%*,60.5116%#,0.00%,8.30%,0.00%,8.4840%#
12,11-<12 mo,17,0,0,100.00%,59.20%,99.85%,97.54%,100.0000%*,60.5116%#,0.00%,8.30%,0.00%,8.4840%#
13,12-<13 mo,17,0,1,100.00%,59.20%,99.84%,97.39%,100.0000%*,60.5116%#,0.00%,8.30%,0.00%,8.4840%#
14,13-<14 mo,16,0,1,100.00%,59.20%,99.84%,97.23%,100.0000%*,60.5116%#,0.00%,8.30%,0.00%,8.4840%#
15,14-<15 mo,15,2,2,85.71%,50.74%,99.84%,97.07%,85.85%,52.28%,9.35%,9.02%,9.37%,9.29%
16,15-<16 mo,11,0,1,100.00%,50.74%,99.85%,96.92%,100.0000%*,52.2759%#,0.00%,9.02%,0.00%,9.2872%#
17,16-<17 mo,10,0,1,100.00%,50.74%,99.84%,96.77%,100.0000%*,52.2759%#,0.00%,9.02%,0.00%,9.2872%#
18,17-<18 mo,9,1,1,88.24%,44.77%,99.84%,96.61%,88.38%,46.34%,11.05%,9.73%,11.07%,10.07%
19,18-<19 mo,7,1,1,84.62%,37.89%,99.81%,96.43%,84.78%,39.29%,14.15%,10.39%,14.18%,10.78%
20,19-<20 mo,5,0,0,100.00%,37.89%,99.79%,96.23%,100.0000%*,39.2883%#,0.00%,10.39%,0.00%,10.7753%#
21,20-<21 mo,5,0,1,100.00%,37.89%,99.79%,96.02%,100.0000%*,39.2883%#,0.00%,10.39%,0.00%,10.7753%#
22,21-<22 mo,4,1,0,75.00%,28.41%,99.78%,95.81%,75.17%,29.66%,21.65%,11.31%,21.70%,11.81%
23,22-<23 mo,3,0,3,+,+,99.84%,95.66%,+,+,+,+,+,+
