Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,70,3,3,96.09%,96.09%,99.74%,99.74%,96.31%,96.31%,2.28%,2.28%,2.29%,2.29%
2,1-<2 mo,64,5,1,94.46%,90.81%,99.73%,99.47%,94.65%,91.19%,2.32%,3.10%,2.33%,3.12%
3,2-<3 mo,58,4,2,92.54%,83.93%,99.74%,99.21%,92.79%,84.57%,3.75%,4.58%,3.75%,4.61%
4,3-<4 mo,52,2,1,95.29%,79.87%,99.73%,98.95%,95.54%,80.68%,3.37%,5.26%,3.38%,5.31%
5,4-<5 mo,49,1,2,97.80%,77.96%,99.73%,98.68%,97.81%,78.78%,2.12%,5.49%,2.12%,5.54%
6,5-<6 mo,46,1,1,98.38%,76.73%,99.73%,98.41%,98.60%,77.88%,1.59%,5.57%,1.60%,5.63%
7,6-<7 mo,44,3,2,94.85%,72.98%,99.74%,98.16%,95.05%,74.16%,2.79%,5.75%,2.81%,5.83%
8,7-<8 mo,39,3,0,94.03%,69.15%,99.72%,97.89%,94.24%,70.33%,3.20%,5.86%,3.22%,5.96%
9,8-<9 mo,36,2,2,95.27%,66.53%,99.75%,97.65%,95.46%,67.70%,3.16%,5.90%,3.17%,6.02%
10,9-<10 mo,32,2,3,93.90%,62.53%,99.80%,97.45%,94.06%,63.74%,4.12%,6.24%,4.12%,6.37%
11,10-<11 mo,27,0,3,100.00%,62.53%,99.81%,97.27%,100.00%,63.74%,0.00%,6.24%,0.00%,6.37%
12,11-<12 mo,24,0,2,100.00%,62.53%,99.82%,97.10%,100.00%,63.74%,0.00%,6.24%,0.00%,6.37%
13,12-<13 mo,22,0,3,100.00%,62.53%,99.80%,96.91%,100.00%,63.74%,0.00%,6.24%,0.00%,6.37%
14,13-<14 mo,19,0,1,100.00%,62.53%,99.82%,96.74%,100.00%,63.74%,0.00%,6.24%,0.00%,6.37%
15,14-<15 mo,18,0,0,100.00%,62.53%,99.82%,96.57%,100.00%,63.74%,0.00%,6.24%,0.00%,6.37%
16,15-<16 mo,18,1,0,93.10%,57.05%,99.82%,96.41%,93.12%,58.46%,5.97%,7.47%,5.98%,7.65%
17,16-<17 mo,17,1,0,95.23%,53.65%,99.82%,96.24%,95.23%,55.09%,4.36%,7.85%,4.36%,8.02%
18,17-<18 mo,16,1,2,94.16%,50.96%,99.82%,96.07%,94.28%,52.74%,5.43%,8.04%,5.45%,8.28%
19,18-<19 mo,13,1,0,94.27%,47.56%,99.83%,95.91%,94.28%,49.32%,5.12%,8.20%,5.13%,8.44%
20,19-<20 mo,12,1,2,92.84%,44.15%,99.83%,95.76%,92.85%,45.90%,6.20%,8.17%,6.20%,8.41%
21,20-<21 mo,9,0,4,100.00%,44.15%,99.86%,95.62%,100.00%,45.90%,0.00%,8.17%,0.00%,8.41%
22,21-<22 mo,5,0,1,100.00%,44.15%,99.86%,95.49%,100.00%,45.90%,0.00%,8.17%,0.00%,8.41%
23,22-<23 mo,4,0,2,+,+,99.86%,95.36%,+,+,+,+,+,+
