Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,4,0,1,100.00%,100.00%,99.99%,99.99%,100.0000%*,100.0000%*,0.00%,0.00%,0.00%,0.00%
2,1-<2 mo,3,0,0,100.00%,100.00%,99.99%,99.98%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
3,2-<3 mo,3,0,1,100.00%,100.00%,99.99%,99.97%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
4,3-<4 mo,2,0,0,100.00%,100.00%,99.99%,99.97%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
5,4-<5 mo,2,0,0,100.00%,100.00%,99.99%,99.96%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
6,5-<6 mo,2,0,0,100.00%,100.00%,99.99%,99.95%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
7,6-<7 mo,2,0,0,100.00%,100.00%,99.99%,99.94%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
8,7-<8 mo,2,0,0,100.00%,100.00%,99.99%,99.93%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
9,8-<9 mo,2,0,0,100.00%,100.00%,99.99%,99.92%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
10,9-<10 mo,2,0,0,100.00%,100.00%,99.99%,99.91%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
11,10-<11 mo,2,0,0,100.00%,100.00%,99.99%,99.90%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
12,11-<12 mo,2,0,0,100.00%,100.00%,99.99%,99.89%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
13,12-<13 mo,2,0,1,100.00%,100.00%,99.99%,99.88%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
14,13-<14 mo,1,0,0,100.00%,100.00%,99.99%,99.87%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
15,14-<15 mo,1,0,0,100.00%,100.00%,99.99%,99.86%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
16,15-<16 mo,1,0,0,100.00%,100.00%,99.99%,99.85%,100.0000%*,100.0000%*#,0.00%,0.00%,0.00%,0.0000%#
17,16-<17 mo,1,1,0,0.00%,0.00%,99.99%,99.84%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
