Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,507,3,27,97.70%,97.70%,99.79%,99.79%,97.86%,97.86%,1.29%,1.29%,1.30%,1.30%
2,1-<2 mo,477,5,18,98.29%,96.03%,99.79%,99.59%,98.49%,96.42%,1.06%,1.63%,1.06%,1.64%
3,2-<3 mo,454,2,23,98.20%,94.36%,99.79%,99.38%,98.36%,94.89%,1.25%,1.95%,1.25%,1.97%
4,3-<4 mo,429,1,12,99.31%,93.68%,99.79%,99.18%,99.34%,94.27%,0.68%,2.06%,0.68%,2.08%
5,4-<5 mo,416,4,18,98.37%,92.12%,99.79%,98.97%,98.40%,92.74%,1.01%,2.25%,1.01%,2.28%
6,5-<6 mo,394,4,14,96.85%,89.30%,99.79%,98.77%,97.05%,90.37%,1.74%,2.66%,1.75%,2.71%
7,6-<7 mo,376,1,23,99.11%,88.52%,99.79%,98.56%,99.14%,89.61%,0.88%,2.74%,0.88%,2.79%
8,7-<8 mo,352,3,28,98.81%,87.49%,99.80%,98.37%,98.84%,88.60%,0.98%,2.84%,0.98%,2.89%
9,8-<9 mo,321,0,17,100.00%,87.49%,99.84%,98.22%,100.00%,88.60%,0.00%,2.84%,0.00%,2.89%
10,9-<10 mo,304,0,30,100.00%,87.49%,99.84%,98.06%,100.00%,88.60%,0.00%,2.84%,0.00%,2.89%
11,10-<11 mo,274,0,23,100.00%,87.49%,99.84%,97.91%,100.00%,88.60%,0.00%,2.84%,0.00%,2.89%
12,11-<12 mo,251,1,21,97.63%,85.49%,99.83%,97.74%,97.76%,87.27%,2.30%,3.36%,2.31%,3.48%
13,12-<13 mo,229,0,18,100.00%,85.49%,99.83%,97.58%,100.00%,87.27%,0.00%,3.36%,0.00%,3.48%
14,13-<14 mo,211,0,20,100.00%,85.49%,99.83%,97.42%,100.00%,87.27%,0.00%,3.36%,0.00%,3.48%
15,14-<15 mo,191,0,19,100.00%,85.49%,99.82%,97.24%,100.00%,87.27%,0.00%,3.36%,0.00%,3.48%
16,15-<16 mo,172,0,10,100.00%,85.49%,99.84%,97.09%,100.00%,87.27%,0.00%,3.36%,0.00%,3.48%
17,16-<17 mo,162,1,18,99.77%,85.27%,99.84%,96.93%,99.78%,87.10%,0.22%,3.37%,0.22%,3.49%
18,17-<18 mo,143,0,20,100.00%,85.27%,99.83%,96.77%,100.00%,87.10%,0.00%,3.37%,0.00%,3.49%
19,18-<19 mo,123,0,19,100.00%,85.27%,99.82%,96.59%,100.00%,87.10%,0.00%,3.37%,0.00%,3.49%
20,19-<20 mo,104,0,20,100.00%,85.27%,99.82%,96.42%,100.00%,87.10%,0.00%,3.37%,0.00%,3.49%
21,20-<21 mo,84,0,20,100.00%,85.27%,99.90%,96.32%,100.00%,87.10%,0.00%,3.37%,0.00%,3.49%
22,21-<22 mo,64,0,13,100.00%,85.27%,99.88%,96.20%,100.00%,87.10%,0.00%,3.37%,0.00%,3.49%
23,22-<23 mo,51,0,25,+,+,99.88%,96.09%,+,+,+,+,+,+
