Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,77,2,5,97.02%,97.02%,99.79%,99.79%,97.21%,97.21%,2.09%,2.09%,2.10%,2.10%
2,1-<2 mo,70,1,5,98.65%,95.74%,99.78%,99.57%,98.69%,95.95%,1.31%,2.41%,1.31%,2.42%
3,2-<3 mo,64,4,4,93.54%,89.65%,99.80%,99.37%,93.74%,90.22%,3.16%,3.71%,3.16%,3.74%
4,3-<4 mo,56,2,3,97.27%,87.04%,99.80%,99.17%,97.29%,87.62%,1.83%,4.08%,1.84%,4.10%
5,4-<5 mo,51,2,1,95.73%,83.35%,99.80%,98.97%,95.90%,84.21%,2.94%,4.66%,2.95%,4.71%
6,5-<6 mo,48,0,2,100.00%,83.35%,99.80%,98.78%,100.00%,84.21%,0.00%,4.66%,0.00%,4.71%
7,6-<7 mo,46,1,5,97.26%,80.98%,99.81%,98.59%,97.40%,82.04%,2.65%,5.07%,2.66%,5.15%
8,7-<8 mo,40,3,1,93.36%,75.77%,99.80%,98.39%,93.40%,76.92%,3.56%,5.54%,3.57%,5.63%
9,8-<9 mo,36,2,3,94.48%,72.33%,99.80%,98.19%,94.51%,73.47%,3.49%,5.64%,3.49%,5.73%
10,9-<10 mo,31,0,1,100.00%,72.33%,99.80%,98.00%,100.00%,73.47%,0.00%,5.64%,0.00%,5.73%
11,10-<11 mo,30,1,1,96.19%,69.24%,99.80%,97.80%,96.33%,70.77%,3.64%,6.18%,3.65%,6.34%
12,11-<12 mo,28,2,1,92.79%,63.73%,99.79%,97.60%,92.94%,65.27%,5.02%,6.89%,5.03%,7.08%
13,12-<13 mo,25,0,3,100.00%,63.73%,99.78%,97.39%,100.00%,65.27%,0.00%,6.89%,0.00%,7.08%
14,13-<14 mo,22,1,2,93.27%,59.26%,99.81%,97.20%,93.39%,60.79%,6.19%,7.53%,6.21%,7.79%
15,14-<15 mo,19,1,2,96.42%,56.64%,99.83%,97.04%,96.43%,58.18%,3.35%,7.78%,3.35%,8.04%
16,15-<16 mo,16,0,3,100.00%,56.64%,99.84%,96.89%,100.00%,58.18%,0.00%,7.78%,0.00%,8.04%
17,16-<17 mo,13,1,3,93.64%,52.57%,99.82%,96.71%,93.65%,54.09%,5.61%,8.26%,5.62%,8.51%
18,17-<18 mo,9,0,2,100.00%,52.57%,99.82%,96.54%,100.00%,54.09%,0.00%,8.26%,0.00%,8.51%
19,18-<19 mo,7,0,2,+,+,99.86%,96.41%,+,+,+,+,+,+
