Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,344,12,14,96.49%,96.49%,99.81%,99.81%,96.68%,96.68%,0.99%,0.99%,1.00%,1.00%
2,1-<2 mo,318,40,9,87.34%,84.29%,99.81%,99.61%,87.51%,84.62%,1.87%,2.00%,1.87%,2.00%
3,2-<3 mo,269,34,14,86.95%,73.35%,99.82%,99.43%,87.10%,73.75%,2.08%,2.46%,2.08%,2.47%
4,3-<4 mo,221,21,11,90.02%,66.20%,99.81%,99.24%,90.19%,66.67%,2.05%,2.65%,2.06%,2.67%
5,4-<5 mo,189,18,4,90.04%,59.86%,99.81%,99.06%,90.21%,60.38%,2.22%,2.77%,2.22%,2.79%
6,5-<6 mo,167,16,10,89.72%,53.98%,99.83%,98.89%,89.87%,54.52%,2.44%,2.84%,2.44%,2.87%
7,6-<7 mo,141,14,7,90.10%,48.49%,99.83%,98.72%,90.25%,49.05%,2.54%,2.91%,2.55%,2.95%
8,7-<8 mo,120,7,9,93.57%,45.57%,99.82%,98.55%,93.73%,46.16%,2.36%,2.92%,2.37%,2.97%
9,8-<9 mo,104,9,5,90.38%,41.53%,99.81%,98.36%,90.55%,42.12%,3.06%,2.94%,3.07%,2.98%
10,9-<10 mo,90,4,3,95.01%,39.64%,99.81%,98.18%,95.19%,40.25%,2.50%,2.94%,2.50%,3.00%
11,10-<11 mo,83,2,6,97.20%,38.64%,99.81%,97.99%,97.37%,39.28%,1.99%,2.95%,1.99%,3.01%
12,11-<12 mo,75,4,4,94.04%,36.54%,99.80%,97.80%,94.22%,37.21%,2.95%,2.96%,2.95%,3.02%
13,12-<13 mo,67,6,1,90.73%,33.49%,99.78%,97.59%,90.89%,34.14%,3.67%,2.94%,3.68%,3.01%
14,13-<14 mo,60,5,7,91.30%,30.80%,99.82%,97.42%,91.43%,31.41%,3.78%,2.92%,3.79%,2.99%
15,14-<15 mo,48,1,5,98.10%,29.96%,99.82%,97.24%,98.12%,30.61%,1.84%,2.97%,1.84%,3.04%
16,15-<16 mo,42,2,6,93.96%,28.79%,99.81%,97.06%,94.09%,29.43%,3.96%,2.94%,3.98%,3.02%
17,16-<17 mo,34,2,2,93.79%,27.18%,99.81%,96.88%,93.96%,27.81%,4.30%,2.99%,4.31%,3.07%
18,17-<18 mo,30,1,6,96.93%,26.03%,99.82%,96.70%,96.96%,26.66%,2.89%,3.07%,2.89%,3.15%
19,18-<19 mo,23,2,3,90.22%,23.83%,99.79%,96.50%,90.39%,24.44%,6.54%,3.15%,6.56%,3.24%
20,19-<20 mo,18,3,4,80.48%,19.42%,99.77%,96.29%,80.66%,19.95%,10.64%,3.45%,10.67%,3.55%
21,20-<21 mo,11,0,3,100.00%,19.42%,99.88%,96.17%,100.00%,19.95%,0.00%,3.45%,0.00%,3.55%
22,21-<22 mo,8,0,2,100.00%,19.42%,99.88%,96.06%,100.00%,19.95%,0.00%,3.45%,0.00%,3.55%
23,22-<23 mo,6,0,4,+,+,99.89%,95.95%,+,+,+,+,+,+
