Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,228",18,42,98.51%,98.51%,99.74%,99.74%,98.77%,98.77%,0.35%,0.35%,0.35%,0.35%
2,1-<2 mo,"1,168",8,46,99.30%,97.82%,99.74%,99.48%,99.56%,98.34%,0.25%,0.42%,0.25%,0.43%
3,2-<3 mo,"1,114",6,36,99.45%,97.28%,99.74%,99.22%,99.71%,98.05%,0.22%,0.47%,0.22%,0.48%
4,3-<4 mo,"1,072",8,52,99.24%,96.54%,99.74%,98.96%,99.49%,97.55%,0.27%,0.54%,0.27%,0.54%
5,4-<5 mo,"1,012",11,36,98.89%,95.47%,99.75%,98.71%,99.14%,96.72%,0.33%,0.62%,0.33%,0.63%
6,5-<6 mo,965,6,54,99.36%,94.86%,99.75%,98.46%,99.61%,96.34%,0.26%,0.67%,0.26%,0.68%
7,6-<7 mo,905,7,47,99.21%,94.11%,99.75%,98.22%,99.45%,95.81%,0.30%,0.72%,0.30%,0.73%
8,7-<8 mo,851,4,41,99.52%,93.66%,99.76%,97.98%,99.76%,95.58%,0.24%,0.75%,0.24%,0.77%
9,8-<9 mo,806,2,45,99.74%,93.42%,99.76%,97.75%,99.99%,95.57%,0.18%,0.77%,0.18%,0.78%
10,9-<10 mo,759,6,45,99.19%,92.66%,99.76%,97.51%,99.42%,95.02%,0.33%,0.82%,0.33%,0.84%
11,10-<11 mo,708,4,47,99.42%,92.11%,99.76%,97.28%,99.66%,94.69%,0.29%,0.86%,0.29%,0.88%
12,11-<12 mo,657,3,68,99.52%,91.67%,99.76%,97.04%,99.76%,94.46%,0.28%,0.89%,0.28%,0.92%
13,12-<13 mo,586,6,36,98.94%,90.70%,99.74%,96.79%,99.20%,93.71%,0.43%,0.97%,0.43%,1.00%
14,13-<14 mo,544,3,53,99.42%,90.18%,99.74%,96.54%,99.68%,93.41%,0.33%,1.01%,0.33%,1.04%
15,14-<15 mo,488,3,48,99.35%,89.59%,99.74%,96.28%,99.62%,93.05%,0.37%,1.06%,0.37%,1.10%
16,15-<16 mo,437,6,37,98.57%,88.31%,99.73%,96.02%,98.84%,91.97%,0.58%,1.16%,0.58%,1.21%
17,16-<17 mo,394,2,46,99.46%,87.83%,99.72%,95.76%,99.74%,91.73%,0.38%,1.21%,0.38%,1.26%
18,17-<18 mo,346,0,67,100.00%,87.83%,99.71%,95.48%,100.0000%*,91.7254%#,0.00%,1.21%,0.00%,1.2588%#
19,18-<19 mo,279,1,41,99.61%,87.49%,99.71%,95.21%,99.90%,91.7254%#,0.39%,1.25%,0.39%,1.2588%#
20,19-<20 mo,237,1,45,99.53%,87.08%,99.71%,94.93%,99.82%,91.7254%#,0.47%,1.31%,0.47%,1.2588%#
21,20-<21 mo,191,1,47,99.40%,86.56%,99.70%,94.65%,99.70%,91.46%,0.60%,1.40%,0.60%,1.48%
22,21-<22 mo,143,0,51,100.00%,86.56%,99.72%,94.38%,100.0000%*,91.4571%#,0.00%,1.40%,0.00%,1.4777%#
23,22-<23 mo,92,0,44,100.00%,86.56%,99.71%,94.10%,100.0000%*,91.4571%#,0.00%,1.40%,0.00%,1.4777%#
24,23-<24 mo,48,1,47,+,+,99.71%,93.83%,+,+,+,+,+,+
