Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"9,838",57,441,99.39%,99.39%,99.76%,99.76%,99.63%,99.63%,0.08%,0.08%,0.08%,0.08%
2,1-<2 mo,"9,340",38,420,99.58%,98.97%,99.76%,99.52%,99.81%,99.44%,0.07%,0.11%,0.07%,0.11%
3,2-<3 mo,"8,882",28,428,99.67%,98.65%,99.76%,99.28%,99.91%,99.35%,0.06%,0.12%,0.06%,0.12%
4,3-<4 mo,"8,426",28,368,99.67%,98.32%,99.76%,99.05%,99.90%,99.26%,0.06%,0.14%,0.06%,0.14%
5,4-<5 mo,"8,030",38,419,99.49%,97.82%,99.76%,98.81%,99.73%,98.99%,0.08%,0.16%,0.08%,0.16%
6,5-<6 mo,"7,573",25,453,99.68%,97.52%,99.76%,98.58%,99.90%,98.90%,0.06%,0.17%,0.07%,0.17%
7,6-<7 mo,"7,095",30,387,99.57%,97.10%,99.76%,98.35%,99.81%,98.71%,0.08%,0.19%,0.08%,0.19%
8,7-<8 mo,"6,678",23,413,99.61%,96.72%,99.76%,98.11%,99.84%,98.57%,0.08%,0.20%,0.08%,0.21%
9,8-<9 mo,"6,242",20,397,99.65%,96.39%,99.76%,97.88%,99.89%,98.46%,0.08%,0.21%,0.08%,0.22%
10,9-<10 mo,"5,825",22,402,99.61%,96.02%,99.76%,97.66%,99.83%,98.30%,0.08%,0.23%,0.08%,0.24%
11,10-<11 mo,"5,401",24,395,99.51%,95.56%,99.76%,97.43%,99.74%,98.06%,0.10%,0.25%,0.10%,0.25%
12,11-<12 mo,"4,982",31,383,99.30%,94.89%,99.77%,97.20%,99.53%,97.60%,0.13%,0.27%,0.13%,0.28%
13,12-<13 mo,"4,568",22,304,99.49%,94.42%,99.75%,96.96%,99.72%,97.33%,0.11%,0.29%,0.11%,0.30%
14,13-<14 mo,"4,242",25,371,99.33%,93.80%,99.75%,96.72%,99.59%,96.95%,0.14%,0.31%,0.14%,0.33%
15,14-<15 mo,"3,846",13,369,99.62%,93.45%,99.75%,96.47%,99.87%,96.83%,0.11%,0.33%,0.11%,0.34%
16,15-<16 mo,"3,464",14,325,99.55%,93.04%,99.75%,96.23%,99.80%,96.63%,0.12%,0.34%,0.12%,0.36%
17,16-<17 mo,"3,125",13,397,99.57%,92.64%,99.75%,96.00%,99.82%,96.46%,0.12%,0.36%,0.12%,0.38%
18,17-<18 mo,"2,715",17,432,99.30%,92.01%,99.75%,95.76%,99.55%,96.03%,0.17%,0.39%,0.17%,0.41%
19,18-<19 mo,"2,266",10,359,99.44%,91.52%,99.75%,95.53%,99.64%,95.70%,0.18%,0.41%,0.18%,0.44%
20,19-<20 mo,"1,897",6,353,99.62%,91.19%,99.76%,95.30%,99.84%,95.55%,0.16%,0.43%,0.16%,0.46%
21,20-<21 mo,"1,538",12,383,99.13%,90.42%,99.76%,95.07%,99.35%,94.98%,0.26%,0.48%,0.26%,0.52%
22,21-<22 mo,"1,143",3,380,99.63%,90.10%,99.75%,94.84%,99.81%,94.80%,0.22%,0.51%,0.22%,0.56%
23,22-<23 mo,760,3,398,99.45%,89.60%,99.75%,94.62%,99.69%,94.60%,0.33%,0.59%,0.33%,0.64%
24,23-<24 mo,359,0,359,+,+,99.74%,94.38%,+,+,+,+,+,+
