Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"9,838",57,441,99.41%,99.41%,99.77%,99.77%,99.64%,99.64%,0.08%,0.08%,0.08%,0.08%
2,1-<2 mo,"9,340",38,420,99.58%,98.99%,99.77%,99.53%,99.82%,99.46%,0.07%,0.10%,0.07%,0.10%
3,2-<3 mo,"8,882",28,428,99.68%,98.67%,99.77%,99.30%,99.91%,99.37%,0.06%,0.12%,0.06%,0.12%
4,3-<4 mo,"8,426",28,368,99.66%,98.34%,99.77%,99.07%,99.89%,99.26%,0.06%,0.13%,0.06%,0.14%
5,4-<5 mo,"8,030",38,419,99.51%,97.86%,99.77%,98.84%,99.75%,99.01%,0.08%,0.15%,0.08%,0.16%
6,5-<6 mo,"7,573",25,453,99.66%,97.53%,99.77%,98.61%,99.89%,98.90%,0.07%,0.17%,0.07%,0.17%
7,6-<7 mo,"7,095",30,387,99.57%,97.10%,99.77%,98.38%,99.80%,98.70%,0.08%,0.18%,0.08%,0.19%
8,7-<8 mo,"6,678",23,413,99.64%,96.76%,99.77%,98.16%,99.87%,98.57%,0.07%,0.20%,0.07%,0.20%
9,8-<9 mo,"6,242",20,397,99.67%,96.44%,99.77%,97.93%,99.90%,98.47%,0.07%,0.21%,0.07%,0.21%
10,9-<10 mo,"5,825",22,402,99.61%,96.06%,99.77%,97.71%,99.84%,98.31%,0.08%,0.22%,0.08%,0.23%
11,10-<11 mo,"5,401",24,395,99.54%,95.62%,99.77%,97.49%,99.77%,98.08%,0.09%,0.24%,0.09%,0.25%
12,11-<12 mo,"4,982",31,383,99.35%,95.00%,99.77%,97.27%,99.58%,97.67%,0.12%,0.26%,0.12%,0.27%
13,12-<13 mo,"4,568",22,304,99.50%,94.53%,99.76%,97.03%,99.75%,97.42%,0.11%,0.28%,0.11%,0.29%
14,13-<14 mo,"4,242",25,371,99.38%,93.94%,99.76%,96.79%,99.63%,97.06%,0.12%,0.30%,0.12%,0.31%
15,14-<15 mo,"3,846",13,369,99.65%,93.61%,99.76%,96.56%,99.89%,96.95%,0.10%,0.31%,0.10%,0.33%
16,15-<16 mo,"3,464",14,325,99.58%,93.21%,99.76%,96.32%,99.82%,96.77%,0.11%,0.33%,0.11%,0.34%
17,16-<17 mo,"3,125",13,397,99.56%,92.80%,99.76%,96.09%,99.79%,96.57%,0.12%,0.35%,0.12%,0.36%
18,17-<18 mo,"2,715",17,432,99.32%,92.17%,99.76%,95.86%,99.56%,96.14%,0.16%,0.38%,0.16%,0.39%
19,18-<19 mo,"2,266",10,359,99.52%,91.73%,99.77%,95.64%,99.75%,95.91%,0.15%,0.40%,0.15%,0.42%
20,19-<20 mo,"1,897",6,353,99.65%,91.41%,99.77%,95.42%,99.88%,95.79%,0.14%,0.42%,0.14%,0.44%
21,20-<21 mo,"1,538",12,383,99.11%,90.59%,99.77%,95.20%,99.34%,95.16%,0.26%,0.48%,0.26%,0.50%
22,21-<22 mo,"1,143",3,380,99.69%,90.31%,99.77%,94.98%,99.92%,95.08%,0.18%,0.50%,0.18%,0.53%
23,22-<23 mo,760,3,398,99.47%,89.82%,99.77%,94.76%,99.69%,94.79%,0.31%,0.57%,0.31%,0.61%
24,23-<24 mo,359,0,359,+,+,99.75%,94.53%,+,+,+,+,+,+
