Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,171",10,77,99.02%,99.02%,99.72%,99.72%,99.30%,99.30%,0.31%,0.31%,0.31%,0.31%
2,1-<2 mo,"1,084",15,65,98.43%,97.47%,99.71%,99.43%,98.71%,98.02%,0.40%,0.50%,0.41%,0.51%
3,2-<3 mo,"1,004",16,53,98.13%,95.66%,99.71%,99.15%,98.41%,96.47%,0.46%,0.66%,0.47%,0.67%
4,3-<4 mo,935,11,40,98.60%,94.35%,99.71%,98.87%,98.87%,95.40%,0.42%,0.76%,0.42%,0.77%
5,4-<5 mo,884,9,49,99.03%,93.42%,99.71%,98.59%,99.31%,94.74%,0.33%,0.82%,0.33%,0.83%
6,5-<6 mo,826,7,51,99.07%,92.56%,99.71%,98.31%,99.35%,94.12%,0.36%,0.87%,0.36%,0.89%
7,6-<7 mo,768,5,49,99.35%,91.96%,99.72%,98.03%,99.60%,93.74%,0.30%,0.91%,0.30%,0.93%
8,7-<8 mo,714,7,39,98.90%,90.96%,99.73%,97.77%,99.17%,93.00%,0.42%,0.97%,0.42%,1.00%
9,8-<9 mo,668,3,45,99.47%,90.49%,99.73%,97.51%,99.73%,92.75%,0.31%,1.00%,0.31%,1.04%
10,9-<10 mo,620,2,33,99.60%,90.15%,99.73%,97.25%,99.83%,92.60%,0.28%,1.02%,0.28%,1.07%
11,10-<11 mo,585,3,38,99.39%,89.61%,99.73%,96.99%,99.64%,92.30%,0.35%,1.06%,0.36%,1.11%
12,11-<12 mo,544,5,36,98.99%,88.72%,99.74%,96.75%,99.25%,91.64%,0.45%,1.12%,0.45%,1.18%
13,12-<13 mo,503,4,28,99.22%,88.02%,99.72%,96.48%,99.51%,91.18%,0.39%,1.17%,0.39%,1.23%
14,13-<14 mo,471,4,32,99.05%,87.21%,99.72%,96.21%,99.30%,90.55%,0.48%,1.22%,0.48%,1.29%
15,14-<15 mo,435,2,33,99.57%,86.82%,99.71%,95.94%,99.61%,90.22%,0.31%,1.25%,0.31%,1.32%
16,15-<16 mo,400,3,43,99.07%,86.04%,99.71%,95.67%,99.35%,89.85%,0.53%,1.32%,0.54%,1.40%
17,16-<17 mo,354,0,43,100.00%,86.04%,99.71%,95.40%,100.00%,89.85%,0.00%,1.32%,0.00%,1.40%
18,17-<18 mo,311,1,54,99.54%,85.67%,99.73%,95.16%,99.76%,89.85%,0.46%,1.36%,0.46%,1.40%
19,18-<19 mo,256,3,37,98.63%,84.51%,99.73%,94.91%,98.88%,88.92%,0.79%,1.49%,0.79%,1.60%
20,19-<20 mo,216,2,46,99.10%,83.72%,99.74%,94.67%,99.15%,88.20%,0.63%,1.59%,0.63%,1.69%
21,20-<21 mo,168,2,44,98.28%,82.37%,99.73%,94.43%,98.50%,87.07%,1.19%,1.81%,1.20%,1.97%
22,21-<22 mo,122,1,37,99.08%,81.60%,99.75%,94.20%,99.11%,86.34%,0.90%,1.95%,0.91%,2.10%
23,22-<23 mo,84,2,43,96.21%,78.57%,99.72%,93.94%,96.44%,83.44%,2.89%,2.92%,2.91%,3.22%
24,23-<24 mo,39,0,39,+,+,99.76%,93.73%,+,+,+,+,+,+
