Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,95,3,7,92.71%,92.71%,99.79%,99.79%,92.85%,92.85%,3.84%,3.84%,3.86%,3.86%
2,1-<2 mo,85,2,2,98.11%,90.81%,99.84%,99.63%,98.14%,91.02%,1.40%,4.09%,1.41%,4.11%
3,2-<3 mo,81,1,5,99.38%,90.21%,99.84%,99.47%,99.39%,90.42%,0.61%,4.13%,0.61%,4.15%
4,3-<4 mo,75,0,3,100.00%,90.21%,99.83%,99.30%,100.00%,90.42%,0.00%,4.13%,0.00%,4.15%
5,4-<5 mo,72,0,0,100.00%,90.21%,99.83%,99.14%,100.00%,90.42%,0.00%,4.13%,0.00%,4.15%
6,5-<6 mo,72,1,4,98.42%,88.71%,99.83%,98.97%,98.44%,89.00%,1.53%,4.36%,1.53%,4.38%
7,6-<7 mo,67,0,1,100.00%,88.71%,99.83%,98.80%,100.00%,89.00%,0.00%,4.36%,0.00%,4.38%
8,7-<8 mo,66,0,2,100.00%,88.71%,99.83%,98.64%,100.00%,89.00%,0.00%,4.36%,0.00%,4.38%
9,8-<9 mo,64,0,5,100.00%,88.71%,99.83%,98.47%,100.00%,89.00%,0.00%,4.36%,0.00%,4.38%
10,9-<10 mo,59,0,4,100.00%,88.71%,99.84%,98.32%,100.00%,89.00%,0.00%,4.36%,0.00%,4.38%
11,10-<11 mo,55,1,4,98.03%,86.94%,99.85%,98.17%,98.05%,87.31%,1.90%,4.63%,1.90%,4.66%
12,11-<12 mo,50,1,4,97.88%,85.17%,99.85%,98.02%,97.90%,85.54%,2.04%,4.84%,2.04%,4.87%
13,12-<13 mo,45,1,5,98.81%,84.02%,99.83%,97.86%,98.82%,84.48%,1.17%,4.97%,1.17%,4.99%
14,13-<14 mo,39,1,2,93.27%,78.41%,99.84%,97.70%,93.38%,80.10%,6.19%,6.86%,6.21%,7.12%
15,14-<15 mo,36,0,3,100.00%,78.41%,99.86%,97.56%,100.00%,80.10%,0.00%,6.86%,0.00%,7.12%
16,15-<16 mo,33,0,3,100.00%,78.41%,99.86%,97.43%,100.00%,80.10%,0.00%,6.86%,0.00%,7.12%
17,16-<17 mo,30,0,10,100.00%,78.41%,99.87%,97.30%,100.00%,80.10%,0.00%,6.86%,0.00%,7.12%
18,17-<18 mo,20,1,4,+,+,99.91%,97.22%,+,+,+,+,+,+
