Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,325",21,59,98.02%,98.02%,99.73%,99.73%,98.27%,98.27%,0.43%,0.43%,0.44%,0.44%
2,1-<2 mo,"1,245",27,54,97.54%,95.62%,99.74%,99.47%,97.80%,96.12%,0.48%,0.63%,0.48%,0.63%
3,2-<3 mo,"1,164",32,61,96.88%,92.67%,99.74%,99.22%,97.13%,93.38%,0.56%,0.80%,0.56%,0.81%
4,3-<4 mo,"1,071",23,45,97.39%,90.30%,99.75%,98.97%,97.63%,91.21%,0.55%,0.92%,0.55%,0.93%
5,4-<5 mo,"1,003",27,40,97.01%,87.65%,99.76%,98.73%,97.25%,88.73%,0.59%,1.03%,0.59%,1.05%
6,5-<6 mo,936,18,52,97.66%,85.66%,99.76%,98.49%,97.90%,86.91%,0.56%,1.10%,0.57%,1.13%
7,6-<7 mo,866,12,49,98.52%,84.41%,99.76%,98.25%,98.76%,85.84%,0.44%,1.15%,0.45%,1.17%
8,7-<8 mo,805,22,47,96.95%,81.89%,99.76%,98.02%,97.18%,83.45%,0.67%,1.23%,0.67%,1.27%
9,8-<9 mo,736,21,43,96.81%,79.35%,99.76%,97.79%,97.04%,81.04%,0.71%,1.31%,0.71%,1.35%
10,9-<10 mo,672,16,33,97.52%,77.39%,99.76%,97.56%,97.75%,79.22%,0.64%,1.37%,0.65%,1.42%
11,10-<11 mo,623,6,38,98.85%,76.54%,99.77%,97.34%,99.08%,78.51%,0.49%,1.40%,0.49%,1.45%
12,11-<12 mo,579,11,41,97.80%,74.92%,99.76%,97.11%,98.03%,77.00%,0.68%,1.45%,0.69%,1.51%
13,12-<13 mo,527,9,50,97.76%,73.33%,99.75%,96.87%,97.96%,75.50%,0.77%,1.50%,0.77%,1.57%
14,13-<14 mo,468,5,38,98.22%,72.20%,99.76%,96.64%,98.41%,74.42%,0.78%,1.55%,0.78%,1.62%
15,14-<15 mo,425,9,43,98.04%,70.73%,99.77%,96.42%,98.28%,73.14%,0.68%,1.60%,0.68%,1.68%
16,15-<16 mo,373,6,35,98.22%,69.48%,99.76%,96.19%,98.46%,72.00%,0.78%,1.65%,0.78%,1.74%
17,16-<17 mo,332,6,57,97.53%,67.86%,99.77%,95.98%,97.72%,70.42%,1.08%,1.74%,1.09%,1.84%
18,17-<18 mo,269,8,36,96.21%,65.42%,99.76%,95.75%,96.44%,68.04%,1.47%,1.89%,1.48%,2.01%
19,18-<19 mo,225,6,40,97.28%,63.59%,99.77%,95.53%,97.51%,66.29%,1.24%,2.00%,1.24%,2.13%
20,19-<20 mo,179,4,32,95.85%,61.32%,99.78%,95.32%,96.03%,63.94%,2.11%,2.20%,2.12%,2.35%
21,20-<21 mo,143,1,33,99.47%,60.93%,99.80%,95.14%,99.49%,63.55%,0.52%,2.23%,0.52%,2.38%
22,21-<22 mo,109,4,29,95.49%,58.23%,99.80%,94.95%,95.68%,60.96%,2.53%,2.54%,2.54%,2.72%
23,22-<23 mo,76,2,48,94.69%,55.45%,99.81%,94.78%,94.83%,58.07%,3.92%,3.07%,3.93%,3.29%
24,23-<24 mo,26,0,26,+,+,99.79%,94.58%,+,+,+,+,+,+
