Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,19,3,1,83.82%,83.82%,99.79%,99.79%,84.00%,84.00%,8.62%,8.62%,8.64%,8.64%
2,1-<2 mo,15,1,0,92.71%,77.57%,99.80%,99.59%,92.84%,77.85%,6.66%,9.83%,6.68%,9.88%
3,2-<3 mo,14,0,2,100.00%,77.57%,99.84%,99.43%,100.00%,77.85%,0.00%,9.83%,0.00%,9.88%
4,3-<4 mo,12,0,1,100.00%,77.57%,99.84%,99.26%,100.00%,77.85%,0.00%,9.83%,0.00%,9.88%
5,4-<5 mo,11,0,0,100.00%,77.57%,99.84%,99.10%,100.00%,77.85%,0.00%,9.83%,0.00%,9.88%
6,5-<6 mo,11,1,1,90.80%,70.21%,99.84%,98.94%,90.82%,70.56%,7.51%,10.92%,7.52%,10.99%
7,6-<7 mo,9,0,0,100.00%,70.21%,99.84%,98.78%,100.00%,70.56%,0.00%,10.92%,0.00%,10.99%
8,7-<8 mo,9,0,0,100.00%,70.21%,99.84%,98.63%,100.00%,70.56%,0.00%,10.92%,0.00%,10.99%
9,8-<9 mo,9,0,1,100.00%,70.21%,99.84%,98.47%,100.00%,70.56%,0.00%,10.92%,0.00%,10.99%
10,9-<10 mo,8,0,0,100.00%,70.21%,99.84%,98.31%,100.00%,70.56%,0.00%,10.92%,0.00%,10.99%
11,10-<11 mo,8,0,0,100.00%,70.21%,99.84%,98.16%,100.00%,70.56%,0.00%,10.92%,0.00%,10.99%
12,11-<12 mo,8,3,1,60.67%,40.23%,99.84%,98.00%,60.73%,40.86%,15.38%,14.25%,15.41%,14.50%
13,12-<13 mo,4,0,0,100.00%,40.23%,99.88%,97.89%,100.00%,40.86%,0.00%,14.25%,0.00%,14.50%
14,13-<14 mo,4,0,0,100.00%,40.23%,99.88%,97.77%,100.00%,40.86%,0.00%,14.25%,0.00%,14.50%
15,14-<15 mo,4,0,0,100.00%,40.23%,99.88%,97.65%,100.00%,40.86%,0.00%,14.25%,0.00%,14.50%
16,15-<16 mo,4,0,0,100.00%,40.23%,99.88%,97.54%,100.00%,40.86%,0.00%,14.25%,0.00%,14.50%
17,16-<17 mo,4,0,0,100.00%,40.23%,99.88%,97.42%,100.00%,40.86%,0.00%,14.25%,0.00%,14.50%
18,17-<18 mo,4,0,0,100.00%,40.23%,99.88%,97.31%,100.00%,40.86%,0.00%,14.25%,0.00%,14.50%
19,18-<19 mo,4,0,0,100.00%,40.23%,99.88%,97.19%,100.00%,40.86%,0.00%,14.25%,0.00%,14.50%
20,19-<20 mo,4,1,0,71.36%,28.11%,99.88%,97.07%,71.36%,28.73%,0.00%,11.21%,0.00%,11.51%
21,20-<21 mo,3,0,0,+,28.11%,+,+,+,28.73%,+,11.21%,+,11.51%
22,21-<22 mo,3,0,0,+,28.11%,+,+,+,28.73%,+,11.21%,+,11.51%
23,22-<23 mo,3,0,1,+,28.11%,+,+,+,28.73%,+,11.21%,+,11.51%
24,23-<24 mo,2,0,2,+,+,+,+,+,+,+,+,+,+
