Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,65,3,1,95.35%,95.35%,99.84%,99.84%,95.50%,95.50%,2.62%,2.62%,2.63%,2.63%
2,1-<2 mo,61,3,2,95.00%,90.58%,99.84%,99.68%,95.15%,90.87%,2.81%,3.66%,2.82%,3.67%
3,2-<3 mo,56,4,2,92.73%,83.99%,99.83%,99.52%,92.88%,84.40%,3.50%,4.65%,3.51%,4.67%
4,3-<4 mo,50,0,3,100.00%,83.99%,99.86%,99.38%,100.0000%*,84.4017%#,0.00%,4.65%,0.00%,4.6685%#
5,4-<5 mo,47,1,1,97.85%,82.19%,99.86%,99.23%,97.99%,82.82%,2.13%,4.88%,2.13%,4.92%
6,5-<6 mo,45,1,2,97.73%,80.32%,99.85%,99.09%,97.87%,81.06%,2.25%,5.12%,2.25%,5.17%
7,6-<7 mo,42,0,4,100.00%,80.32%,99.86%,98.95%,100.0000%*,81.0599%#,0.00%,5.12%,0.00%,5.1654%#
8,7-<8 mo,38,1,4,97.22%,78.09%,99.88%,98.83%,97.34%,79.01%,2.74%,5.44%,2.74%,5.51%
9,8-<9 mo,33,0,2,100.00%,78.09%,99.87%,98.70%,100.0000%*,79.0113%#,0.00%,5.44%,0.00%,5.5050%#
10,9-<10 mo,31,1,3,96.61%,75.44%,99.87%,98.58%,96.73%,76.53%,3.33%,5.86%,3.34%,5.95%
11,10-<11 mo,27,1,1,96.23%,72.59%,99.86%,98.44%,96.36%,73.74%,3.70%,6.30%,3.71%,6.40%
12,11-<12 mo,25,0,1,100.00%,72.59%,99.87%,98.31%,100.0000%*,73.7447%#,0.00%,6.30%,0.00%,6.3965%#
13,12-<13 mo,24,0,2,100.00%,72.59%,99.85%,98.17%,100.0000%*,73.7447%#,0.00%,6.30%,0.00%,6.3965%#
14,13-<14 mo,22,0,2,100.00%,72.59%,99.85%,98.02%,100.0000%*,73.7447%#,0.00%,6.30%,0.00%,6.3965%#
15,14-<15 mo,20,0,1,100.00%,72.59%,99.85%,97.88%,100.0000%*,73.7447%#,0.00%,6.30%,0.00%,6.3965%#
16,15-<16 mo,19,1,1,94.59%,68.67%,99.85%,97.73%,94.74%,70.27%,5.26%,7.07%,5.27%,7.24%
17,16-<17 mo,17,0,2,100.00%,68.67%,99.84%,97.57%,100.0000%*,70.2675%#,0.00%,7.07%,0.00%,7.2387%#
18,17-<18 mo,15,2,2,85.71%,58.86%,99.88%,97.45%,85.82%,60.40%,9.35%,8.83%,9.36%,9.06%
19,18-<19 mo,11,0,2,100.00%,58.86%,99.87%,97.33%,100.0000%*,60.3998%#,0.00%,8.83%,0.00%,9.0634%#
20,19-<20 mo,9,1,2,87.50%,51.50%,99.86%,97.19%,87.62%,52.99%,11.69%,10.35%,11.71%,10.65%
21,20-<21 mo,6,0,1,100.00%,51.50%,99.85%,97.05%,100.0000%*,52.9899%#,0.00%,10.35%,0.00%,10.6474%#
22,21-<22 mo,5,0,3,100.00%,51.50%,99.88%,96.93%,100.0000%*,52.9899%#,0.00%,10.35%,0.00%,10.6474%#
23,22-<23 mo,2,0,1,100.00%,51.50%,99.92%,96.86%,100.0000%*,52.9899%#,0.00%,10.35%,0.00%,10.6474%#
24,23-<24 mo,1,0,1,+,+,99.89%,96.75%,+,+,+,+,+,+
