Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,154,9,5,94.06%,94.06%,99.73%,99.73%,94.31%,94.31%,1.92%,1.92%,1.93%,1.93%
2,1-<2 mo,140,4,5,97.09%,91.32%,99.75%,99.49%,97.33%,91.79%,1.43%,2.30%,1.44%,2.31%
3,2-<3 mo,131,1,3,99.23%,90.62%,99.77%,99.25%,99.46%,91.30%,0.77%,2.39%,0.77%,2.41%
4,3-<4 mo,127,0,8,100.00%,90.62%,99.76%,99.02%,100.0000%*,91.2989%#,0.00%,2.39%,0.00%,2.4067%#
5,4-<5 mo,119,3,4,97.44%,88.29%,99.77%,98.79%,97.66%,89.38%,1.46%,2.68%,1.46%,2.71%
6,5-<6 mo,112,3,7,97.24%,85.85%,99.79%,98.58%,97.44%,87.09%,1.57%,2.95%,1.58%,2.99%
7,6-<7 mo,102,2,7,97.97%,84.11%,99.78%,98.37%,98.18%,85.50%,1.42%,3.14%,1.42%,3.19%
8,7-<8 mo,93,1,4,98.90%,83.19%,99.80%,98.17%,99.10%,84.73%,1.09%,3.24%,1.10%,3.30%
9,8-<9 mo,88,2,4,97.67%,81.25%,99.80%,97.98%,97.87%,82.93%,1.63%,3.44%,1.63%,3.51%
10,9-<10 mo,82,0,4,100.00%,81.25%,99.79%,97.77%,100.0000%*,82.9291%#,0.00%,3.44%,0.00%,3.5098%#
11,10-<11 mo,78,2,4,97.37%,79.11%,99.78%,97.56%,97.58%,81.09%,1.84%,3.67%,1.84%,3.76%
12,11-<12 mo,72,3,14,95.38%,75.46%,99.81%,97.38%,95.56%,77.49%,2.60%,4.06%,2.61%,4.17%
13,12-<13 mo,55,0,2,100.00%,75.46%,99.81%,97.19%,100.0000%*,77.4938%#,0.00%,4.06%,0.00%,4.1669%#
14,13-<14 mo,53,0,5,100.00%,75.46%,99.81%,97.00%,100.0000%*,77.4938%#,0.00%,4.06%,0.00%,4.1669%#
15,14-<15 mo,48,0,2,100.00%,75.46%,99.80%,96.81%,100.0000%*,77.4938%#,0.00%,4.06%,0.00%,4.1669%#
16,15-<16 mo,46,1,2,97.78%,73.78%,99.81%,96.62%,97.97%,76.36%,2.20%,4.30%,2.20%,4.45%
17,16-<17 mo,43,0,4,100.00%,73.78%,99.83%,96.45%,100.0000%*,76.3643%#,0.00%,4.30%,0.00%,4.4504%#
18,17-<18 mo,39,0,10,100.00%,73.78%,99.83%,96.29%,100.0000%*,76.3643%#,0.00%,4.30%,0.00%,4.4504%#
19,18-<19 mo,29,0,3,100.00%,73.78%,99.81%,96.11%,100.0000%*,76.3643%#,0.00%,4.30%,0.00%,4.4504%#
20,19-<20 mo,26,1,2,96.00%,70.83%,99.80%,95.92%,96.19%,73.85%,3.92%,5.04%,3.93%,5.25%
21,20-<21 mo,23,0,2,100.00%,70.83%,99.82%,95.75%,100.0000%*,73.8465%#,0.00%,5.04%,0.00%,5.2545%#
22,21-<22 mo,21,0,3,100.00%,70.83%,99.80%,95.56%,100.0000%*,73.8465%#,0.00%,5.04%,0.00%,5.2545%#
23,22-<23 mo,18,0,4,100.00%,70.83%,99.79%,95.36%,100.0000%*,73.8465%#,0.00%,5.04%,0.00%,5.2545%#
24,23-<24 mo,14,0,14,+,+,99.75%,95.12%,+,+,+,+,+,+
