Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,521,38,28,92.36%,92.36%,99.79%,99.79%,92.55%,92.55%,1.20%,1.20%,1.21%,1.21%
2,1-<2 mo,455,40,16,91.02%,84.21%,99.79%,99.58%,91.20%,84.54%,1.36%,1.64%,1.37%,1.65%
3,2-<3 mo,399,30,13,91.89%,77.57%,99.79%,99.36%,92.09%,78.02%,1.44%,1.90%,1.44%,1.91%
4,3-<4 mo,356,19,6,94.25%,73.25%,99.78%,99.15%,94.46%,73.83%,1.31%,2.03%,1.31%,2.05%
5,4-<5 mo,331,21,12,93.50%,68.62%,99.78%,98.94%,93.70%,69.29%,1.40%,2.14%,1.41%,2.16%
6,5-<6 mo,298,9,19,96.82%,66.56%,99.79%,98.74%,97.01%,67.32%,1.06%,2.18%,1.07%,2.21%
7,6-<7 mo,270,10,15,95.81%,63.83%,99.79%,98.53%,96.01%,64.68%,1.35%,2.26%,1.35%,2.29%
8,7-<8 mo,245,11,13,95.11%,60.54%,99.81%,98.35%,95.29%,61.48%,1.53%,2.35%,1.53%,2.39%
9,8-<9 mo,221,10,12,94.25%,57.41%,99.81%,98.17%,94.42%,58.37%,1.81%,2.41%,1.81%,2.45%
10,9-<10 mo,199,4,12,97.60%,56.12%,99.82%,97.99%,97.78%,57.16%,1.27%,2.44%,1.27%,2.49%
11,10-<11 mo,183,7,14,95.37%,53.87%,99.82%,97.82%,95.53%,54.91%,1.75%,2.47%,1.76%,2.53%
12,11-<12 mo,162,3,15,98.22%,52.95%,99.84%,97.67%,98.35%,54.03%,1.04%,2.49%,1.04%,2.55%
13,12-<13 mo,144,6,13,96.63%,50.93%,99.83%,97.51%,96.77%,52.04%,1.39%,2.56%,1.39%,2.62%
14,13-<14 mo,125,4,9,96.85%,49.46%,99.83%,97.35%,96.98%,50.58%,1.56%,2.59%,1.56%,2.65%
15,14-<15 mo,112,0,5,100.00%,49.46%,99.83%,97.19%,100.00%,50.58%,0.00%,2.59%,0.00%,2.65%
16,15-<16 mo,107,1,8,99.39%,49.05%,99.84%,97.04%,99.40%,50.17%,0.60%,2.61%,0.60%,2.67%
17,16-<17 mo,98,1,8,98.82%,48.58%,99.84%,96.88%,98.95%,49.85%,1.17%,2.62%,1.17%,2.70%
18,17-<18 mo,89,3,14,93.59%,45.73%,99.83%,96.72%,93.75%,47.05%,3.49%,2.89%,3.49%,2.97%
19,18-<19 mo,72,0,13,100.00%,45.73%,99.82%,96.55%,100.00%,47.05%,0.00%,2.89%,0.00%,2.97%
20,19-<20 mo,59,4,13,92.24%,42.55%,99.81%,96.37%,92.39%,43.82%,3.71%,3.11%,3.73%,3.22%
21,20-<21 mo,42,0,13,100.00%,42.55%,99.79%,96.17%,100.00%,43.82%,0.00%,3.11%,0.00%,3.22%
22,21-<22 mo,29,1,6,94.85%,40.93%,99.75%,95.94%,95.05%,42.20%,4.84%,3.34%,4.86%,3.49%
23,22-<23 mo,22,0,11,+,+,99.76%,95.71%,+,+,+,+,+,+
