Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,521,38,28,92.50%,92.50%,99.78%,99.78%,92.71%,92.71%,1.17%,1.17%,1.17%,1.17%
2,1-<2 mo,455,40,16,91.05%,84.23%,99.78%,99.56%,91.25%,84.60%,1.35%,1.64%,1.35%,1.65%
3,2-<3 mo,399,30,13,92.36%,77.79%,99.79%,99.34%,92.56%,78.30%,1.34%,1.89%,1.34%,1.90%
4,3-<4 mo,356,19,6,94.62%,73.60%,99.79%,99.13%,94.82%,74.25%,1.20%,2.02%,1.20%,2.04%
5,4-<5 mo,331,21,12,93.54%,68.85%,99.79%,98.93%,93.73%,69.59%,1.36%,2.14%,1.37%,2.16%
6,5-<6 mo,298,9,19,96.88%,66.70%,99.80%,98.73%,97.07%,67.56%,1.02%,2.19%,1.03%,2.22%
7,6-<7 mo,270,10,15,96.19%,64.16%,99.81%,98.54%,96.38%,65.11%,1.18%,2.25%,1.18%,2.28%
8,7-<8 mo,245,11,13,95.39%,61.20%,99.83%,98.37%,95.55%,62.21%,1.36%,2.31%,1.36%,2.35%
9,8-<9 mo,221,10,12,95.35%,58.35%,99.82%,98.20%,95.52%,59.42%,1.44%,2.37%,1.44%,2.42%
10,9-<10 mo,199,4,12,97.93%,57.14%,99.83%,98.03%,98.10%,58.29%,1.03%,2.40%,1.03%,2.45%
11,10-<11 mo,183,7,14,96.02%,54.87%,99.84%,97.87%,96.18%,56.07%,1.47%,2.45%,1.48%,2.51%
12,11-<12 mo,162,3,15,98.06%,53.80%,99.86%,97.73%,98.20%,55.06%,1.11%,2.48%,1.11%,2.54%
13,12-<13 mo,144,6,13,95.64%,51.46%,99.85%,97.58%,95.78%,52.73%,1.74%,2.55%,1.74%,2.62%
14,13-<14 mo,125,4,9,96.68%,49.75%,99.85%,97.43%,96.83%,51.06%,1.63%,2.61%,1.63%,2.68%
15,14-<15 mo,112,0,5,100.00%,49.75%,99.85%,97.29%,100.0000%*,51.0596%#,0.00%,2.61%,0.00%,2.6758%#
16,15-<16 mo,107,1,8,99.03%,49.27%,99.85%,97.14%,99.18%,50.72%,0.97%,2.63%,0.97%,2.70%
17,16-<17 mo,98,1,8,98.94%,48.74%,99.85%,96.99%,99.09%,50.25%,1.06%,2.65%,1.06%,2.73%
18,17-<18 mo,89,3,14,96.34%,46.96%,99.85%,96.85%,96.48%,48.48%,2.07%,2.75%,2.08%,2.84%
19,18-<19 mo,72,0,13,100.00%,46.96%,99.84%,96.70%,100.0000%*,48.4843%#,0.00%,2.75%,0.00%,2.8350%#
20,19-<20 mo,59,4,13,92.38%,43.38%,99.84%,96.54%,92.53%,44.93%,3.66%,3.06%,3.67%,3.17%
21,20-<21 mo,42,0,13,100.00%,43.38%,99.84%,96.39%,100.0000%*,44.9345%#,0.00%,3.06%,0.00%,3.1741%#
22,21-<22 mo,29,1,6,96.15%,41.71%,99.81%,96.20%,96.34%,43.36%,3.77%,3.37%,3.78%,3.50%
23,22-<23 mo,22,0,11,100.00%,41.71%,99.84%,96.05%,100.0000%*,43.3604%#,0.00%,3.37%,0.00%,3.5034%#
24,23-<24 mo,11,0,11,+,+,99.89%,95.95%,+,+,+,+,+,+
