Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,5,0,0,100.00%,100.00%,99.78%,99.78%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
2,1-<2 mo,5,0,0,100.00%,100.00%,99.78%,99.56%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
3,2-<3 mo,5,0,0,100.00%,100.00%,99.78%,99.33%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
4,3-<4 mo,5,0,0,100.00%,100.00%,99.78%,99.11%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
5,4-<5 mo,5,0,0,100.00%,100.00%,99.78%,98.89%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
6,5-<6 mo,5,0,0,100.00%,100.00%,99.78%,98.68%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
7,6-<7 mo,5,0,0,100.00%,100.00%,99.78%,98.46%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
8,7-<8 mo,5,0,0,100.00%,100.00%,99.78%,98.24%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
9,8-<9 mo,5,0,0,100.00%,100.00%,99.78%,98.02%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
10,9-<10 mo,5,0,0,100.00%,100.00%,99.78%,97.81%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
11,10-<11 mo,5,0,1,100.00%,100.00%,99.78%,97.59%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
12,11-<12 mo,4,0,0,100.00%,100.00%,99.81%,97.40%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
13,12-<13 mo,4,0,1,+,+,99.79%,97.20%,+,+,+,+,+,+
