Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,281,12,14,94.91%,94.91%,99.74%,99.74%,95.15%,95.15%,1.45%,1.45%,1.45%,1.45%
2,1-<2 mo,255,13,6,93.96%,89.23%,99.75%,99.49%,94.19%,89.67%,1.64%,2.04%,1.65%,2.06%
3,2-<3 mo,236,9,8,96.16%,85.80%,99.76%,99.25%,96.40%,86.43%,1.32%,2.29%,1.32%,2.31%
4,3-<4 mo,219,8,8,95.96%,82.35%,99.76%,99.02%,96.19%,83.14%,1.47%,2.51%,1.47%,2.55%
5,4-<5 mo,203,6,7,96.49%,79.52%,99.75%,98.77%,96.73%,80.48%,1.44%,2.67%,1.44%,2.72%
6,5-<6 mo,190,6,5,96.39%,76.71%,99.75%,98.53%,96.63%,77.80%,1.52%,2.82%,1.52%,2.87%
7,6-<7 mo,179,5,12,96.45%,74.08%,99.76%,98.30%,96.68%,75.29%,1.61%,2.95%,1.61%,3.02%
8,7-<8 mo,162,2,5,98.19%,72.82%,99.78%,98.08%,98.40%,74.16%,1.27%,3.02%,1.27%,3.09%
9,8-<9 mo,155,6,10,94.37%,69.01%,99.78%,97.87%,94.57%,70.42%,2.19%,3.18%,2.19%,3.26%
10,9-<10 mo,139,2,7,98.51%,67.96%,99.79%,97.67%,98.69%,69.47%,1.14%,3.22%,1.15%,3.32%
11,10-<11 mo,130,4,9,96.77%,65.79%,99.79%,97.47%,96.98%,67.40%,1.74%,3.31%,1.74%,3.42%
12,11-<12 mo,117,1,7,98.69%,64.99%,99.78%,97.27%,98.87%,66.68%,1.29%,3.35%,1.29%,3.47%
13,12-<13 mo,109,5,4,95.59%,62.04%,99.75%,97.03%,95.79%,63.76%,2.16%,3.49%,2.17%,3.62%
14,13-<14 mo,100,1,9,98.55%,61.22%,99.78%,96.82%,98.58%,62.98%,1.41%,3.52%,1.42%,3.66%
15,14-<15 mo,90,2,13,98.67%,60.18%,99.78%,96.62%,98.67%,61.95%,0.92%,3.58%,0.92%,3.71%
16,15-<16 mo,75,2,7,97.19%,58.48%,99.78%,96.41%,97.37%,60.49%,2.13%,3.69%,2.14%,3.86%
17,16-<17 mo,66,1,6,97.57%,57.20%,99.82%,96.25%,97.70%,59.19%,2.36%,3.78%,2.37%,3.97%
18,17-<18 mo,59,3,12,97.18%,55.16%,99.82%,96.08%,97.19%,57.15%,1.54%,3.89%,1.54%,4.08%
19,18-<19 mo,44,1,8,98.73%,54.33%,99.82%,95.91%,98.73%,56.32%,1.24%,3.94%,1.24%,4.13%
20,19-<20 mo,35,3,10,94.46%,50.88%,99.81%,95.73%,94.46%,52.86%,2.87%,4.19%,2.87%,4.37%
21,20-<21 mo,22,0,7,100.00%,50.88%,99.80%,95.54%,100.00%,52.86%,0.00%,4.19%,0.00%,4.37%
22,21-<22 mo,15,2,4,83.33%,42.56%,99.80%,95.36%,83.46%,44.44%,10.77%,6.39%,10.80%,6.83%
23,22-<23 mo,9,0,5,+,+,99.89%,95.25%,+,+,+,+,+,+
