Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,281,12,14,95.62%,95.62%,99.79%,99.79%,95.82%,95.82%,1.24%,1.24%,1.24%,1.24%
2,1-<2 mo,255,13,6,94.84%,90.69%,99.80%,99.60%,95.03%,91.05%,1.39%,1.77%,1.40%,1.78%
3,2-<3 mo,236,9,8,96.12%,87.17%,99.82%,99.42%,96.30%,87.68%,1.27%,2.06%,1.27%,2.07%
4,3-<4 mo,219,8,8,96.28%,83.93%,99.82%,99.24%,96.46%,84.57%,1.29%,2.28%,1.29%,2.30%
5,4-<5 mo,203,6,7,96.99%,81.40%,99.82%,99.06%,97.17%,82.18%,1.21%,2.43%,1.21%,2.45%
6,5-<6 mo,190,6,5,96.80%,78.80%,99.82%,98.88%,96.98%,79.69%,1.29%,2.58%,1.29%,2.60%
7,6-<7 mo,179,5,12,97.11%,76.52%,99.83%,98.71%,97.28%,77.52%,1.27%,2.70%,1.28%,2.73%
8,7-<8 mo,162,2,5,98.75%,75.56%,99.84%,98.55%,98.90%,76.67%,0.88%,2.75%,0.88%,2.79%
9,8-<9 mo,155,6,10,96.00%,72.54%,99.85%,98.40%,96.14%,73.72%,1.60%,2.90%,1.60%,2.95%
10,9-<10 mo,139,2,7,98.52%,71.47%,99.85%,98.26%,98.67%,72.74%,1.04%,2.95%,1.04%,3.01%
11,10-<11 mo,130,4,9,96.81%,69.19%,99.85%,98.11%,96.96%,70.52%,1.57%,3.07%,1.57%,3.13%
12,11-<12 mo,117,1,7,99.12%,68.58%,99.85%,97.96%,99.27%,70.01%,0.88%,3.10%,0.88%,3.17%
13,12-<13 mo,109,5,4,95.33%,65.38%,99.83%,97.79%,95.49%,66.85%,2.04%,3.27%,2.04%,3.35%
14,13-<14 mo,100,1,9,98.95%,64.69%,99.85%,97.65%,99.10%,66.25%,1.04%,3.31%,1.04%,3.39%
15,14-<15 mo,90,2,13,97.60%,63.14%,99.85%,97.50%,97.75%,64.76%,1.67%,3.41%,1.68%,3.49%
16,15-<16 mo,75,2,7,97.20%,61.37%,99.84%,97.34%,97.36%,63.05%,1.95%,3.53%,1.95%,3.63%
17,16-<17 mo,66,1,6,98.41%,60.40%,99.87%,97.22%,98.54%,62.13%,1.57%,3.61%,1.58%,3.71%
18,17-<18 mo,59,3,12,94.34%,56.98%,99.88%,97.10%,94.45%,58.68%,3.17%,3.91%,3.18%,4.02%
19,18-<19 mo,44,1,8,97.50%,55.56%,99.87%,96.97%,97.63%,57.29%,2.47%,4.06%,2.47%,4.19%
20,19-<20 mo,35,3,10,90.00%,50.00%,99.85%,96.83%,90.13%,51.64%,5.48%,4.76%,5.49%,4.91%
21,20-<21 mo,22,0,7,100.00%,50.00%,99.81%,96.65%,100.0000%*,51.6388%#,0.00%,4.76%,0.00%,4.9117%#
22,21-<22 mo,15,2,4,84.62%,42.31%,99.84%,96.50%,84.75%,43.85%,10.01%,6.42%,10.02%,6.65%
23,22-<23 mo,9,0,5,100.00%,42.31%,99.91%,96.41%,100.0000%*,43.8455%#,0.00%,6.42%,0.00%,6.6543%#
24,23-<24 mo,4,0,4,+,+,99.94%,96.36%,+,+,+,+,+,+
