Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,566,5,30,98.93%,98.93%,99.83%,99.83%,98.96%,98.96%,0.53%,0.53%,0.53%,0.53%
2,1-<2 mo,531,4,29,98.46%,97.40%,99.83%,99.67%,98.62%,97.72%,0.86%,1.00%,0.86%,1.01%
3,2-<3 mo,498,4,35,97.62%,95.08%,99.83%,99.50%,97.75%,95.51%,1.16%,1.49%,1.16%,1.50%
4,3-<4 mo,459,4,37,98.10%,93.31%,99.84%,99.34%,98.26%,93.91%,1.05%,1.74%,1.05%,1.76%
5,4-<5 mo,418,0,21,100.00%,93.31%,99.84%,99.18%,100.00%,93.91%,0.00%,1.74%,0.00%,1.76%
6,5-<6 mo,397,2,31,99.09%,92.48%,99.84%,99.01%,99.22%,93.33%,0.81%,1.86%,0.81%,1.89%
7,6-<7 mo,364,3,25,97.64%,90.38%,99.83%,98.85%,97.79%,91.37%,1.36%,2.16%,1.37%,2.20%
8,7-<8 mo,336,0,23,100.00%,90.38%,99.84%,98.69%,100.00%,91.37%,0.00%,2.16%,0.00%,2.20%
9,8-<9 mo,313,1,21,98.96%,89.50%,99.84%,98.54%,99.09%,90.70%,1.03%,2.29%,1.03%,2.35%
10,9-<10 mo,291,0,15,100.00%,89.50%,99.83%,98.38%,100.00%,90.70%,0.00%,2.29%,0.00%,2.35%
11,10-<11 mo,276,0,25,100.00%,89.50%,99.83%,98.21%,100.00%,90.70%,0.00%,2.29%,0.00%,2.35%
12,11-<12 mo,251,1,31,98.54%,88.30%,99.82%,98.03%,98.69%,89.82%,1.43%,2.52%,1.44%,2.60%
13,12-<13 mo,219,1,16,98.35%,86.99%,99.80%,97.84%,98.52%,88.60%,1.62%,2.75%,1.63%,2.86%
14,13-<14 mo,202,0,22,100.00%,86.99%,99.82%,97.66%,100.00%,88.60%,0.00%,2.75%,0.00%,2.86%
15,14-<15 mo,180,0,20,100.00%,86.99%,99.82%,97.49%,100.00%,88.60%,0.00%,2.75%,0.00%,2.86%
16,15-<16 mo,160,0,22,100.00%,86.99%,99.81%,97.31%,100.00%,88.60%,0.00%,2.75%,0.00%,2.86%
17,16-<17 mo,138,1,24,98.16%,85.30%,99.81%,97.12%,98.18%,87.11%,1.78%,3.19%,1.78%,3.29%
18,17-<18 mo,113,0,18,100.00%,85.30%,99.81%,96.94%,100.00%,87.11%,0.00%,3.19%,0.00%,3.29%
19,18-<19 mo,95,0,19,100.00%,85.30%,99.80%,96.75%,100.00%,87.11%,0.00%,3.19%,0.00%,3.29%
20,19-<20 mo,76,0,20,100.00%,85.30%,99.80%,96.56%,100.00%,87.11%,0.00%,3.19%,0.00%,3.29%
21,20-<21 mo,56,0,15,100.00%,85.30%,99.80%,96.37%,100.00%,87.11%,0.00%,3.19%,0.00%,3.29%
22,21-<22 mo,41,0,11,100.00%,85.30%,99.76%,96.15%,100.00%,87.11%,0.00%,3.19%,0.00%,3.29%
23,22-<23 mo,30,1,11,98.49%,83.82%,99.86%,96.02%,98.50%,85.70%,1.47%,3.50%,1.47%,3.60%
24,23-<24 mo,18,0,18,+,+,99.81%,95.83%,+,+,+,+,+,+
