Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,566,5,30,99.09%,99.09%,99.93%,99.93%,99.17%,99.17%,0.40%,0.40%,0.40%,0.40%
2,1-<2 mo,531,4,29,99.23%,98.33%,99.93%,99.85%,99.30%,98.47%,0.39%,0.55%,0.39%,0.55%
3,2-<3 mo,498,4,35,99.17%,97.51%,99.93%,99.78%,99.24%,97.72%,0.41%,0.68%,0.41%,0.69%
4,3-<4 mo,459,4,37,99.09%,96.62%,99.93%,99.71%,99.16%,96.90%,0.45%,0.81%,0.45%,0.81%
5,4-<5 mo,418,0,21,100.00%,96.62%,99.93%,99.64%,100.0000%*,96.9028%#,0.00%,0.81%,0.00%,0.8108%#
6,5-<6 mo,397,2,31,99.48%,96.11%,99.93%,99.57%,99.54%,96.53%,0.37%,0.88%,0.37%,0.88%
7,6-<7 mo,364,3,25,99.15%,95.29%,99.93%,99.51%,99.21%,95.77%,0.49%,0.99%,0.49%,1.00%
8,7-<8 mo,336,0,23,100.00%,95.29%,99.94%,99.44%,100.0000%*,95.7680%#,0.00%,0.99%,0.00%,0.9967%#
9,8-<9 mo,313,1,21,99.67%,94.98%,99.93%,99.38%,99.73%,95.58%,0.33%,1.04%,0.33%,1.04%
10,9-<10 mo,291,0,15,100.00%,94.98%,99.93%,99.31%,100.0000%*,95.5756%#,0.00%,1.04%,0.00%,1.0438%#
11,10-<11 mo,276,0,25,100.00%,94.98%,99.93%,99.24%,100.0000%*,95.5756%#,0.00%,1.04%,0.00%,1.0438%#
12,11-<12 mo,251,1,31,99.58%,94.58%,99.93%,99.18%,99.64%,95.36%,0.42%,1.11%,0.42%,1.12%
13,12-<13 mo,219,1,16,99.53%,94.13%,99.93%,99.10%,99.60%,94.98%,0.47%,1.19%,0.47%,1.20%
14,13-<14 mo,202,0,22,100.00%,94.13%,99.93%,99.04%,100.0000%*,94.9801%#,0.00%,1.19%,0.00%,1.2012%#
15,14-<15 mo,180,0,20,100.00%,94.13%,99.93%,98.97%,100.0000%*,94.9801%#,0.00%,1.19%,0.00%,1.2012%#
16,15-<16 mo,160,0,22,100.00%,94.13%,99.93%,98.90%,100.0000%*,94.9801%#,0.00%,1.19%,0.00%,1.2012%#
17,16-<17 mo,138,1,24,99.21%,93.38%,99.92%,98.83%,99.28%,94.49%,0.79%,1.40%,0.79%,1.41%
18,17-<18 mo,113,0,18,100.00%,93.38%,99.92%,98.75%,100.0000%*,94.4891%#,0.00%,1.40%,0.00%,1.4124%#
19,18-<19 mo,95,0,19,100.00%,93.38%,99.91%,98.67%,100.0000%*,94.4891%#,0.00%,1.40%,0.00%,1.4124%#
20,19-<20 mo,76,0,20,100.00%,93.38%,99.90%,98.57%,100.0000%*,94.4891%#,0.00%,1.40%,0.00%,1.4124%#
21,20-<21 mo,56,0,15,100.00%,93.38%,99.89%,98.46%,100.0000%*,94.4891%#,0.00%,1.40%,0.00%,1.4124%#
22,21-<22 mo,41,0,11,100.00%,93.38%,99.89%,98.35%,100.0000%*,94.4891%#,0.00%,1.40%,0.00%,1.4124%#
23,22-<23 mo,30,1,11,95.92%,89.57%,99.93%,98.28%,95.99%,91.13%,4.00%,3.97%,4.00%,4.04%
24,23-<24 mo,18,0,18,+,+,99.94%,98.22%,+,+,+,+,+,+
