Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,430,2,19,99.52%,99.52%,99.81%,99.81%,99.72%,99.72%,0.34%,0.34%,0.34%,0.34%
2,1-<2 mo,409,5,19,98.75%,98.28%,99.81%,99.61%,98.94%,98.66%,0.56%,0.65%,0.56%,0.65%
3,2-<3 mo,385,10,18,97.34%,95.67%,99.81%,99.42%,97.53%,96.22%,0.83%,1.03%,0.83%,1.04%
4,3-<4 mo,357,8,15,97.71%,93.48%,99.82%,99.24%,97.89%,94.19%,0.80%,1.26%,0.80%,1.27%
5,4-<5 mo,334,10,17,96.93%,90.60%,99.83%,99.07%,97.09%,91.45%,0.96%,1.52%,0.96%,1.53%
6,5-<6 mo,307,8,19,97.31%,88.17%,99.83%,98.90%,97.48%,89.15%,0.94%,1.70%,0.94%,1.72%
7,6-<7 mo,280,3,19,98.89%,87.19%,99.83%,98.73%,99.06%,88.31%,0.64%,1.78%,0.64%,1.80%
8,7-<8 mo,258,5,21,97.98%,85.43%,99.83%,98.57%,98.14%,86.67%,0.89%,1.91%,0.90%,1.93%
9,8-<9 mo,232,6,10,97.36%,83.17%,99.84%,98.41%,97.51%,84.52%,1.06%,2.07%,1.07%,2.10%
10,9-<10 mo,216,4,9,98.11%,81.60%,99.84%,98.25%,98.27%,83.05%,0.94%,2.17%,0.94%,2.21%
11,10-<11 mo,203,3,15,98.47%,80.34%,99.84%,98.09%,98.63%,81.91%,0.88%,2.26%,0.88%,2.30%
12,11-<12 mo,185,2,8,98.90%,79.46%,99.83%,97.92%,99.06%,81.14%,0.78%,2.32%,0.78%,2.37%
13,12-<13 mo,175,4,17,97.60%,77.55%,99.81%,97.74%,97.78%,79.34%,1.19%,2.45%,1.19%,2.51%
14,13-<14 mo,154,1,16,99.32%,77.02%,99.82%,97.57%,99.49%,78.94%,0.68%,2.49%,0.68%,2.55%
15,14-<15 mo,137,2,16,98.45%,75.82%,99.82%,97.40%,98.62%,77.85%,1.09%,2.59%,1.09%,2.66%
16,15-<16 mo,119,0,12,100.00%,75.82%,99.82%,97.22%,100.0000%*,77.8492%#,0.00%,2.59%,0.00%,2.6596%#
17,16-<17 mo,107,1,16,98.99%,75.06%,99.81%,97.04%,99.17%,77.35%,1.01%,2.68%,1.01%,2.76%
18,17-<18 mo,90,4,15,95.15%,71.42%,99.82%,96.86%,95.32%,73.73%,2.36%,3.10%,2.37%,3.20%
19,18-<19 mo,71,3,10,95.45%,68.17%,99.81%,96.68%,95.64%,70.52%,2.56%,3.48%,2.57%,3.60%
20,19-<20 mo,58,0,7,100.00%,68.17%,99.84%,96.52%,100.0000%*,70.5154%#,0.00%,3.48%,0.00%,3.6021%#
21,20-<21 mo,51,0,12,100.00%,68.17%,99.83%,96.35%,100.0000%*,70.5154%#,0.00%,3.48%,0.00%,3.6021%#
22,21-<22 mo,39,1,12,96.97%,66.11%,99.83%,96.19%,97.13%,68.72%,2.98%,3.94%,2.99%,4.10%
23,22-<23 mo,26,1,16,94.44%,62.43%,99.83%,96.03%,94.61%,65.02%,5.40%,5.16%,5.41%,5.37%
24,23-<24 mo,9,0,9,+,+,99.79%,95.82%,+,+,+,+,+,+
