Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,141,6,6,95.90%,95.90%,99.74%,99.74%,96.09%,96.09%,1.59%,1.59%,1.60%,1.60%
2,1-<2 mo,129,6,4,95.17%,91.22%,99.75%,99.48%,95.42%,91.68%,1.91%,2.41%,1.91%,2.42%
3,2-<3 mo,119,3,4,97.53%,88.98%,99.75%,99.23%,97.73%,89.60%,1.40%,2.67%,1.41%,2.70%
4,3-<4 mo,112,6,6,94.47%,84.33%,99.76%,99.00%,94.63%,85.03%,2.11%,3.05%,2.12%,3.09%
5,4-<5 mo,100,4,4,96.04%,80.86%,99.77%,98.77%,96.27%,81.80%,1.94%,3.40%,1.94%,3.45%
6,5-<6 mo,92,2,6,97.60%,79.14%,99.76%,98.54%,97.78%,80.17%,1.65%,3.50%,1.66%,3.57%
7,6-<7 mo,84,4,4,94.85%,75.66%,99.76%,98.31%,95.02%,76.71%,2.42%,3.65%,2.43%,3.73%
8,7-<8 mo,76,1,9,98.46%,74.74%,99.77%,98.08%,98.64%,75.87%,1.51%,3.68%,1.51%,3.77%
9,8-<9 mo,66,1,8,98.21%,73.72%,99.77%,97.86%,98.39%,74.91%,1.75%,3.73%,1.76%,3.83%
10,9-<10 mo,57,2,4,96.33%,71.19%,99.78%,97.65%,96.53%,72.58%,2.56%,3.97%,2.57%,4.09%
11,10-<11 mo,51,2,1,96.75%,68.51%,99.79%,97.45%,96.78%,69.88%,2.16%,4.25%,2.16%,4.38%
12,11-<12 mo,48,2,8,95.23%,65.23%,99.79%,97.24%,95.39%,66.78%,3.28%,4.66%,3.29%,4.80%
13,12-<13 mo,38,1,3,97.70%,63.55%,99.74%,96.99%,97.74%,65.13%,2.20%,4.83%,2.20%,4.97%
14,13-<14 mo,34,2,2,93.75%,60.47%,99.74%,96.75%,93.93%,62.07%,4.09%,4.97%,4.11%,5.15%
15,14-<15 mo,30,1,3,96.82%,57.86%,99.74%,96.50%,96.83%,59.47%,3.00%,5.44%,3.00%,5.62%
16,15-<16 mo,26,0,2,100.00%,57.86%,99.74%,96.25%,100.00%,59.47%,0.00%,5.44%,0.00%,5.62%
17,16-<17 mo,24,0,4,100.00%,57.86%,99.73%,96.00%,100.00%,59.47%,0.00%,5.44%,0.00%,5.62%
18,17-<18 mo,20,1,4,94.53%,55.55%,99.72%,95.74%,94.74%,57.37%,5.12%,5.62%,5.15%,5.87%
19,18-<19 mo,15,1,2,94.79%,51.75%,99.73%,95.49%,94.80%,53.58%,4.71%,6.33%,4.71%,6.55%
20,19-<20 mo,12,1,2,86.20%,42.51%,99.73%,95.24%,86.22%,44.25%,9.76%,8.76%,9.77%,9.05%
21,20-<21 mo,9,0,4,100.00%,42.51%,99.72%,94.98%,100.00%,44.25%,0.00%,8.76%,0.00%,9.05%
22,21-<22 mo,5,0,0,100.00%,42.51%,99.64%,94.66%,100.00%,44.25%,0.00%,8.76%,0.00%,9.05%
23,22-<23 mo,5,0,4,+,+,99.64%,94.33%,+,+,+,+,+,+
