Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,277",68,97,97.02%,97.02%,99.74%,99.74%,97.27%,97.27%,0.36%,0.36%,0.36%,0.36%
2,1-<2 mo,"2,112",63,95,97.01%,94.13%,99.75%,99.49%,97.26%,94.61%,0.37%,0.50%,0.37%,0.50%
3,2-<3 mo,"1,954",66,87,96.59%,90.94%,99.75%,99.23%,96.83%,91.63%,0.41%,0.62%,0.42%,0.62%
4,3-<4 mo,"1,801",57,82,96.91%,88.17%,99.75%,98.98%,97.15%,89.04%,0.40%,0.70%,0.40%,0.71%
5,4-<5 mo,"1,662",40,120,97.50%,85.99%,99.75%,98.74%,97.75%,87.06%,0.39%,0.76%,0.39%,0.77%
6,5-<6 mo,"1,502",29,82,98.00%,84.29%,99.75%,98.49%,98.24%,85.53%,0.37%,0.81%,0.37%,0.82%
7,6-<7 mo,"1,391",25,81,98.17%,82.75%,99.75%,98.25%,98.42%,84.17%,0.36%,0.85%,0.36%,0.87%
8,7-<8 mo,"1,285",22,87,98.22%,81.30%,99.76%,98.01%,98.46%,82.89%,0.38%,0.89%,0.38%,0.91%
9,8-<9 mo,"1,176",24,77,97.93%,79.66%,99.76%,97.78%,98.17%,81.40%,0.42%,0.93%,0.42%,0.96%
10,9-<10 mo,"1,075",16,66,98.47%,78.44%,99.76%,97.55%,98.71%,80.34%,0.38%,0.97%,0.38%,0.99%
11,10-<11 mo,993,19,68,98.02%,76.94%,99.76%,97.31%,98.26%,78.96%,0.45%,1.01%,0.45%,1.04%
12,11-<12 mo,906,14,82,98.42%,75.73%,99.76%,97.08%,98.66%,77.90%,0.42%,1.04%,0.42%,1.08%
13,12-<13 mo,810,19,53,97.58%,73.99%,99.74%,96.83%,97.84%,76.27%,0.55%,1.09%,0.55%,1.13%
14,13-<14 mo,738,7,63,98.99%,73.25%,99.74%,96.58%,99.25%,75.70%,0.38%,1.11%,0.38%,1.16%
15,14-<15 mo,668,11,60,98.29%,71.99%,99.74%,96.33%,98.55%,74.58%,0.51%,1.16%,0.51%,1.21%
16,15-<16 mo,597,6,38,98.99%,71.25%,99.74%,96.09%,99.25%,74.01%,0.41%,1.19%,0.41%,1.24%
17,16-<17 mo,553,10,63,98.03%,69.96%,99.74%,95.84%,98.25%,72.78%,0.61%,1.23%,0.61%,1.29%
18,17-<18 mo,480,4,72,99.09%,69.34%,99.73%,95.58%,99.36%,72.34%,0.45%,1.26%,0.46%,1.32%
19,18-<19 mo,404,6,68,98.34%,68.25%,99.73%,95.33%,98.60%,71.36%,0.67%,1.31%,0.68%,1.38%
20,19-<20 mo,330,3,62,99.00%,67.55%,99.73%,95.08%,99.27%,70.82%,0.58%,1.36%,0.58%,1.44%
21,20-<21 mo,265,0,55,100.00%,67.55%,99.72%,94.83%,100.00%,70.82%,0.00%,1.36%,0.00%,1.44%
22,21-<22 mo,210,3,66,98.31%,66.39%,99.72%,94.57%,98.59%,69.97%,0.97%,1.50%,0.97%,1.59%
23,22-<23 mo,141,1,65,99.05%,65.67%,99.71%,94.31%,99.06%,69.25%,0.94%,1.64%,0.94%,1.73%
24,23-<24 mo,75,0,75,+,+,99.73%,94.06%,+,+,+,+,+,+
