Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,34,1,0,97.06%,97.06%,99.74%,99.74%,97.31%,97.31%,2.90%,2.90%,2.91%,2.91%
2,1-<2 mo,33,1,0,96.97%,94.12%,99.74%,99.47%,97.23%,94.62%,2.98%,4.04%,2.99%,4.06%
3,2-<3 mo,32,1,3,96.72%,91.03%,99.74%,99.21%,96.98%,91.75%,3.22%,4.94%,3.23%,4.98%
4,3-<4 mo,28,2,2,92.59%,84.29%,99.76%,98.97%,92.82%,85.16%,5.04%,6.48%,5.05%,6.55%
5,4-<5 mo,24,1,2,95.65%,80.62%,99.77%,98.74%,95.87%,81.65%,4.25%,7.16%,4.26%,7.25%
6,5-<6 mo,21,0,0,100.00%,80.62%,99.82%,98.57%,100.0000%*,81.6497%#,0.00%,7.16%,0.00%,7.2521%#
7,6-<7 mo,21,1,2,95.00%,76.59%,99.82%,98.39%,95.17%,77.85%,4.87%,7.86%,4.88%,7.98%
8,7-<8 mo,18,0,2,100.00%,76.59%,99.81%,98.21%,100.0000%*,77.8476%#,0.00%,7.86%,0.00%,7.9848%#
9,8-<9 mo,16,0,0,100.00%,76.59%,99.80%,98.01%,100.0000%*,77.8476%#,0.00%,7.86%,0.00%,7.9848%#
10,9-<10 mo,16,1,1,93.55%,71.65%,99.80%,97.81%,93.74%,73.26%,6.24%,8.77%,6.25%,8.96%
11,10-<11 mo,14,0,2,100.00%,71.65%,99.79%,97.61%,100.0000%*,73.2569%#,0.00%,8.77%,0.00%,8.9631%#
12,11-<12 mo,12,0,0,100.00%,71.65%,99.76%,97.38%,100.0000%*,73.2569%#,0.00%,8.77%,0.00%,8.9631%#
13,12-<13 mo,12,1,0,91.67%,65.68%,99.74%,97.12%,91.91%,67.63%,7.98%,9.86%,8.00%,10.15%
14,13-<14 mo,11,0,2,100.00%,65.68%,99.73%,96.86%,100.0000%*,67.6287%#,0.00%,9.86%,0.00%,10.1546%#
15,14-<15 mo,9,0,0,100.00%,65.68%,99.71%,96.58%,100.0000%*,67.6287%#,0.00%,9.86%,0.00%,10.1546%#
16,15-<16 mo,9,1,1,88.24%,57.95%,99.71%,96.30%,88.49%,60.18%,11.05%,11.33%,11.08%,11.77%
17,16-<17 mo,7,0,1,100.00%,57.95%,99.82%,96.13%,100.0000%*,60.1814%#,0.00%,11.33%,0.00%,11.7673%#
18,17-<18 mo,6,0,0,100.00%,57.95%,99.83%,95.97%,100.0000%*,60.1814%#,0.00%,11.33%,0.00%,11.7673%#
19,18-<19 mo,6,0,0,100.00%,57.95%,99.83%,95.80%,100.0000%*,60.1814%#,0.00%,11.33%,0.00%,11.7673%#
20,19-<20 mo,6,0,3,100.00%,57.95%,99.83%,95.64%,100.0000%*,60.1814%#,0.00%,11.33%,0.00%,11.7673%#
21,20-<21 mo,3,0,0,100.00%,57.95%,99.83%,95.48%,100.0000%*,60.1814%#,0.00%,11.33%,0.00%,11.7673%#
22,21-<22 mo,3,0,3,+,+,99.83%,95.32%,+,+,+,+,+,+
