Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,81,2,5,97.81%,97.81%,99.78%,99.78%,97.99%,97.99%,1.51%,1.51%,1.51%,1.51%
2,1-<2 mo,74,3,5,96.40%,94.39%,99.82%,99.60%,96.54%,94.69%,1.99%,2.34%,2.00%,2.36%
3,2-<3 mo,66,2,2,97.31%,92.05%,99.82%,99.42%,97.44%,92.44%,1.84%,2.72%,1.85%,2.75%
4,3-<4 mo,62,3,2,94.91%,87.22%,99.82%,99.24%,95.08%,87.85%,2.87%,3.81%,2.88%,3.84%
5,4-<5 mo,57,0,2,100.00%,87.22%,99.82%,99.07%,100.00%,87.85%,0.00%,3.81%,0.00%,3.84%
6,5-<6 mo,55,0,3,100.00%,87.22%,99.82%,98.89%,100.00%,87.85%,0.00%,3.81%,0.00%,3.84%
7,6-<7 mo,52,1,2,98.35%,85.92%,99.82%,98.72%,98.49%,86.87%,1.62%,3.94%,1.63%,4.00%
8,7-<8 mo,49,2,5,94.98%,81.26%,99.82%,98.54%,95.00%,82.25%,3.21%,4.82%,3.21%,4.88%
9,8-<9 mo,42,0,5,100.00%,81.26%,99.83%,98.37%,100.00%,82.25%,0.00%,4.82%,0.00%,4.88%
10,9-<10 mo,37,2,2,94.83%,76.81%,99.83%,98.21%,94.97%,78.13%,3.52%,5.59%,3.53%,5.68%
11,10-<11 mo,33,0,0,100.00%,76.81%,99.83%,98.04%,100.00%,78.13%,0.00%,5.59%,0.00%,5.68%
12,11-<12 mo,33,0,6,100.00%,76.81%,99.83%,97.88%,100.00%,78.13%,0.00%,5.59%,0.00%,5.68%
13,12-<13 mo,27,0,5,100.00%,76.81%,99.79%,97.68%,100.00%,78.13%,0.00%,5.59%,0.00%,5.68%
14,13-<14 mo,22,1,3,93.64%,71.41%,99.80%,97.48%,93.64%,72.74%,5.61%,7.11%,5.62%,7.19%
15,14-<15 mo,18,0,0,100.00%,71.41%,99.78%,97.27%,100.00%,72.74%,0.00%,7.11%,0.00%,7.19%
16,15-<16 mo,18,0,3,100.00%,71.41%,99.78%,97.06%,100.00%,72.74%,0.00%,7.11%,0.00%,7.19%
17,16-<17 mo,15,0,0,100.00%,71.41%,99.83%,96.90%,100.00%,72.74%,0.00%,7.11%,0.00%,7.19%
18,17-<18 mo,15,0,3,100.00%,71.41%,99.83%,96.73%,100.00%,72.74%,0.00%,7.11%,0.00%,7.19%
19,18-<19 mo,12,1,0,90.45%,65.11%,99.86%,96.60%,90.46%,66.42%,7.80%,7.84%,7.80%,7.94%
20,19-<20 mo,11,0,3,100.00%,65.11%,99.86%,96.47%,100.00%,66.42%,0.00%,7.84%,0.00%,7.94%
21,20-<21 mo,8,0,2,100.00%,65.11%,99.88%,96.35%,100.00%,66.42%,0.00%,7.84%,0.00%,7.94%
22,21-<22 mo,6,0,1,100.00%,65.11%,99.87%,96.23%,100.00%,66.42%,0.00%,7.84%,0.00%,7.94%
23,22-<23 mo,5,0,4,+,+,99.87%,96.11%,+,+,+,+,+,+
